salary_max,title,id,adref,longitude,salary_min,salary_is_predicted,redirect_url,__CLASS__,latitude,created,description,category.__CLASS__,category.tag,category.label,company.__CLASS__,company.display_name,location.__CLASS__,location.display_name,location.area,contract_time,contract_type
175669.02,Java Developer,5795678413,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc4NDEzIn0.yTXPU66EVctKpKRs329KzaqSlHnlSxnRkn7Ny0giPKY,-80.8432,175669.02,1,https://www.adzuna.com/land/ad/5795678413?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=45D49F1AAB4AD6CED6DAA20E8189449B562CB6A1,Adzuna::API::Response::Job,35.2268,2026-07-10T11:23:33Z,"Job Description - We are looking for a strong Java Backend Developer with expertise in building enterprise-grade backend systems and microservices architectures. The ideal candidate should have extensive experience in Java, Spring Boot, API development, and distributed systems with a strong focus on scalability, performance, and reliability. Required Skills 6 years of backend development experience Strong proficiency in Java/J2EE technologies Extensive experience with Spring Boot, Spring Cloud,…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Purple Hires,Adzuna::API::Response::Location,"Charlotte, Mecklenburg County","['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",,
168248.03,Cloud Programmer,5795678453,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3ODQ1MyIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.ttZfSKTmgx-OnKgP2ahKwy61Cpq5huHv0ilTPLiKmgE,-73.97528,168248.03,1,https://www.adzuna.com/land/ad/5795678453?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=CA5D1353264154EAC291E9B288B531AE6A135982,Adzuna::API::Response::Job,40.75284,2026-07-10T11:23:33Z,"We are seeking an Advanced Cloud Based Programmer Job Duties: Design, develop, enhance, and maintain chatbot and virtual agent solutions built on Google Cloud Platform. Build and support conversational AI applications using Google Dialogflow and related technologies. Develop and implement Generative AI agents and solutions leveraging modern AI frameworks and services. Design and implement Retrieval-Augmented Generation (RAG) architectures and prompt engineering strategies. Develop and maintain …",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Spruce Technology Inc.,Adzuna::API::Response::Location,"Grand Central, Manhattan","['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",,
78580.45,Service Manager Automation and DevOps Engineering,5795678414,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc4NDE0In0.sq_PfyjnjKXpa1JeRvWZ0g-wJKkK9PeJHTqNz7wKg9s,-74.418368,78580.45,1,https://www.adzuna.com/land/ad/5795678414?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=B04A640ADC5037EF3E0849F761FF213508CAFCFC,Adzuna::API::Response::Job,40.757421,2026-07-10T11:23:33Z,"Hello, My name is Sreeja and I represent TestingXperts Inc. TestingXperts is a Specialist QA & Software Testing Company, and an Independent Software Testing division of Damco Group, which is a leading IT Solutions and Services company working with Fortune Enterprises globally. Inheriting the virtues of job quality and optimal user satisfaction from Damco Group, TestingXperts aims at promoting the ethics of connected innovation, thereby seeding the integral values in our employees and achieving …",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,"TESTINGXPERTS, INC. DBA DAMCOSOFT",Adzuna::API::Response::Location,"Madison, Morris County","['US', 'New Jersey', 'Morris County', 'Madison']",,
110248.24,Legal Assistant (Hybrid Onsite),5795678460,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3ODQ2MCIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.hsk8mnrjEKJhdE8iiY08bNosqNZeiRbcoZqCJ1xsCIU,-86.780596,110248.24,1,https://www.adzuna.com/land/ad/5795678460?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=C34C4B1CAF800C58B31AE3ADA611C2604281F2A6,Adzuna::API::Response::Job,36.172489,2026-07-10T11:23:33Z,"Job Title Legal Assistant (Hybrid Onsite) Location Nashville, TN Duration 3 months Pay Rate $25/hr on W2 all inclusive Interview Type - Note Candidate Must Be Local Job Description The client requires the services of 1 Legal Assistant (LA) contract resource staff to support a significant increase in communications from advocates and legal organizations, which has expanded OGC’s administrative workload and diverted attorney time from higher-value legal work. Oserves as the agency’s primary avenu…",Adzuna::API::Response::Category,legal-jobs,Legal Jobs,Adzuna::API::Response::Company,GSK Solutions Inc.,Adzuna::API::Response::Location,"Nashville, Davidson County","['US', 'Tennessee', 'Davidson County', 'Nashville']",,
163043.6,Enterprise Project Manager (Hybrid Onsite),5795678366,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3ODM2NiIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.r97cYyy3G0QxmnF9A-VzUl4Kze1T8GzQvR69QxWGJbc,-84.3879,163043.6,1,https://www.adzuna.com/land/ad/5795678366?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=B19ED056F19EBEA88AFA9A057D02F0DE576EB9A9,Adzuna::API::Response::Job,33.7487,2026-07-10T11:23:32Z,"Job Title Enterprise Project Manager (Hybrid Onsite) Location Atlanta, GA Duration 6 months Pay Rate $43.35/hr on C2C / 1099 / W2 all inclusive Interview Type Either Web Cam or In Person Note Schedule: 8 hours, starting between 7 am and 9 am and ending between 4 pm and 6 pm (with a 1-hour lunch). Location: This will be a hybrid position with at least 2 days in the office for meetings, updates, and other in-person activities. Job Description Position Summary The Enterprise Project Manager is res…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,GSK Solutions Inc.,Adzuna::API::Response::Location,"Northlake, DeKalb County","['US', 'Georgia', 'DeKalb County', 'Northlake']",,
98843.8,Senior Oracle SQL DBA Architect locals to VA W2 role,5795678368,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3ODM2OCIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.p_IkRQumgRDqaKqZRzzl6TkmcvaVAfAGoPcH8LDE9Us,-77.047222,98843.8,1,https://www.adzuna.com/land/ad/5795678368?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=7D24D98AF0C908B94F4213EC5413496B058F0ECC,Adzuna::API::Response::Job,38.804722,2026-07-10T11:23:32Z,"No agency or C2C will NOT be considered and Visa sponsorship is not available nor provided Must be locals Non-locals please don't apply. W2 role Required Skills & Experience - Proven experience in architecting, redesigning, and administering SQL Server and Oracle environments. -Strong background in database optimization, schema redesign, capacity planning, and performance tuning. -Experience supporting enterprise environments, including backup/recovery and high availability. - Ability to analyz…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Paradigm Infotech,Adzuna::API::Response::Location,"Trade, Alexandria City","['US', 'Virginia', 'Alexandria City', 'Trade']",,
123453.69,Google Cloud Platform Solution Architect,5795677821,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NzgyMSIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.jIp96AZ9JRIFAiA0PwhDl0GzYfEGL1xlkEmQAjfib24,-87.8849,123453.69,1,https://www.adzuna.com/land/ad/5795677821?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=D3B8682E6C6FB3F27E4D308CCA6CCD2F5E8188B9,Adzuna::API::Response::Job,41.9613,2026-07-10T11:23:24Z,"Job Title: Google Cloud Platform Solution Architect Location: Chicago, IL (Hybrid – 2–3 Days Onsite) Also open to candidates in Dallas, TX, or Scottsdale, AZ. Job Type: 6 Month Contract Top Skills: Google Cloud Platform | Solution Architecture | Infrastructure Design | Disaster Recovery (DR) | Cloud Migration | Load Balancing | Healthcare | Big Query (Nice to Have) Job Description: We are looking for an experienced Google Cloud Platform Solution Architect to support enterprise cloud infrastruct…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Kanshe Infotech,Adzuna::API::Response::Location,"Schiller Park, Cook County","['US', 'Illinois', 'Cook County', 'Schiller Park']",,
108073.07,SAP BTP Consultant,5795677822,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NzgyMiIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.ar24VmVqKkzIcLCks7na5kTf6oTmsBcKfIAK6FzvilU,,108073.07,1,https://www.adzuna.com/land/ad/5795677822?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=720BDAD709FB02131BCD58C374921A6A1FA416DE,Adzuna::API::Response::Job,,2026-07-10T11:23:24Z,"Job Description : BTP resource with experience/knowledge in all pillars (BTP IS, BTP CAP/RAP/Build, AI Core and HANA Cloud) is found. It s a strategy role to guide client on the framework, architecture and setting up the client CoE for BTP. The person should have understanding of BTP Administration, Security, Tools and RACI of various teams involved in BTP based solutions. 6 months duration. Travel: Preferred candidate to be based out of San Francisco. If not local, travel will be required for …",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,Executive Software Guild,Adzuna::API::Response::Location,US,['US'],,
189762.8,Project Manager for North American Operations,5795677931,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NTY3NzkzMSIsInMiOiJRcDQ3SFhWODhSRzZKUDBuR2hmTFZnIn0.s_wYMpwIB54rL9KLuJ1bZCR1qu7PKqwRahNxDeOsAh0,-73.946201,189762.8,1,https://www.adzuna.com/land/ad/5795677931?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=FCE3A2C8C979ECDAB046C7930B6767548C26597E,Adzuna::API::Response::Job,40.627791,2026-07-10T11:23:24Z,"One of our clients, a major electronics manufacturer is looking for a talented Project Manager for North American Operations Permanent position with excellent compensation package and benefits. Salary Range: $95,000 - $115,000 Location: Brooklyn, NY Sorry, No H1B candidates  Must be authorized to work for ANY employer in US Project Manager for North American Operations Position Summary The Project Manager for North American Operations will be responsible for leading and managing all assigned op…",Adzuna::API::Response::Category,consultancy-jobs,Consultancy Jobs,Adzuna::API::Response::Company,"Brains Workgroup, Inc.",Adzuna::API::Response::Location,"Flatbush, Brooklyn","['US', 'New York', 'New York City', 'Brooklyn', 'Flatbush']",,
123444.86,Cockroach DB Senior Engineer,5795677713,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUXA0N0hYVjg4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk1Njc3NzEzIn0.z8kP0rvfcTTGt-FM9xngWuGzCgA9HKk67j0FpHfT9TI,-122.032489,123444.86,1,https://www.adzuna.com/land/ad/5795677713?se=Qp47HXV88RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=F5F08D7F51E8D0B12790DCAFEAEC9DFCEBD6CED9,Adzuna::API::Response::Job,37.350211,2026-07-10T11:23:23Z,"K&K Global Talent Solutions Inc. is an international recruiting agency that has been providing technical resources in the Canada and the USA region since 1993. This position is with one of our clients in USA, who is actively hiring candidates to expand their teams. Role:- Cockroach DB Senior Engineer Location:- Sunnyvale, CA/ Austin, TX (onsite) Fulltime Job Description Job Description Key Responsibilities Design, deploy, operate, and scale multi-region CockroachDB clusters in production enviro…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Adzuna::API::Response::Company,K&K Global Talent Solutions,Adzuna::API::Response::Location,"Cupertino, Santa Clara County","['US', 'California', 'Santa Clara County', 'Cupertino']",,
