__CLASS__,created,salary_is_predicted,salary_min,description,salary_max,id,adref,latitude,redirect_url,title,longitude,category.tag,category.label,category.__CLASS__,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,contract_type,contract_time
Adzuna::API::Response::Job,2026-07-16T11:05:54Z,0,0.0,"Vivian is looking for Travel Physical Therapy Assistant Therapys in Hamlin, Texas paying up to $1,862/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",96824.0,5803227610,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwMzIyNzYxMCIsInMiOiJtdVp1UENpQjhSRzZ6TGVyUnBOMGF3In0.VaYpGBnO_k8DWIlyIM9rPK12Ha3AFORIUacBOLyFZeI,32.883679,https://www.adzuna.com/land/ad/5803227610?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=639EA850CEF7FB51A2026198E00E239CD4B1A09C,"Travel Physical Therapy Assistant - Paying up to $1,862/week",-100.127661,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Texas', 'Jones County', 'Hamlin']",Adzuna::API::Response::Location,"Hamlin, Jones County",Adzuna::API::Response::Company,Vivian Health,,
Adzuna::API::Response::Job,2026-07-16T11:05:54Z,0,0.0,"Vivian is looking for Travel Physical Therapy Assistant Therapys in La Jara, Colorado paying up to $1,737/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disco…",90324.0,5803227607,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NjA3In0.kY5uhkEh57uURXB-X1N1pW5mYIqIjvjIT8kb5539CG8,37.30896,https://www.adzuna.com/land/ad/5803227607?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=D54B6E59BB113FF948B7F40F11862F06A420244F,"Travel Physical Therapy Assistant - Paying up to $1,737/week",-106.03524,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Conejos County', 'La Jara']",Adzuna::API::Response::Location,"La Jara, Conejos County",Adzuna::API::Response::Company,Vivian Health,,
Adzuna::API::Response::Job,2026-07-16T11:05:54Z,0,0.0,"Vivian is looking for Travel Physical Therapist Therapys in Hollister, California paying up to $3,246/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",168792.0,5803227615,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NjE1In0.wDZPz5ivGozL7BwP13xJAAo334LAau4rzKhnBeDRuKM,36.846684,https://www.adzuna.com/land/ad/5803227615?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=06BF11B0C1158F826CF21F81362A8D6EE5C63A57,"Travel Physical Therapist - Paying up to $3,246/week",-121.390352,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'California', 'San Benito County', 'Hollister']",Adzuna::API::Response::Location,"Hollister, San Benito County",Adzuna::API::Response::Company,Vivian Health,,
Adzuna::API::Response::Job,2026-07-16T11:05:54Z,0,0.0,"Vivian is looking for Travel Occupational Therapist Therapys in Aurora, Colorado paying up to $2,303/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover j…",119756.0,5803227609,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NjA5In0.Eb4nwMSstxWc5dZh0kfI4dZXGajbw6yYH4nCywvgmPA,39.70062,https://www.adzuna.com/land/ad/5803227609?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=DA55D51DCF7C9E6F4CEA1CEA81F2EE78866B570A,"Travel Occupational Therapist - Paying up to $2,303/week",-104.8377,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Arapahoe County', 'Aurora']",Adzuna::API::Response::Location,"Aurora, Arapahoe County",Adzuna::API::Response::Company,Vivian Health,,
Adzuna::API::Response::Job,2026-07-16T11:05:53Z,0,0.0,"Vivian is looking for Travel Physical Therapy Assistant Therapys in Charleston, South Carolina paying up to $1,716/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) …",89232.0,5803227605,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwMzIyNzYwNSIsInMiOiJtdVp1UENpQjhSRzZ6TGVyUnBOMGF3In0._tnb-Fu2uJ8GEmJ_VzuR1QyGZck9K8ybnD15OnR4uhA,32.7762,https://www.adzuna.com/land/ad/5803227605?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=3E21556B36BCFF1F85D9F6D6C5EC5833A87CEE65,"Travel Physical Therapy Assistant - Paying up to $1,716/week",-79.931,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'South Carolina', 'Charleston County', 'James Island']",Adzuna::API::Response::Location,"James Island, Charleston County",Adzuna::API::Response::Company,Vivian Health,,
Adzuna::API::Response::Job,2026-07-16T11:05:53Z,0,0.0,"Vivian is looking for Travel Certified Occupational Therapy Assistant Therapys in Bakersfield, California paying up to $2,107/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, locat…",109564.0,5803227604,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NjA0In0.c0Ox4EuPainR5WpgVADVQhZ2qJS_5eGi2NBZzo9JW-k,35.4369,https://www.adzuna.com/land/ad/5803227604?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=22589E912B62085224FA70AF319A77E3101F3654,"Travel Certified Occupational Therapy Assistant - Paying up to $2,107/week",-119.0679,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'California', 'Kern County', 'Oildale']",Adzuna::API::Response::Location,"Oildale, Kern County",Adzuna::API::Response::Company,Vivian Health,,
Adzuna::API::Response::Job,2026-07-16T11:05:52Z,0,0.0,"Supplemental Health Care is seeking a travel nurse RN Telemetry for a travel nursing job in New York, New York. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Job Description: Supplemental Health Care is hiring Telemetry Registered Nurses for contract assignments at partnering hospitals in New York, New York. Whether you’re looking to travel or stay local, we’re committed to h…",98228.0,5803227601,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NjAxIn0.R6SPUWoP4LdafNhvaRJpa8MED-u-ApI5lrSUEry38mw,40.75284,https://www.adzuna.com/land/ad/5803227601?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=F3AF36FB324069000CEA433D22EE0EFB21FA63EE,"Travel Nurse RN - Telemetry - $1,889 per week",-73.97528,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",Adzuna::API::Response::Location,"Grand Central, Manhattan",Adzuna::API::Response::Company,Supplemental Health Care,,
Adzuna::API::Response::Job,2026-07-16T11:05:52Z,0,0.0,"Uniti Med is seeking a travel nurse RN ICU - Intensive Care Unit for a travel nursing job in Nashville, Tennessee. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Start Date: 08/17/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Benefits: Day 1 Insurance Cigna medical, MetLife dental and vision insurance License reimbursement for new licenses needed for each assignment Discounts with hotels and rental cars A dedicated re…",76024.0,5803227598,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwMzIyNzU5OCIsInMiOiJtdVp1UENpQjhSRzZ6TGVyUnBOMGF3In0.Miv4zdhrC7QWF-BtDEwVbk3QaFEy0eMVFTHOtGVu0MI,36.172489,https://www.adzuna.com/land/ad/5803227598?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=7F81542CF272DAC9233C1FD69C420CBED9CD8722,"Travel Medical/Surgical ICU RN - $1,462 per week",-86.780596,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Tennessee', 'Davidson County', 'Nashville']",Adzuna::API::Response::Location,"Nashville, Davidson County",Adzuna::API::Response::Company,Uniti Med,,
Adzuna::API::Response::Job,2026-07-16T11:05:52Z,0,0.0,"GLC On-The-Go is seeking a travel nurse RN Cardiac Cath Lab for a travel nursing job in Lake Havasu City, Arizona. Job Description & Requirements Specialty: Cardiac Cath Lab Discipline: RN Start Date: 07/27/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel GLC is hiring: RN Cardiac Cath Lab - Lake Havasu City, AZ - 13-week contract GLC – Named Best Nurse Agency 2024–2025 We connect nurses, nursing professionals, and allied health professionals like you to contrac…",121524.0,5803227599,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NTk5In0.dUi-JA3SkQd6jj_rUyk17OuuA8pkvBEJzwFuSCiI3Ig,34.502866,https://www.adzuna.com/land/ad/5803227599?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=C46D8DE575F4B73E293554ABB3F90F84383D917F,"Travel Cardiac Cath Lab RN - $2,337 per week",-114.314272,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Arizona', 'Mohave County', 'Lake Havasu City']",Adzuna::API::Response::Location,"Lake Havasu City, Mohave County",Adzuna::API::Response::Company,GLC On-The-Go,,
Adzuna::API::Response::Job,2026-07-16T11:05:51Z,0,0.0,"GLC On-The-Go is seeking a travel Occupational Therapist for a travel job in Pico Rivera, California. Job Description & Requirements Specialty: Occupational Therapist Discipline: Therapy Start Date: 08/10/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours Employment Type: Travel GLC On-The-Go Job ID 538158. Pay package is based on 8 hour shifts and 40 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: LPNT Rehab (Cortes) - Travel: Occ…",118456.0,5803227596,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibXVadVBDaUI4Ukc2ekxlclJwTjBhdyIsImkiOiI1ODAzMjI3NTk2In0.LQx9aewhgW1m_gjBq1zacwWzU9X5-6mVw259iV3Bps0,33.988278,https://www.adzuna.com/land/ad/5803227596?se=muZuPCiB8RG6zLerRpN0aw&utm_medium=api&utm_source=abfa41a4&v=342CF125852A5CE4343633D3AE02C11F1E7B32FD,"Travel Occupational Therapist - $2,278 per week",-118.087492,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'California', 'Los Angeles County', 'Pico Rivera']",Adzuna::API::Response::Location,"Pico Rivera, Los Angeles County",Adzuna::API::Response::Company,GLC On-The-Go,,
