latitude,title,salary_min,id,redirect_url,created,adref,description,__CLASS__,salary_max,longitude,contract_time,salary_is_predicted,category.tag,category.__CLASS__,category.label,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,contract_type
38.67798,Restaurant Crew Member,40292.44,5806176949,https://www.adzuna.com/details/5806176949?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:37Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmdfQ0pMU0M4UkdGTWE2YldIenRoUSIsImkiOiI1ODA2MTc2OTQ5In0.TrdOATIyQGyqOcmLZWUWowyja-KcuFB2ikXB97JR55M,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,40292.44,-77.31516,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Virginia', 'Prince William County', 'Lake Ridge']","Lake Ridge, Prince William County",Adzuna::API::Response::Company,Wonder,
38.886287,Restaurant Crew Member,36040.45,5806176946,https://www.adzuna.com/details/5806176946?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmdfQ0pMU0M4UkdGTWE2YldIenRoUSIsImkiOiI1ODA2MTc2OTQ2In0.GOgSSSXjDBj1uo5TN0HaPYdy1o_XziBKCSD_8IUa74g,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,36040.45,-76.805906,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Maryland', ""Prince George's County"", 'Kettering']","Kettering, Prince George's County",Adzuna::API::Response::Company,Wonder,
38.89855,Restaurant Crew Member,33982.25,5806176941,https://www.adzuna.com/details/5806176941?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:29Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmdfQ0pMU0M4UkdGTWE2YldIenRoUSIsImkiOiI1ODA2MTc2OTQxIn0.3DlSM221alqvClRADNp6xUwdYfvFWnHTXvCSSM2RKGs,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,33982.25,-77.25357,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Virginia', 'Fairfax County', 'Tysons']","Tysons, Fairfax County",Adzuna::API::Response::Company,Wonder,
44.94486,"Licensed Nursing Assistant, LNA",52640.48,5806176938,https://www.adzuna.com/details/5806176938?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:28Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmdfQ0pMU0M4UkdGTWE2YldIenRoUSIsImkiOiI1ODA2MTc2OTM4In0.Iwju_LFaAjKIYpkBoTYgJbaBC-r55nHt-uqVCQbp25M,"Overview: $2,500 sign on bonus for Full Time, overnight LNA's Full Time, Night Shift OR Days shift available rotating weekends, 8 hour shifts At Genesis Healthcare, we are dedicated to improving the lives we touch through the delivery of high-quality care and exceptional service. As a leading provider in the long-term care industry, we believe in fostering a collaborative, inclusive and supportive work environment where every team member is valued and empowered to make a difference. Whether you…",Adzuna::API::Response::Job,52640.48,-72.20256,full_time,1,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Vermont', 'Orleans County', 'Indian Point']","Indian Point, Orleans County",Adzuna::API::Response::Company,Bel-Aire Center,
41.9067,CDL A Driver - Nights - $29 Per Hour,0.0,5806176937,https://www.adzuna.com/details/5806176937?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:26Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmdfQ0pMU0M4UkdGTWE2YldIenRoUSIsImkiOiI1ODA2MTc2OTM3In0.DpTMqtyBTmmoNF28-yZvnKFw_MivXQ4n7rIMqnZEIJc,"Job Info Job Location: Carol Stream, Illinois Route Type: Local Type of Assignment: Temp to Hire Transmission Type: Automatic Job Requirements Experience: 2 years Handling: Heavy Touch Additional Information CDL A Driver - Nights - $29 Per Hour | Carol Stream, IL TransForce is seeking a CDL A Driver to support local operations based in Carol Stream, IL. This position offers steady work, reliable scheduling, and the opportunity to work with a driver-focused team. CDL A Driver Details Schedule: M…",Adzuna::API::Response::Job,60320.0,-88.1313,full_time,0,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Location,"['US', 'Illinois', 'DuPage County', 'Carol Stream']","Carol Stream, DuPage County",Adzuna::API::Response::Company,TransForce Inc.,contract
38.999074,Restaurant Crew Member,31620.56,5806176935,https://www.adzuna.com/details/5806176935?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:24Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmdfQ0pMU0M4UkdGTWE2YldIenRoUSIsImkiOiI1ODA2MTc2OTM1In0._YC6hu2yVLU4eWeucOECLhXXa_Ks3D3VY7lM-7BjTMY,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,31620.56,-77.877225,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Virginia', 'Fauquier County', 'Upperville']","Upperville, Fauquier County",Adzuna::API::Response::Company,Wonder,
60.144744,Merchandiser,55694.84,5806176936,https://www.adzuna.com/details/5806176936?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:24Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNjE3NjkzNiIsInMiOiJKZ19DSkxTQzhSR0ZNYTZiV0h6dGhRIn0.44uA-ndFJtQzt3DH6Osti7xzjHd6f_kI6pA9oVb1t4o,"Merchandiser Our merchandisers are the heart and soul of Jacent. They're on the front lines in more than 17,000 stores placing just the right products, building displays, and working with store personnel  right in their own community. Our people are what makes us special and makes us the 1 impulse merchandising company in North America. We are looking for individuals that align with our culture pillars of We Always Play Offense, We Are Solutions Oriented, We Deliver Legendary Service, We Act wi…",Adzuna::API::Response::Job,55694.84,-149.400664,part_time,1,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,Adzuna::API::Response::Location,"['US', 'Alaska', 'Kenai Peninsula', 'Seward']","Seward, Kenai Peninsula",Adzuna::API::Response::Company,Jacent Strategic Merchandising,
39.06561,Restaurant Crew Member,32694.26,5806176933,https://www.adzuna.com/details/5806176933?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:23Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNjE3NjkzMyIsInMiOiJKZ19DSkxTQzhSR0ZNYTZiV0h6dGhRIn0.tOCnqp0wYwpUFDOMH-uAhmRIDbhhcI11_QFyEJw8ouw,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,32694.26,-76.83976,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Maryland', ""Prince George's County"", 'Montpelier']","Montpelier, Prince George's County",Adzuna::API::Response::Company,Wonder,
39.391707,Restaurant Crew Member,34286.43,5806176932,https://www.adzuna.com/details/5806176932?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:19Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNjE3NjkzMiIsInMiOiJKZ19DSkxTQzhSR0ZNYTZiV0h6dGhRIn0.2IRQnt4iEQwntK4HOiDY9aBCH837Pw0_1uDI6dTiQgU,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,34286.43,-77.447244,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Maryland', 'Frederick County', 'Fort Detrick']","Fort Detrick, Frederick County",Adzuna::API::Response::Company,Wonder,
38.822297,Restaurant Crew Member,34302.59,5806176930,https://www.adzuna.com/details/5806176930?utm_medium=api&utm_source=abfa41a4,2026-07-18T10:18:15Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNjE3NjkzMCIsInMiOiJKZ19DSkxTQzhSR0ZNYTZiV0h6dGhRIn0.KLMGZ8kcLeS_yS26cPI4yGFax5aVu-t5RBFG0dYlnn4,"About the Role At Wonder, we make world-class food accessible to everyone. As a Team Member, you’ll help bring menus from Michelin-starred and celebrity chefs to life while creating an inviting, positive experience for every guest. Whether you’re looking to grow your career, learn new skills, or join a fast-paced, fun team; this is your place. Role Details Pay Rate: $17.50 Overnight shifts include an additional $2.00/hour premium, automatically applied to any hours worked between 12:00 AM and 5…",Adzuna::API::Response::Job,34302.59,-77.894702,full_time,1,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,Adzuna::API::Response::Location,"['US', 'Virginia', 'Fauquier County', 'Marshall']","Marshall, Fauquier County",Adzuna::API::Response::Company,Wonder,
