latitude,title,longitude,adref,contract_time,id,description,salary_max,created,__CLASS__,salary_is_predicted,redirect_url,salary_min,location.area,location.display_name,location.__CLASS__,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_type
41.880037,RN - ICU,-87.845468,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTI5NSIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.YK7-Fxqb2DtUsMLIOhM882eocPCEjB9v82zRdc10pzw,part_time,5807211295,"ICU registered nurses (RNs) provide care to critical medical, surgical and traumatized patients. Close monitoring and observation of the patient's heart rate, blood pressure and respiration for signs of distress represent a primary function of and ICU nurse. They also educate patients and their families while providing emotional support.",30223.32,2026-07-19T10:20:51Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211295?utm_medium=api&utm_source=abfa41a4,30223.32,"['US', 'Illinois', 'Cook County', 'Maywood']","Maywood, Cook County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Loyola University Medical Center,
34.563759,"CV Anesthesiologist - Comanche County Memorial Hospital - Lawton, OK - 26 weeks off",-98.282128,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMjkxIn0.hxlnFBvQ5uBrUpOxWCPGpPalrGaMeO1s1yebC0blp5A,,5807211291,"We’re looking for a service-oriented Anesthesiologist with CV experience to join the team at Comanche County Memorial Hospital in Lawton, Oklahoma. Position Highlights: $525k 1099 for 26 weeks of service Case types include mostly CV, with some assistance with general surgery, urology, ENT, neuro, and healthy pediatrics. Schedule would be every other week off (flexibility in rotation) Call would be for CV Cases only Daily staffing is 1 Anesthesiologist and 9 CRNAs Qualifications: Board certified…",66254.85,2026-07-19T10:20:28Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211291?utm_medium=api&utm_source=abfa41a4,66254.85,"['US', 'Oklahoma', 'Comanche County', 'Lawton']","Lawton, Comanche County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Essential Anesthesia Management,
36.172489,Security Guard - Night Shift,-86.780596,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTI1MCIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.Qvs5n-F1f-AzcdzMpGdIr8_5IsrL6flpYhUmmjodnTk,part_time,5807211250,"Title: Security Guard Location: Nashville, TN – Onsite (7.5 hrs Daily - 10:00 PM - 6:30 AM – Night Shift ) Duration: 5.5 Years Responsibilities Performs various security activities, such as patrolling facilities, monitoring alarms and security systems, checking safety hazards, and identifying violations of laws and rules. Operates security equipment in the performance of duties, including two-way radios, communication devices, patrol vehicles, and other transportation vehicles. Controls the ent…",45494.1,2026-07-19T10:18:20Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211250?utm_medium=api&utm_source=abfa41a4,45494.1,"['US', 'Tennessee', 'Davidson County', 'Nashville']","Nashville, Davidson County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Other/General Jobs,other-general-jobs,Adzuna::API::Response::Company,Mavensoft Technologies.,
30.517477,Registered Nurse OB ED,-97.672068,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTIwNCIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.UDubfEORIAzeqHVBLO2k4nM6Ezu4ice8dUCxZ_CCm2Y,,5807211204,"As the nation’s largest private employer of Registered Nurses, we’re honored by the trust of over 100,000 nurses and committed to supporting safe, high-quality care for which they can practice. That’s why more than 80% of our hospitals earn an A or B Leapfrog safety grade, rank in the top 5% nationally for patient outcomes through Health Grades, or are recognized as Magnet or Pathway to Excellence facilities. Join us! Job Summary and Qualifications As a Registered Nurse (RN) in the Obstetrics E…",78873.87,2026-07-19T10:15:36Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807211204?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=7C5526CCD977693AF4E71BF1087C9F1B6CC99E25,78873.87,"['US', 'Texas', 'Williamson County', 'Round Rock']","Round Rock, Williamson County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,St. David's North Austin Medical Center,
,Travel PT SNF,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMTk3In0.R9DEanVwj_wYI8fPetxh9jhBTvjyJTlPezPVlwBEhgM,part_time,5807211197,"We’re seeking a motivated Travel Physical Therapist (PT) for a 13-week contract in a Skilled Nursing / Post-Acute Care setting . This opportunity is open to all experience levels, including new graduates , and offers consistent daytime hours with overtime potential. Assignment Details Position Type: Travel / Contract | Hourly Length: 13 weeks Start Date: January 26, 2026 Schedule: Day shift Overtime: Available On-Call: None Float: No Setting: Skilled Nursing Facility (SNF) Order Status: Open Wh…",138504.4,2026-07-19T10:15:08Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211197?utm_medium=api&utm_source=abfa41a4,138504.4,['US'],US,Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Turlock,contract
39.953008,Class A CDL Trainee,-83.780326,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTE5MiIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.k6yNUN4N9x02u1NvFwp7H0jonfLs81xtiTl_urld0_Q,,5807211192,"Job Description: We Deliver the Goods: Competitive pay and benefits, including Day 1 Health & Wellness Benefits, Employee Stock Purchase Plan, 401K Employer Matching, Education Assistance, Paid Time Off, and much more Growth opportunities performing essential work to support America’s food distribution system Safe and inclusive working environment, including culture of rewards, recognition, and respect Why Join Core-Mark? Core-Mark emphasizes personal growth and development for all associates. …",57299.27,2026-07-19T10:14:45Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5807211192?se=ysqKyH2D8RG64bpm-6Bw6w&utm_medium=api&utm_source=abfa41a4&v=7F21DCDCD96E4C933103F449BA03F0A66F1660F1,57299.27,"['US', 'Ohio', 'Clark County', 'Springfield']","Springfield, Clark County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,Core-Mark,
38.923945,CNA - Long Term Care (LTC) - CNA,-79.853336,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTE3NiIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.mLZTa0rtN25tW_-FpgI7El-YAI91VVcIsPaw862e7i8,,5807211176,"Job Description for Long-Term Care Certified Nursing Assistant (CNA) Job Title: Long-Term Care Certified Nursing Assistant (CNA) Reports To: Nurse Manager/Director of Nursing Job Summary: A Long-Term Care Certified Nursing Assistant (CNA) plays a critical role in providing daily care to elderly or disabled residents in a long-term care facility. The CNA works under the supervision of registered nurses (RNs) or licensed practical nurses (LPNs) and is responsible for assisting with personal care,…",44721.3,2026-07-19T10:12:29Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211176?utm_medium=api&utm_source=abfa41a4,44721.3,"['US', 'West Virginia', 'Randolph County', 'Elkins']","Elkins, Randolph County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Nellas at Autumn Lake Healthcare,contract
40.735075,Porter (Property Operations),-74.173906,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMTczIn0.vX36xEca17ePpTxh0jAQpkp2umgOfs7XgvXGQfqlCao,,5807211173,"JOB DESCRIPTION Job Title: PorterDepartment: MaintenanceReports To: Property Manager or Building Superintendent Areas of Responsibility:• Remove garbage and recycling and prepare for sanitation pick-up• Knowledge of e cycle regulations• Comply with all building-wide recycling obligations, including checking and sorting recycling items when necessary• Sweep, mop, buff and wax all interior public halls, stairwells and lobby area• Sweep and wash all sidewalks and exterior passageways• Assist with …",42862.98,2026-07-19T10:11:46Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211173?utm_medium=api&utm_source=abfa41a4,42862.98,"['US', 'New Jersey', 'Essex County', 'Newark']","Newark, Essex County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Domestic help & Cleaning Jobs,domestic-help-cleaning-jobs,Adzuna::API::Response::Company,CC,
27.440462,TCH-Math 6-8,-80.566066,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzIxMTE1OSIsInMiOiJ5c3FLeUgyRDhSRzY0YnBtLTZCdzZ3In0.UZoOCB1Dr2sZQmiOta0aLPEPLmvM_DFyYPsarHUP7qc,full_time,5807211159,"JOB DESCRIPTION: : EQUAL OPPORTUNITY EMPLOYER: The School Board of St. Lucie County is an EQUAL OPPORTUNITY EMPLOYER: . No person shall, on the basis of age, ancestry, citizenship status, color, disability, ethnicity, genetic information, gender, gender expression, gender identity, marital status, medical condition, national origin, political beliefs, pregnancy, race, religion, religious beliefs, sex, sexual orientation, or veteran status, be excluded from participation in, be denied the benefi…",39188.79,2026-07-19T10:09:57Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211159?utm_medium=api&utm_source=abfa41a4,39188.79,"['US', 'Florida', 'St. Lucie County', 'Fort Pierce']","Fort Pierce, St. Lucie County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Scientific & QA Jobs,scientific-qa-jobs,Adzuna::API::Response::Company,St. Lucie Public Schools,
35.86624,C-Store Assistant Manager,-78.53583,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXNxS3lIMkQ4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODA3MjExMTI2In0.XBQQDTc-91fJFbfzUjdaTtH2ebe9leKxQDfnjVjBOFs,full_time,5807211126,"Job Title: C-Store Assistant Manager Reports To : Store Manager FLSA Status: Non-Exempt Hourly Role Type : Full-time or part-time depending on availability Working Hours: This position requires flexible availability, including evenings, weekends, and some holidays. Weekly hours will vary depending on business needs. Company Summary : Refuel Operating Company, LLC (“Refuel”) is a fast-growing convenience store and fuel operator dedicated to providing great service, fresh food, and a welcoming ex…",56316.92,2026-07-19T10:07:21Z,Adzuna::API::Response::Job,1,https://www.adzuna.com/details/5807211126?utm_medium=api&utm_source=abfa41a4,56316.92,"['US', 'North Carolina', 'Wake County', 'Wake Crossroads']","Wake Crossroads, Wake County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Retail Jobs,retail-jobs,Adzuna::API::Response::Company,Refuel Market,
