adref,title,latitude,salary_min,longitude,description,salary_max,salary_is_predicted,created,__CLASS__,id,redirect_url,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.tag,category.__CLASS__,category.label,contract_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI1MTYwIn0.0xpBxJjLvY-FpMmxdjry5Bhx0V0il0kchpFe1aWKAW0,Hair Stylist - Norco Village,33.931126,42345.11,-117.548661,"Job Description \n \n Join a locally owned Great Clips® salon, the world's largest salon brand, and be one of the GREATS! Whether you're new to the industry or have years behind the chair…great opportunities await Are you a passionate and skilled stylist looking for an exciting opportunity? We are seeking a talented Part-Time Stylist to join our vibrant team, where creativity thrives and community is at the heart of everything we do. If you excel in a fast-paced, fun, and positive environment a…",42345.11,1,2026-07-22T10:51:44Z,Adzuna::API::Response::Job,5810925160,https://www.adzuna.com/land/ad/5810925160?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=23C9AD435106FCCA5C05F686EB1E878D8FE0F2A8,"['US', 'California', 'Riverside County', 'Norco']","Norco, Riverside County",Adzuna::API::Response::Location,Great Clips,Adzuna::API::Response::Company,creative-design-jobs,Adzuna::API::Response::Category,Creative & Design Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI1MTM3In0.vhO1wl5xT0C7GokewSr2i96SuMdSqa915aS1nSMvPHI,RN Med Surg/Telemetry Nights,45.354,67466.77,-111.687,"Job Description RN Med Surg/Telemetry (Nights) | 5 East Expansion \n Baylor Scott & White Medical Center – Waxahachie \n Join something new and exciting! Baylor Scott & White Medical Center – Waxahachie is expanding and launching our 5 East unit, a dynamic Med Surg/Telemetry floor designed to support our growing community and deliver exceptional patient care. \n Position Highlights \n Unit: 5 East – Med Surg/Telemetry \n Shift: Nights, 3-12 hour shifts \n Setting: Inpatient Acute Care \n Schedu…",67466.77,1,2026-07-22T10:51:43Z,Adzuna::API::Response::Job,5810925137,https://www.adzuna.com/land/ad/5810925137?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=291B46243C1F8BE84982054E3AE37166B97CD750,"['US', 'Montana', 'Madison County', 'Ennis']","Ennis, Madison County",Adzuna::API::Response::Location,Baylor Scott & White Health,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI1MTUxIn0.67f09Ps1NNnoEcFKdpmBAyVc285UotNwL3RcmcyTJJ0,"CDL-A Truck Driver - Job Fair - $10,000 Sign-On Bonus",41.021447,54059.39,-73.812498,"Job Description Join Ace Hardware for a Job Fair Now Hiring CDL-A Truck Drivers in Newburgh, NY Average $98,000 per Year - $10,000 Sign-On Bonus - Home Most Nights Job Fair Details: Date & Time: Tuesday, July 28th, 2026 - 9:00 AM - 7:00 PM EST \n OR \n Wednesday, July 29th, 2026 - 8:00 AM - 3:00 PM EST Location: Homewood Suites by Hilton Newburgh-Stewart Airport - 180 Breunig Rd, New Windsor, NY 12553 \n Interviews will be conducted in the hotel's meeting room - please go there upon arrival \n …",54059.39,1,2026-07-22T10:51:43Z,Adzuna::API::Response::Job,5810925151,https://www.adzuna.com/land/ad/5810925151?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=38F0FF078028FA261D66C0DA998ED07B48D74027,"['US', 'New York', 'Westchester County', 'Scarsdale']","Scarsdale, Westchester County",Adzuna::API::Response::Location,Ace Hardware,Adzuna::API::Response::Company,travel-jobs,Adzuna::API::Response::Category,Travel Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI1MDYwIn0.UdxYiKgdHc0nAR2RsaCx0b6SZwYsseZ5AvSuW-slqgg,"CDL-A Truck Driver - Average $93,976/Year",36.394122,93976.0,-95.571712,"Job Description Crete Carrier is Urgently Hiring CDL-A Drivers for a Dedicated Walmart Route Top 50% Average $93,976 per Year - Leading Pay Plus Carrier At Crete Carrier and Shaffer Trucking, we continue to lead the way in driver pay. Great Pay and Benefits: Starting pay: 60 - 73 CPM & earn an extra 6 CPM on nights/weekends, *depending on experience and route Annual pay: The top 50% of Crete drivers average $93,976 per year Weekly pay: The top 50% of Crete drivers average $1,927 per week Indust…",93976.0,0,2026-07-22T10:51:40Z,Adzuna::API::Response::Job,5810925060,https://www.adzuna.com/land/ad/5810925060?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=B46E599DEE54CC941A9DABFA0C1ADE23E99B9B21,"['US', 'Oklahoma', 'Rogers County', 'Claremore']","Claremore, Rogers County",Adzuna::API::Response::Location,Crete Carrier Corporation,Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNTAwNyIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.biCZCCxbeYtBjZ8wGjvQ6AptLTEhGR33f03eQbT9XW8,"CDL-A Truck Driver - Average $93,976/Year",35.742598,93976.0,-96.070273,"Job Description Crete Carrier is Urgently Hiring CDL-A Drivers for a Dedicated Walmart Route Top 50% Average $93,976 per Year - Leading Pay Plus Carrier At Crete Carrier and Shaffer Trucking, we continue to lead the way in driver pay. Great Pay and Benefits: Starting pay: 60 - 73 CPM & earn an extra 6 CPM on nights/weekends, *depending on experience and route Annual pay: The top 50% of Crete drivers average $93,976 per year Weekly pay: The top 50% of Crete drivers average $1,927 per week Indust…",93976.0,0,2026-07-22T10:51:39Z,Adzuna::API::Response::Job,5810925007,https://www.adzuna.com/land/ad/5810925007?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=E4DC081F023C6180940261CF92C3977EB883F83D,"['US', 'Oklahoma', 'Okmulgee County', 'Beggs']","Beggs, Okmulgee County",Adzuna::API::Response::Location,Crete Carrier Corporation,Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDk5MCIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.SOPWVhwNewlZKLaDzj_PsH3AgnMSj-aNzdX7W1U0ALU,Social Media Content Moderator - Bi-Lingual Spanish- Onsite,27.440462,46876.77,-80.566066,"Job Description Category : Customer Service/Support \n This position will be located on-site in Port St. Lucie, Florida. \n As a Social Media Content Moderator, you are responsible for moderating user-generated content on our clients platform by reviewing strong graphic images, videos, and/or written content to ensure the content meets the community guidelines and to escalate any content that violates the parameters set. This role is key in providing a positive social experience for all users. …",46876.77,1,2026-07-22T10:51:39Z,Adzuna::API::Response::Job,5810924990,https://www.adzuna.com/land/ad/5810924990?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=866B9A53867F73C1F1EA011B706FC38C3EA9DC32,"['US', 'Florida', 'St. Lucie County', 'Fort Pierce']","Fort Pierce, St. Lucie County",Adzuna::API::Response::Location,Teleperformance USA,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEVtaVZ0LUY4UkdhMTRFcXlYb3ktdyIsImkiOiI1ODEwOTI1MDA2In0.s25ROPIG455QQAzRbn037NsHEI4KzjUgbNfD914PbXY,Class A CDL Driver,33.976124,60175.07,-117.90534,"Job Description This role is not open for submissions from outside staffing agencies \n Class A CDL Driver \n *Must have recent delivery truck driver experience) \n \n Location: 19430 San Jose Ave, City of Industry, CA 91748 \n \n Who You Are: \n Trulite is growing at a tremendous rate, and we are looking for a professional Class A CDL Driver without any intrastate-only restrictions to grow with us. Operating a commercial vehicle, you will safely transport materials to specified destinations on…",60175.07,1,2026-07-22T10:51:39Z,Adzuna::API::Response::Job,5810925006,https://www.adzuna.com/land/ad/5810925006?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=0CCE94CF92DEF7ED367561EA5410495613151A2E,"['US', 'California', 'Los Angeles County', 'Rowland Heights']","Rowland Heights, Los Angeles County",Adzuna::API::Response::Location,Trulite Glass & Aluminum Solutions,Adzuna::API::Response::Company,travel-jobs,Adzuna::API::Response::Category,Travel Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNTAwOCIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.BeC2yQdb2TJd2vUruukJBDcL5vCv94J730fkPtOZAJw,"CDL-A Truck Driver - Average $93,976/Year",36.337832,93976.0,-96.803923,"Job Description Crete Carrier is Urgently Hiring CDL-A Drivers for a Dedicated Walmart Route Top 50% Average $93,976 per Year - Leading Pay Plus Carrier At Crete Carrier and Shaffer Trucking, we continue to lead the way in driver pay. Great Pay and Benefits: Starting pay: 60 - 73 CPM & earn an extra 6 CPM on nights/weekends, *depending on experience and route Annual pay: The top 50% of Crete drivers average $93,976 per year Weekly pay: The top 50% of Crete drivers average $1,927 per week Indust…",93976.0,0,2026-07-22T10:51:39Z,Adzuna::API::Response::Job,5810925008,https://www.adzuna.com/land/ad/5810925008?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=43ABA9D2AE02BB909A97BC60F85D725047B73F77,"['US', 'Oklahoma', 'Pawnee County', 'Pawnee']","Pawnee, Pawnee County",Adzuna::API::Response::Location,Crete Carrier Corporation,Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDk2NyIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.Tg1-k6EDypbvC0AAUYwMbx6eEx9LpxwQRdjCjc9Br_A,Registered Nurse (RN) - ER,26.071744,84028.64,-97.476373,"Job Description This position may qualify for a sign-on bonus \n \n \nThis role provides direct clinical patient care. The role will assume responsibility for assessing, planning, implementing direct clinical care to assigned patients on a per shift basis, and unit level. The role is responsible for supervision of staff to which appropriate care is delegated. The role is accountable to support CNO to ensure high quality, safe and appropriate nursing care, competency of clinical staff, and appro…",84028.64,1,2026-07-22T10:51:38Z,Adzuna::API::Response::Job,5810924967,https://www.adzuna.com/land/ad/5810924967?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=3320F4983481D8BAF26A7560A334C9DF3D865DA9,"['US', 'Texas', 'Cameron County', 'Los Fresnos']","Los Fresnos, Cameron County",Adzuna::API::Response::Location,Valley Baptist - Brownsville,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDkyNDk3MiIsInMiOiJURW1pVnQtRjhSR2ExNEVxeVhveS13In0.dc_aHHje288tjRq_rniWkWPwV8eTglwoIEQwceTRFOg,Registered Nurse II (RN) - Dialysis FT nights,29.488009,31835.94,-98.551686,"Job Description This position may qualify for a sign-on bonus \n \n \nUnder minimal supervision, provides nursing care for a group of patients assigned to the nurse based on matching the patients' needs with the nurse' competencies. Completes established competencies for the position within designated introductory period. Other related duties as assigned.\n \n \nMINIMUM EDUCATION: Graduate of accredited school of nursing. \n \n \nPREFERRED EDUCATION : Bachelors Degree \n \n \nMINIMUM EXPERIENCE…",31835.94,1,2026-07-22T10:51:38Z,Adzuna::API::Response::Job,5810924972,https://www.adzuna.com/land/ad/5810924972?se=TEmiVt-F8RGa14EqyXoy-w&utm_medium=api&utm_source=abfa41a4&v=DD987B4CB3185AEFEF88EEFDFA64F770403F4BC3,"['US', 'Texas', 'Bexar County', 'Balcones Heights']","Balcones Heights, Bexar County",Adzuna::API::Response::Location,Baptist Medical Center,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
