description,latitude,redirect_url,created,contract_time,salary_is_predicted,salary_max,__CLASS__,adref,longitude,id,title,salary_min,company.__CLASS__,company.display_name,location.display_name,location.__CLASS__,location.area,category.tag,category.__CLASS__,category.label,contract_type
"Start a fulfilling career as a Warehouse Selector II! We're a team. Our success is driven by the collective effort of each member in our warehouse, which has set us apart in the industry for 130 years. We’re dedicated to collectively challenging any supply chain problem with top-of-the-line technology and safety measures carried throughout the process.​​ We wouldn’t be where we are without our warehouse team. It’s why we’ve built a culture-focused and diverse ​​environment for you that offers o…",43.206657,https://www.adzuna.com/details/5812420986?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:07:27Z,full_time,1,35323.93,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwOTg2In0.5QJxbjPkWRvtEtl0TTW3rth-yJ7ZO5iinPWbSEmOVvY,-71.696319,5812420986,Selector II,35323.93,Adzuna::API::Response::Company,McLane,"Contoocook, Merrimack County",Adzuna::API::Response::Location,"['US', 'New Hampshire', 'Merrimack County', 'Contoocook']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,
"At Apple, we believe that groundbreaking ideas flourish when exceptional engineering meets innovative vision. We""re building the future of creative expression, and we need software engineers who are passionate about building elegant high-performance applications that let people bring their creativity to life. \\n\\nBe a part of the team that delivers an outstanding reading and listening experience to millions of Apple users every day. Does crafting new features that bring together software, har…",37.30494,https://www.adzuna.com/details/5812420780?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:07:09Z,,1,226902.44,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNzgwIn0.n73LYXdhb0AD7neje1FE1tCK32C_CrB0C8tosN988rw,-122.06046,5812420780,"Sr. iOS Software Engineer, Apple Books",226902.44,Adzuna::API::Response::Company,Apple,"Monte Vista, Santa Clara County",Adzuna::API::Response::Location,"['US', 'California', 'Santa Clara County', 'Monte Vista']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Job Description As a Local Yard Driver with Lazer Logistics, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. \n\n This is one of the most consistent and predictable CDL jobs available.You know where you are going, what you are doing, and when your day starts and ends.If you are looking for a CDL job that offers consistency, predictability, and a better…",,https://www.adzuna.com/land/ad/5812420707?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=FFBD39954830B3E689B1D957B18E0F0FF1BBCAF2,2026-07-23T11:07:01Z,,1,63463.54,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNzA3In0.q7UnA74gm1vFxhm95twC4PIdyRQ5k6IfWCpbCU7eoF0,,5812420707,Local CDL A Truck Driver - Home Daily $1500 Bonus!,63463.54,Adzuna::API::Response::Company,Lazer Logistics,US,Adzuna::API::Response::Location,['US'],travel-jobs,Adzuna::API::Response::Category,Travel Jobs,
"Description 6:30am-3:00pm/Monday-Friday When joining our Supply Chain team, you can feel right away that people are at the heart of what we do. You’ll be surrounded by a team who is looking to make an impact on our customers, our community, and each other. By pairing innovative technology with dynamic employees, we create smarter, more efficient ways to deliver for customers. Our network of distribution, fulfillment, fleet, furniture installation and professional teams work together in fun and …",39.942861,https://www.adzuna.com/details/5812420703?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:59Z,full_time,0,57512.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDcwMyIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.jK5gawLr5n9rZ7XRX0U1tC0x_mRgiVlgwxkt-NvgKSg,-104.799537,5812420703,Delivery Driver,52832.0,Adzuna::API::Response::Company,Staples,"Brighton, Adams County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Adams County', 'Brighton']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,
"POSITION TITLE: Custodian (substitute) QUALIFICATIONS:1. High School Diploma or Accredited GED REPORTS TO: Head Custodian/Principal JOB GOAL: 2. Demonstrate aptitude for successful fulfillment of assigned performance responsibilities. 3. Must be able to perform heavy physical labor such as lifting garbage bags that weigh 50 pounds. 4. Such alternatives to the above qualifications as the Board may find appropriate and acceptable. RESPONSIBILITIES: To provide students with a safe, attractive, com…",38.209797,https://www.adzuna.com/details/5812420699?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:48Z,full_time,1,25612.7,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjk5In0.67i-TT9VfNEaUFK_-41b-cliREzK4-w9ouY3Kh6Itk0,-84.558831,5812420699,2026-2027 Substitute Custodian,25612.7,Adzuna::API::Response::Company,Scott County School District,"Georgetown, Scott County",Adzuna::API::Response::Location,"['US', 'Kentucky', 'Scott County', 'Georgetown']",maintenance-jobs,Adzuna::API::Response::Category,Maintenance Jobs,
"Maintenance Technician Pay: $33.00 per hour Shift & Working Hours: 1st Shift; 5:30 AM to 2:00 PM; Weekends/Overtime/Holidays as needed. In this role, you’ll be a key member of our Land O’Lakes, Inc. manufacturing team, performing maintenance of the facility and production equipment to ensure our plants can add value and quality to the inputs and creation of final high-quality products. You’ll be responsible for the installation, ongoing maintenance, and necessary repairs for the facility and th…",42.973118,https://www.adzuna.com/details/5812420694?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:40Z,full_time,1,88883.3,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY5NCIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.1owjrxiSBdAYojoqiP1vDdKrhBYBhdonRkwWW4ofoIQ,-77.852785,5812420694,Maintenance Technician,88883.3,Adzuna::API::Response::Company,Land O'Lakes,"Caledonia, Livingston County",Adzuna::API::Response::Location,"['US', 'New York', 'Livingston County', 'Caledonia']",engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,
"Watson Candidate Assistant is here to answer questions about working at Dallas ISD. The requirements listed below are representative of the knowledge, skill, and/or ability required of this job: Bachelor's Degree from an accredited university Valid Texas teacher certificate with required endorsements for subject and subject level assigned. Demonstrated general knowledge of curriculum and instruction. Demonstrated knowledge of various routine tasks, duties, and procedures and the ability to foll…",32.7061,https://www.adzuna.com/details/5812420693?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:38Z,full_time,1,34480.61,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY5MyIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.IzbzNH8uKzcvePg-vOei5MVUFRUUt9h-Ks1V-3gVvpk,-96.7887,5812420693,Generalist Teacher (Grades: K-4) ADSY,34480.61,Adzuna::API::Response::Company,Dallas Independent School District,"Lancaster, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Lancaster']",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,
"Join Our Team at MasterCorp, Inc.! At MasterCorp, Inc., we provide exceptional service and innovative solutions in the hospitality industry. As a leader in our field, we believe in the power of teamwork, integrity, and a commitment to excellence. Our dynamic and inclusive workplace fosters growth, creativity, and the opportunity to make an impact. We are looking for passionate and driven individuals to join our team and help us continue to deliver outstanding results for our clients. Start your…",33.45,https://www.adzuna.com/details/5812420692?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:38Z,full_time,1,31143.63,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjkyIn0.zAYgW7Pgi60PytoXVkXBs91_zGLknfV-V2UbgnoG_Ys,-112.07,5812420692,"General Cleaner - Commercial Services - Phoenix, AZ",31143.63,Adzuna::API::Response::Company,MasterCorp,"Phoenix, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,
"Summary The Sales Teammate position’s primary responsibility is to fulfill our mission statement: “To create the most enjoyable shopping experience possible for our Guests.” Additionally, Sales Teammates perform a variety of sales, merchandising and operational tasks assigned by Store Management (e.g. cashiering, merchandise display and pulls, register procedures, and routine cleaning of facilities). Essential Duties and Responsibilities This description intends to describe the general nature a…",35.07402,https://www.adzuna.com/details/5812420689?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:06:37Z,part_time,1,25352.23,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM2traHNhbUc4UkctZ0psRDQxRE1OZyIsImkiOiI1ODEyNDIwNjg5In0.Umam-bRESEqwncExr43uHyVo-UrSiKAad7gXkjZ2O4M,-78.96528,5812420689,Part-Time Sales Teammate,25352.23,Adzuna::API::Response::Company,Cross Creek Mall,"Ponderosa, Cumberland County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Cumberland County', 'Ponderosa']",part-time-jobs,Adzuna::API::Response::Category,Part time Jobs,
"Magnet Medical is seeking a travel nurse RN Med Surg for a travel nursing job in Maywood, Illinois. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 08/10/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel The Registered Nurse (RN) in the Med-Surg unit is responsible for providing direct patient care in a fast-paced environment, assisting with the recovery of patients who require medical and surgical interventions. The RN will …",41.880037,https://www.adzuna.com/land/ad/5812420651?se=3kkhsamG8RG-gJlD41DMNg&utm_medium=api&utm_source=abfa41a4&v=D1295E2D4F8D49AC25F9761CD4FD153469C53AA1,2026-07-23T11:06:34Z,,0,105924.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQyMDY1MSIsInMiOiIza2toc2FtRzhSRy1nSmxENDFETU5nIn0.mrkYkBQSS1CYK3SKPWh2LtkZ2Nox1j7xlI13MDx8R78,-87.845468,5812420651,"Travel Medical/Surgical Registered Nurse - $2,037 per week",0.0,Adzuna::API::Response::Company,Magnet Medical,"Maywood, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Maywood']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
