salary_min,title,longitude,contract_time,salary_is_predicted,redirect_url,latitude,salary_max,created,adref,description,__CLASS__,id,category.tag,category.__CLASS__,category.label,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,contract_type
47393.04,A - B Production Operator,-92.035956,full_time,1,https://www.adzuna.com/details/5813917288?utm_medium=api&utm_source=abfa41a4,29.958261,47393.04,2026-07-24T10:53:59Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMzkxNzI4OCIsInMiOiI2bXluazNDSDhSR1pCSk1ZcTFNSUh3In0.h-6iv__wdS9rrbOWz7lCvYW8vkh1eGu82HguZ-mfuLY,"Monitors and records the production of gas, oil, and water from computer and meter readings. Performs regulatory inspections which involve tasks such as: testing safety devices high and low pressures; checking fluid levels in the separator, tank, and other parts of the vessel; inspecting wellheads for leaks and deficiencies, and recording data on required forms for computer input. Performs visual inspections by walking around facility and equipment to check for pollution, leaks, temperature var…",Adzuna::API::Response::Job,5813917288,maintenance-jobs,Adzuna::API::Response::Category,Maintenance Jobs,"['US', 'Louisiana', 'Vermilion Parish', 'Erath']",Adzuna::API::Response::Location,"Erath, Vermilion Parish",Adzuna::API::Response::Company,"Energy Management Company, LLC.",
77367.27,Building Inspector,,full_time,1,https://www.adzuna.com/details/5813917079?utm_medium=api&utm_source=abfa41a4,,77367.27,2026-07-24T10:52:48Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNm15bmszQ0g4UkdaQkpNWXExTUlIdyIsImkiOiI1ODEzOTE3MDc5In0.MOuCWQQKDlVHMjRa1dcAX9rwnTHfGQyp5iY_C99HGm0,"Location: Houston, TX Employment Type: Full-time Advance Your Career as a Building Inspector – Make an Impact Are you a certified ICC professional with a keen eye for construction quality and code compliance? Join Aoka and take your expertise to the next level by overseeing construction projects, ensuring safety, and guiding contractors — all while enjoying flexibility, recognition, and top-tier compensation. Why You’ll Love This Role Competitive Compensation: $70,000–$90,000 annually, based on…",Adzuna::API::Response::Job,5813917079,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,"['US', 'Texas', 'Harris County', 'Houston']",Adzuna::API::Response::Location,"Houston, Harris County",Adzuna::API::Response::Company,Aoka,
80107.77,Yoga Instructor,-118.25851,part_time,1,https://www.adzuna.com/details/5813917075?utm_medium=api&utm_source=abfa41a4,33.8232,80107.77,2026-07-24T10:52:41Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMzkxNzA3NSIsInMiOiI2bXluazNDSDhSR1pCSk1ZcTFNSUh3In0.zDW4ONMCaY7-RVuDpX8NDzy3cIADTSA17OyQfXoK9QU,"Kinema Fitness is a fast-growing corporate wellness company that provides on-site fitness programming to companies across the country. We are seeking an energetic, passionate, and experienced Yoga Instructor to teach classes at a corporate fitness site in Long Beach, California. The ideal candidate has vibrant energy, communicates effectively, and has a genuine love for fitness and teaching others! We are looking for someone to teach on Tuesday's from 4:30 - 5:15 PM. We are only considering app…",Adzuna::API::Response::Job,5813917075,teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"['US', 'California', 'Los Angeles County', 'Long Beach']",Adzuna::API::Response::Location,"Long Beach, Los Angeles County",Adzuna::API::Response::Company,Kinema Fitness,
24031.44,Hume New England 2026 Fall Food Service Assistant,-73.2125,,1,https://www.adzuna.com/details/5813917071?utm_medium=api&utm_source=abfa41a4,42.179167,24031.44,2026-07-24T10:52:03Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNm15bmszQ0g4UkdaQkpNWXExTUlIdyIsImkiOiI1ODEzOTE3MDcxIn0.WkS6LDHCvsHlGiXcvtsbIyyDBxK4qjIcyVSJcgrASmk,"Vision for the Role: The Food Service Assistant plays a vital role in creating a distraction-free environment for guests and maintaining spaces that help facilitate ministry and guest experiences. This individual provides general help and assistance in the preparation and serving of meals to campers and guests, ensuring a delicious and sanitary dining experience. Location: Hume New England Why Join Us? Be part of a mission-driven, faith-based organization that is dedicated to making a lasting i…",Adzuna::API::Response::Job,5813917071,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,"['US', 'Massachusetts', 'Berkshire County', 'Monterey']",Adzuna::API::Response::Location,"Monterey, Berkshire County",Adzuna::API::Response::Company,Hume Christian Camps,
37638.04,Recovery Support Assistant,-71.998133,,1,https://www.adzuna.com/details/5813917068?utm_medium=api&utm_source=abfa41a4,42.575088,37638.04,2026-07-24T10:50:58Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMzkxNzA2OCIsInMiOiI2bXluazNDSDhSR1pCSk1ZcTFNSUh3In0.3u_Klqtge9lUGpR74dwFqN2E1sbWbedrmH434Fwnu0A,The Recovery Support Assistant (RSA) greets visitors to the Peer Recovery Support Center (PRSC) and helps people seek help with access to resources and services at the center and in the community. The RSA also serves in a Recovery Coach/peer mentor role by helping members to assess needs and barriers to sustaining recovery and creating wellness plans with members. The RSA should be the warm and friendly face who welcomes people frequently in distress or need. Duties: The RSA will greet visitors…,Adzuna::API::Response::Job,5813917068,social-work-jobs,Adzuna::API::Response::Category,Social work Jobs,"['US', 'Massachusetts', 'Worcester County', 'Gardner']",Adzuna::API::Response::Location,"Gardner, Worcester County",Adzuna::API::Response::Company,GAAMHA,
93804.66,NQA1 Program Inspector,-82.382593,,1,https://www.adzuna.com/details/5813916802?utm_medium=api&utm_source=abfa41a4,27.853637,93804.66,2026-07-24T10:48:06Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMzkxNjgwMiIsInMiOiI2bXluazNDSDhSR1pCSk1ZcTFNSUh3In0.ODOeUocnkEqd4ppfKFVjBnChNq5xwotxBseuHmMb6uk,"Job Description – NQA-1 Quality Control Inspector Position Summary The NQA-1 Quality Control Inspector is responsible for performing inspection, documentation, and quality verification activities for complex steel fabrication work performed under AISC, AWS, project-specific, and nuclear quality assurance requirements. This position supports fabrication, welding, dimensional inspection, material verification, nondestructive examination coordination, and quality documentation in accordance with c…",Adzuna::API::Response::Job,5813916802,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,"['US', 'Florida', 'Hillsborough County', 'Gibsonton']",Adzuna::API::Response::Location,"Gibsonton, Hillsborough County",Adzuna::API::Response::Company,Precision Build Solutions LLC,
84175.26,Journeyman Electrician with Thrower Electric Inc,-83.900738,,1,https://www.adzuna.com/details/5813916727?utm_medium=api&utm_source=abfa41a4,33.838998,84175.26,2026-07-24T10:47:15Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNm15bmszQ0g4UkdaQkpNWXExTUlIdyIsImkiOiI1ODEzOTE2NzI3In0.FcHwU7nn6bPY6XQnS5gTSF16szd4TfCy-HWPtNGZK6Q,Family company founded in 1977 looking for new team members to add value to our company. Currently hiring lead electricians for our residential team. Benefits: Health Insurance 401(K) Matching Paid Holidays Paid Vacations Paid Sick Time Weekly Pay (As Opposed To Bi-Weekly) Travel Per Diem Apprenticeship Training Tuition Reimbursement Apply here: https://app.meetladder.com/e/Thrower-Electric-Inc-tzGiRVEpwo/Journeyman-Electrician-Loganville-GA-Om0G7suWGZ Powered by JazzHR,Adzuna::API::Response::Job,5813916727,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,"['US', 'Georgia', 'Walton County', 'Loganville']",Adzuna::API::Response::Location,"Loganville, Walton County",Adzuna::API::Response::Company,Ladder,
69624.4,Commercial - Electrician for Walmart Remodel with Buildforce,-79.497186,,1,https://www.adzuna.com/details/5813916726?utm_medium=api&utm_source=abfa41a4,36.028661,69624.4,2026-07-24T10:47:10Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNm15bmszQ0g4UkdaQkpNWXExTUlIdyIsImkiOiI1ODEzOTE2NzI2In0.zReHridih3XIeZyOcdXuvIJXgdNKIGcUHHhRQIrcHv8,Description Buildforce offers Electricians real job security and higher pay. We partner with electrical contractors to provide you with hundreds of opportunities to choose from. We are looking for a Commercial Electrician who has 4 years of Commercial experience. Looking for experienced tradesmen level electrician. Electricians working for Buildforce check the following boxes: Have 4 years Commercial Electrician experience (Required) MUST have own tools MUST have reliable transportation Ability…,Adzuna::API::Response::Job,5813916726,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,"['US', 'North Carolina', 'Alamance County', 'Burlington']",Adzuna::API::Response::Location,"Burlington, Alamance County",Adzuna::API::Response::Company,Ladder,
124339.86,Senior Tax Manager - Real Estate,-82.394,full_time,1,https://www.adzuna.com/details/5813916370?utm_medium=api&utm_source=abfa41a4,34.850555,124339.86,2026-07-24T10:43:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNm15bmszQ0g4UkdaQkpNWXExTUlIdyIsImkiOiI1ODEzOTE2MzcwIn0.OXRMIvu6MGLsWXVq2q9YXHLGXBkTCiYMA0u4u35ol1I,"Senior Tax Manager - Real Estate - Greenville, SC Who: An experienced tax professional with 7 years in public accounting and deep real estate industry expertise. What: Lead complex tax engagements, develop staff, manage workflows, and support clients with strategic, forward-thinking tax advisory. When: Full-time position available now. Where: Greenville, SC Why: To help shape the future of a growing practice and empower clients, employees, and yourself through impactful leadership. Office Envir…",Adzuna::API::Response::Job,5813916370,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,"['US', 'South Carolina', 'Greenville County', 'Greenville']",Adzuna::API::Response::Location,"Greenville, Greenville County",Adzuna::API::Response::Company,NorthPoint Search Group,
42881.79,Maintenance Technician,-83.950807,,1,https://www.adzuna.com/details/5813916362?utm_medium=api&utm_source=abfa41a4,43.41947,42881.79,2026-07-24T10:41:45Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNm15bmszQ0g4UkdaQkpNWXExTUlIdyIsImkiOiI1ODEzOTE2MzYyIn0.bNORRFlMUAoZcaDP6YnKXVi_g9JhWhiixRt-k6E6c7A,"About Us RAM Partners, LLC, is a full-service real estate management company that manages more than 80,000 apartments throughout the United States. We specialize in multi-family community management for a variety of third-party owners. We are a service-oriented, hands-on company. Our brick and mortar are our people. Compensation: $19 to $20 per hour $500 sign-on bonus after 90 days of employment Overview We are looking for a Maintenance Technician who will use their maintenance experience and a…",Adzuna::API::Response::Job,5813916362,property-jobs,Adzuna::API::Response::Category,Property Jobs,"['US', 'Michigan', 'Saginaw County', 'Saginaw']",Adzuna::API::Response::Location,"Saginaw, Saginaw County",Adzuna::API::Response::Company,"RAM Partners, LLC",
