__CLASS__,redirect_url,title,adref,id,longitude,salary_is_predicted,description,salary_max,created,latitude,salary_min,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,contract_time,contract_type
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441875?utm_medium=api&utm_source=abfa41a4,Steward I - Overland Park Convention Center,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNTQ0MTg3NSIsInMiOiJyQndhMlRhSThSR0ZmcldwMkJpRWNnIn0.7SPZfFVErIZ4Yy-TFCwJ79nLPLq9Jy91ObP6hooQDIQ,5815441875,-94.63728,1,"Job Description The Steward serves a variety of important back of the house food & beverage roles which include dishwashing, deep cleaning the kitchen and equipment, and executing other miscellaneous duties. Stewards are required to maintain a safe and sanitary work environment, stock and manage food and beverage supply, and will directly interact with our guests. As part of our team, Stewards will gain an extensive knowledge of proper use and cleaning techniques for equipment such as (but not …",33027.22,2026-07-25T10:32:55Z,38.9265,33027.22,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,Aramark,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Kansas', 'Johnson County', 'Leawood']","Leawood, Johnson County",,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441835?utm_medium=api&utm_source=abfa41a4,Maintenance Mechanic,eyJhbGciOiJIUzI1NiJ9.eyJzIjoickJ3YTJUYUk4UkdGZnJXcDJCaUVjZyIsImkiOiI1ODE1NDQxODM1In0.YbFKPG6elb4zRHB3RRE6AmiltL3tHWayGgi15cgBscE,5815441835,-119.739682,1,"ARE YOU A CURRENT US FOODS EMPLOYEE? PLEASE APPLY DIRECTLY THROUGH OUR INTERNAL WORKDAY CAREER SITE Join Our Community of Food People! BASIC PURPOSE Responsible for upkeep and maintenance of warehouse-related equipment (i.e. pallet jacks, highlifts, forklifts, batteries, etc). This keeps day and night warehouse operations functional to ensure efficient shipping and receiving of product. Compensation depends on relevant experience and/or education, specific skills, function, geographic location,…",40737.5,2026-07-25T10:32:37Z,36.688312,40737.5,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"US Foods, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'California', 'Fresno County', 'Malaga']","Malaga, Fresno County",full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441805?utm_medium=api&utm_source=abfa41a4,CDL A Truck Driver,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNTQ0MTgwNSIsInMiOiJyQndhMlRhSThSR0ZmcldwMkJpRWNnIn0.XUBEe3wmsDsmYXwEKske6BjH9TJbCc9_jPq5mG8SaVo,5815441805,-78.500141,1,ARE YOU A CURRENT US FOODS EMPLOYEE? PLEASE APPLY DIRECTLY THROUGH OUR INTERNAL WORKDAY CAREER SITE Join Our Community of Food People! Ready to build a career with a company that’s leading the foodservice industry? Here’s HOW we help YOU make it! 5K Retention BONUS! Our Top drivers can earn up to $100k annually. Altoona CDL A Drivers start at $32/hour. WEEKLY PAY! HOME DAILY! Current schedule: Monday through Friday . Dispatch between 3 AM – 5 AM (average of 50 hours/week).  Team members occasio…,95353.41,2026-07-25T10:32:26Z,40.797393,95353.41,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"US Foods, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Clearfield County', 'Glen Hope']","Glen Hope, Clearfield County",full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441803?utm_medium=api&utm_source=abfa41a4,Meat Production Associate - Stock Yards,eyJhbGciOiJIUzI1NiJ9.eyJzIjoickJ3YTJUYUk4UkdGZnJXcDJCaUVjZyIsImkiOiI1ODE1NDQxODAzIn0.SrjsZgDoA2Eza5rNBIzTml4PW7c-J7ySHQh3KeN2Smk,5815441803,-87.898338,1,"ARE YOU A CURRENT US FOODS EMPLOYEE? PLEASE APPLY DIRECTLY THROUGH OUR INTERNAL WORKDAY CAREER SITE Join Our Community of Food People! THE STOCK YARDS STORY We’ve been providing chefs with expertly cut and portioned beef and pork for over 120 years, based on rigid meat-selection criteria, precise beef aging and expert trimming. Whatever your need, from white-linen presentation to casual family dining, our procurement experts will find the best-quality options that work for your budget and pack-…",41140.3,2026-07-25T10:32:23Z,41.873709,41140.3,Adzuna::API::Response::Category,manufacturing-jobs,Manufacturing Jobs,"US Foods, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Hillside']","Hillside, Cook County",full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441801?utm_medium=api&utm_source=abfa41a4,Logistics Driver,eyJhbGciOiJIUzI1NiJ9.eyJzIjoickJ3YTJUYUk4UkdGZnJXcDJCaUVjZyIsImkiOiI1ODE1NDQxODAxIn0.cPIHp95k5SNm38KR4-Rccgk_3d9dFB9EcrdlyEIJKWU,5815441801,-84.509748,1,"ARE YOU A CURRENT US FOODS EMPLOYEE? PLEASE APPLY DIRECTLY THROUGH OUR INTERNAL WORKDAY CAREER SITE Join Our Community of Food People! We help YOU make it! US FOODS ® is one of the largest food distributors with a culture and history of promotion from within and unlimited career growth opportunities with ongoing job skills and leadership development training. We are looking for Logistics Truck Drivers who relish the chance to push their potential, grow and reap the rewards of joining the US FOO…",99137.77,2026-07-25T10:32:23Z,33.87371,99137.77,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"US Foods, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Georgia', 'Cobb County', 'Smyrna']","Smyrna, Cobb County",full_time,contract
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441799?utm_medium=api&utm_source=abfa41a4,Retail Merchandiser,eyJhbGciOiJIUzI1NiJ9.eyJzIjoickJ3YTJUYUk4UkdGZnJXcDJCaUVjZyIsImkiOiI1ODE1NDQxNzk5In0.X3xmU4oidYTAddHHkjd94l1APyrMyERJjn48XFvplN4,5815441799,-85.1697,1,"We want you to help us shape the future of shopping experiences and deliver on our purpose of connecting people with the products and experiences that enrich their lives. Joining Retail Odyssey, an Advantage Solutions company, means joining a network of 65,000 teammates serving 4,000 brands and retail customers across 40 countries. All the while, being provided the opportunities, support, and enrichment you need to grow your career. In this role, you will provide in-store merchandising support …",31183.63,2026-07-25T10:32:21Z,41.7368,31183.63,Adzuna::API::Response::Category,retail-jobs,Retail Jobs,The Retail Odyssey Company,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Indiana', 'Steuben County', 'Orland']","Orland, Steuben County",full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441793?utm_medium=api&utm_source=abfa41a4,Controls Systems Engineer (BAS/DDC/BMS/UMCS/FRCS) - International / OCONUS,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNTQ0MTc5MyIsInMiOiJyQndhMlRhSThSR0ZmcldwMkJpRWNnIn0._RqgpwrKhjJAVjYMwgwXthY7RLEf2l118QimInBb2OQ,5815441793,-66.567142,1,"Job Description We are seeking a Controls Specialist / Controls Systems Engineer to join our federal team supporting U.S. military and other U.S. federal government sites Outside the Continental United States (OCONUS). Our OCONUS team supports projects for the U.S. government, primarily for the Department of State supporting U.S. Embassies and for the Department of Defense supporting U.S. military bases in foreign countries (no designated war zone countries). Travel is based on the project need…",120588.83,2026-07-25T10:32:18Z,18.362063,120588.83,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Johnson Controls,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Florida', 'Florida']",Florida,full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441785?utm_medium=api&utm_source=abfa41a4,Warehouse Worker,eyJhbGciOiJIUzI1NiJ9.eyJzIjoickJ3YTJUYUk4UkdGZnJXcDJCaUVjZyIsImkiOiI1ODE1NDQxNzg1In0.kqtwtVuxrdAVBHbSlxS9RjJlmy_Nb4tiJ_dP9YBrcgI,5815441785,-98.36874,1,"Job Description The Warehouse Worker ? SBE main responsibilities include receiving and processing incoming products, preparing orders for transport, and performing inventory and quality control duties. This person ensures the warehouse is clean and organized, maintained in accordance with the facility protocols and safety standards. Job Responsibilities ? Responsible for receiving and inspecting products, accurately labeling items and reporting any discrepancies in reconciliation of deliveries …",34035.25,2026-07-25T10:32:15Z,29.55246,34035.25,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Aramark,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Texas', 'Bexar County', 'Live Oak']","Live Oak, Bexar County",,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441776?utm_medium=api&utm_source=abfa41a4,Customer Service Representative – Healthcare,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNTQ0MTc3NiIsInMiOiJyQndhMlRhSThSR0ZmcldwMkJpRWNnIn0.O_OdWthRUZKMn0VPbk7ePpBKTQVmacVRdoa6CZXfiMc,5815441776,-112.0696,1,"General information Job Posting Title Customer Service Representative – Healthcare Date Wednesday, June 17, 2026 City Phoenix State AZ Country United States Working time Full-time Description & Requirements Location: On-site in Phoenix, AZ Starting Pay: $1 7.42 / hr . plus potential bonus opportunities Schedule: Limited-Service Full-Time positions available Site Hours: 24/7 center ; the targeted start date, hours, and schedule are discussed with recruiter Evening and night shifts are highly des…",37330.54,2026-07-25T10:32:11Z,33.4492,37330.54,Adzuna::API::Response::Category,customer-services-jobs,Customer Services Jobs,Maximus,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']","Phoenix, Maricopa County",full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5815441772?utm_medium=api&utm_source=abfa41a4,Retail Merchandiser Team Lead,eyJhbGciOiJIUzI1NiJ9.eyJzIjoickJ3YTJUYUk4UkdGZnJXcDJCaUVjZyIsImkiOiI1ODE1NDQxNzcyIn0.CN5WVtBqqm3WmqbRJ93dgO6e1vmwVlV46PtmuXfSgJI,5815441772,-104.984167,1,"We want you to help us shape the future of shopping experiences and deliver on our purpose of connecting people with the products and experiences that enrich their lives. Joining Retail Odyssey, an Advantage Solutions company, means joining a network of 65,000 teammates serving 4,000 brands and retail customers across 40 countries. All the while, being provided the opportunities, support, and enrichment you need to grow your career. In this role, you will provide in-store merchandising support …",43128.11,2026-07-25T10:32:10Z,39.739167,43128.11,Adzuna::API::Response::Category,retail-jobs,Retail Jobs,The Retail Odyssey Company,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Glendale']","Glendale, Denver",full_time,
