adref,redirect_url,latitude,id,salary_max,description,created,salary_min,title,salary_is_predicted,__CLASS__,contract_time,longitude,company.display_name,company.__CLASS__,category.__CLASS__,category.tag,category.label,location.area,location.__CLASS__,location.display_name,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNzMyMyIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.46S1k0BwKBXhzO6jxUOapT_DZk4vGN7oqr6beyFuzng,https://www.adzuna.com/land/ad/5818417323?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=B795A419FA34050D002F7488145A9E070BB3FB96,41.46108,5818417323,50098.71,"Earn at least $1875 driving with Uber when you complete your first 136 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 136 trips with Ub…",2026-07-28T11:17:03Z,50098.71,"Fast Pay - Earn at least $1875 in your first 136 trips, guaranteed.",1,Adzuna::API::Response::Job,part_time,-82.09944,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"['US', 'Ohio', 'Lorain County', 'Sheffield Lake']",Adzuna::API::Response::Location,"Sheffield Lake, Lorain County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE3MTU3In0.TVK0fR63VZQNxbZyB8KJnREyx-2tJEzud6FnDOThBAA,https://www.adzuna.com/land/ad/5818417157?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=718393D275914E145B5468A758A1FBA0095314D0,41.122754,5818417157,73148.35,"Responsible for assisting with the following duties: Create and update tickets utilizing DISA ticketing applications to aid in customer problem tracking and resolution in all aspects of the network integral to our clients Baseband, IF and RF communications. Monitor network events and element management failures in real-time on a 24x7x365 basis. Perform IP network support to include configuration of routers, switches, firewalls and voice equipment. Perform IP satellite modem support to include c…",2026-07-28T11:16:50Z,73148.35,SATCOM IP network Support Analyst with Security Clearance,1,Adzuna::API::Response::Job,,-111.977344,Lightgrid,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'Utah', 'Davis County', 'Hill Air Force Base']",Adzuna::API::Response::Location,"Hill Air Force Base, Davis County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNzE1MCIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.55kOxXg7VmdmOiuoB3ZJEki5Kx2UrXdxez4oMnUGgGg,https://www.adzuna.com/land/ad/5818417150?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=F015C6D2A7BB12819B780A676F020A48F6C5F710,38.886306,5818417150,107727.94,"Description This position requires the candidate to currently possess and maintain an active TS/SCI security clearance with polygraph. The position further requires the candidate to opt into a commensurate clearance for each government agency for which they perform Amazon Web Services (AWS) work. We are Amazon's Finance Operations organization and responsible for Amazon's strategic customers Payables and Receivables. We are responsible for making on-time, accurate payments, billings and collect…",2026-07-28T11:16:49Z,107727.94,"Accounts Receivable Analyst, FinOps AR with Security Clearance",1,Adzuna::API::Response::Job,,-77.097739,Amazon,Adzuna::API::Response::Company,Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,"['US', 'Virginia', 'Arlington County', 'State Farm']",Adzuna::API::Response::Location,"State Farm, Arlington County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjQyIn0.TbrwJrkYLgUenJaDHwg90l4eh4iogVLhU5cf6Ctvc4E,https://www.adzuna.com/land/ad/5818416642?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=0362888FF78C88E1A7E3E13FCDE7E7BF161B55BD,42.8849,5818416642,177850.64,"Job Duties- Own and enhance enterprise developer platforms and SDLC capabilities. Design, build, and optimize CI/CD pipelines, automation, and DevSecOps workflows. Drive platform modernization, developer productivity, and engineering excellence. Lead integrations across GitLab, SonarQube, JFrog Artifactory, Mend, cloud platforms, identity services, and observability tools. Define best practices for source control, CI/CD, release automation, software supply chain security, and developer self-ser…",2026-07-28T11:16:05Z,177850.64,Senior Platform Engineer SDLC & Enterprise DevEx / DevSecOps,1,Adzuna::API::Response::Job,,-78.8264,Midasis Technologies LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'New York', 'Erie County', 'Cheektowaga']",Adzuna::API::Response::Location,"Cheektowaga, Erie County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjY0MSIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.jIZuDsNKscyaHimppfcue_aygDxqpsns4_vZsbX3fCo,https://www.adzuna.com/land/ad/5818416641?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=8676E1E68B76CD6CE4C9593AEF6D9AB41B9ACB61,40.75284,5818416641,213668.61,"Job Title : Sr Data Engineer with Python Exp Primary Skill : Python Job Duration : 6 Months Minimum Qualifications ? 8 Years overall IT experience with minimum 5 years of work experience in below tech skills ? Tech Skills ? Strong experience in Python Scripting and PySpark for data processing ? Proficiency in SQL , dealing with big data processing ? Experience in AWS cloud platform and its data services (S3, Redshift, Lambda, EMR, Airflow, Glue) ? Expertise in BASH/Shell scripting ? Strong unde…",2026-07-28T11:16:05Z,213668.61,Sr Data Engineer with Python Exp,1,Adzuna::API::Response::Job,,-73.97528,"RapidIT, Inc",Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",Adzuna::API::Response::Location,"Grand Central, Manhattan",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjM4In0.olFze64PK3KjD2r4eKTx7wbscL-i92HnegPCWyZBRDY,https://www.adzuna.com/land/ad/5818416638?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=BF6B98F26D23CFF09C6197A5C1A8C290AEC567B9,,5818416638,89246.16,"Team, Client is looking for SAP S/4 service consultants with good Comm skills Senior/Lead SAP S4 Functional Resource - We are seeking a Senior SAP FICO Functional Lead to spearhead the migration of Aetna''s Oracle E-Business Suite General Ledger to SAP S/4HANA Core Finance. This role will serve as the primary functional authority for the GL workstream within an 18-month following the SAP Activate methodology. The successful candidate will partner closely with Client Finance, IT leadership, SAP …",2026-07-28T11:16:05Z,89246.16,SAP S/4 services consultant @ remote,1,Adzuna::API::Response::Job,,,Pristine Resource,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,['US'],Adzuna::API::Response::Location,US,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYzNyIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.QZ72g79zSJnJbYiSh6pD2ihEt47cM1y6gf8E4ThVrjA,https://www.adzuna.com/land/ad/5818416637?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=FE8CDDD4081D7CD3D558D8979B25D430DD1D6887,32.8137,5818416637,114864.16,"Need on w2 Client: Verizon Location: hybrid role – 4 days onsite @ Irving TX. Duration: Long-term contract Title: Reports & Visualization Developer - Looker Experience 11 years of experience in IT industry. Build reports and dashboards Retrofit/modernize/migrate reports and dashboards from Tableau to Looker. Create universal semantic layer Use modern AI capabilities native to reporting tools Use AI code development solutions like Claude Code to build dashboards Skills: Tableau, Looker(must have…",2026-07-28T11:16:05Z,114864.16,Reports & Visualization Developer - Looker:Exp:11yrs,1,Adzuna::API::Response::Job,,-96.9485,SSTech LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'Texas', 'Dallas', 'Irving']",Adzuna::API::Response::Location,"Irving, Dallas",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjQ1In0.6YyfKoOQ6Rm7AOz4HiNHKQ72ZFhI7K-SJwByudHIIbY,https://www.adzuna.com/land/ad/5818416645?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=8FD916546DDE3B945184D5D5140878EADF8ABF49,34.0703,5818416645,91687.71,"Job Title: Junior Java Developer Location: Alpharetta, GA (Onsite) Experience: 5 years Required Skills & Qualifications: 5 years of experience in Java development. Good knowledge of Java, J2EE, Spring Boot, and Spring MVC. Basic experience with Angular or React. Understanding of REST APIs and microservices concepts. Experience working with Oracle, MySQL, or PostgreSQL databases. Basic knowledge of cloud platforms such as AWS, Azure, or Google Cloud Platform. Familiarity with Docker and basic co…",2026-07-28T11:16:05Z,91687.71,"Hiring:: Junior Java Developer || Alpharetta, GA (Onsite)",1,Adzuna::API::Response::Job,,-84.2887,Key2Source INC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,"['US', 'Georgia', 'Fulton County', 'Alpharetta']",Adzuna::API::Response::Location,"Alpharetta, Fulton County",
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxODQxNjYyNyIsInMiOiJrcXVXNHBpSzhSRzZjLWpTUFFGa21RIn0.MD-WdwcZ71N04lzfoT-VYY7I1xC7axsXxLDpOrD97Ro,https://www.adzuna.com/land/ad/5818416627?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=0AF96D63ABC14BF17C9B37791B8D2E42F769F1B9,33.739744,5818416627,84616.64,"Please Contact: To discuss this amazing opportunity, reach out to our Talent Acquisition Specialist Bhupendra Chopade at email address can be reached on  . We have Contract role Program Specialist-Finance for client at Rancho Mirage, CA . Please let me know if you or any of your friends would be interested in this position. Position Details: Program Specialist-Finance- Rancho Mirage, California Location : Rancho Mirage, California 92270 Project Duration : 3 months of contract Pay Rate : $38 - $…",2026-07-28T11:16:04Z,84616.64,Program Specialist-Finance,1,Adzuna::API::Response::Job,,-116.41279,Generis TEK Inc.,Adzuna::API::Response::Company,Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,"['US', 'California', 'Riverside County', 'Rancho Mirage']",Adzuna::API::Response::Location,"Rancho Mirage, Riverside County",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoia3F1VzRwaUs4Ukc2Yy1qU1BRRmttUSIsImkiOiI1ODE4NDE2NjI4In0.jmUjz8EHZ_AFUvnLKZIPsOFPD-W-DE3Z-vipxWAUwgg,https://www.adzuna.com/land/ad/5818416628?se=kquW4piK8RG6c-jSPQFkmQ&utm_medium=api&utm_source=abfa41a4&v=2D4489B3B9F4A19CE2543647037C76FB003A3D42,,5818416628,111548.34,"Position: MS Dynamics CRM Functional Consultant Location: REMOTE WORK Type of Employment: 12 Months Contract Max Rate: $50/hr on C2C Only Role Description: Must Have 10 years experience in IT Industry in managing requirements in multiple accounts as a Dynamics CRM and Power Platform functional consultant Extensive experience in requirement gathering, gap analysis and mapping business requirement to system requirement. Extensive knowledge & insights in Insurance industry & customer base in the N…",2026-07-28T11:16:04Z,111548.34,MS Dynamics CRM Functional Consultant,1,Adzuna::API::Response::Job,,,Adbakx LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,it-jobs,IT Jobs,['US'],Adzuna::API::Response::Location,US,
