title,description,salary_is_predicted,redirect_url,created,id,longitude,salary_max,latitude,salary_min,adref,__CLASS__,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
AWS DevOps Engineer,"Job title- AWS Devops Engineer Location- Oakland, CA (hybrid mode) Job type- Fulltime Client- TCS Your Responsibilities: • Design and manage AWS-b ased cloud systems • Build and refine CI/CD workflows to speed up safe deployments • Contribute to cloud-native and serverless app projects • Collaborate with developers to simplify build and release steps • Write Infrastructure as Code using Terraform or CloudFormation • Check cloud system health, availability, and security • Reduce manual work by a…",1,https://www.adzuna.com/land/ad/5819884525?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=BFFCA8A9165B0446CF47B3AD2C63409668A5E5CA,2026-07-29T11:29:03Z,5819884525,-122.2698,178693.22,37.8044,178693.22,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUyNSIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.JRCKM7TDAfWbaxZoTkzJ4OuQDDS0TBniu3MQR1YmwOQ,Adzuna::API::Response::Job,AI ASAP LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'Philatelic']","Philatelic, Alameda County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Staff Embedded/Firmware Engineer 1,"Req ID: 137635 Remote Position: No Region: Americas Country: USA State/Province: Texas City: Austin Summary Celestica is looking for talented and passionate software engineers for the Hardware Platform Services team. This team is responsible for designing and developing Cloud Hardware infrastructure that includes Compute, Storage, AI servers and Networking Switches. As a Software Engineer, you will play a key role in defining and delivering state of the art Cloud Infrastructure products. Detail…",1,https://www.adzuna.com/land/ad/5819884531?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=C38ABA6F5D004D620C28F5E8AA8CB7E802444DFE,2026-07-29T11:29:03Z,5819884531,-97.865683,187024.73,30.320233,187024.73,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NTMxIn0.gIgOMrLRrgen07Uy7jAUWaSwXZHlXlR65svpqOlSBjc,Adzuna::API::Response::Job,Celestica International LP,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']","Bee Cave, Travis County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Technical Delivery Manager,"Our client is seeking an experienced Technical Delivery Manager to coordinate software delivery, maintain accurate progress visibility, manage dependencies, and support clear communication among engineering teams, stakeholders, and leadership. Duties: The Technical Delivery Manager will maintain Jira as the primary delivery tracking platform and provide reliable status reporting, metrics, and visibility into project health. Coordinate delivery across multiple software development teams. Track m…",1,https://www.adzuna.com/land/ad/5819884543?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=A105BA8C88FECC8E36923EA396BCBD35DDA9AEFC,2026-07-29T11:29:03Z,5819884543,-84.3879,102260.06,33.7487,102260.06,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDU0MyIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.qG1-f59n21kVBg5ikLxwOQr2dzo4g7p7ZrrGTEU_XVw,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']","Northlake, DeKalb County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Service Desk Specialist,"Description The Service Desk Specialist - Regional Support role is primarily responsible for providing first level technical support to end users through the Service Desk, while also serving as the onsite deskside support for the Richmond office. This position is 50% Service Desk focused and 50% deskside support, ensuring consistent user experience, timely incident resolution, and local hands-on support. The position requires strong customer service skills, technical troubleshooting ability, an…",1,https://www.adzuna.com/land/ad/5819884536?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=BAA4D966E2425B443728E69F1CE16E494B78C77A,2026-07-29T11:29:03Z,5819884536,-77.45,45396.59,37.56,45396.59,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUzNiIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.G9TrFnAiq1cKIlfdTHXF8PrXQZc1dml82TQFoWQgVxY,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'Richmond County', 'Richmond']","Richmond, Richmond County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Azure Engineer,"Description Position Overview We are seeking an Azure Infrastructure Engineer to support and evolve our hybrid infrastructure environment, with a primary focus on Microsoft Azure cloud services, virtualization, and enterprise infrastructure technologies. This role will be responsible for maintaining secure, reliable, and scalable cloud-based solutions while supporting ongoing modernization initiatives across the organization. The ideal candidate will bring strong technical expertise in Azure in…",1,https://www.adzuna.com/land/ad/5819884539?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=3AC38DB53E02D0B7DBA3CE7773F14F781775FB58,2026-07-29T11:29:03Z,5819884539,-105.0857,138168.25,40.573,138168.25,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NTM5In0.FaAugEVK1QpBzGWeCI2kKQXLEYOi7NiVLnB-ago4CiI,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Colorado', 'Larimer County', 'Fort Collins']","Fort Collins, Larimer County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Senior Full Stack Developer (W2 only),"Top Requirements: 1. Bachelor Degree is REQUIRED 2. 5 years of Java development experience. 3. 3 years of Spring and Spring Boot framework experience. 4. 3 years of experience with Software Development tools (Backlog Management (JIRA), Source Code Management (GitHub), Test Management, CI/CD (Tekton/Jenkins/GitHub actions). 5. 3 years of experience with Test Driven Development and Agile Methodologies. 5. 2 years of experience with Cloud environments (preferably Google Cloud Platform) Position De…",1,https://www.adzuna.com/land/ad/5819884534?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=9584BFEFA599D8BE5087CE526CBDC4DD62FFC164,2026-07-29T11:29:03Z,5819884534,-83.171069,100901.7,42.305649,100901.7,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NTM0In0.0fW_RVzsp0-tT6oMVmIRghMZIQQX_QB9vktre70Amcw,Adzuna::API::Response::Job,Patton Labs Inc.,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Michigan', 'Wayne County', 'Dearborn']","Dearborn, Wayne County",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Desktop Support Technician,"Description As a Field Support Analyst, you will provide technical support and solutions to internal users as part of the Digital & Technology (D&T) Support function. This role is highly visible and requires strong communication skills, professionalism, and the ability to support executive-level stakeholders. What You'll Do: - Provide general desktop and end-user support for hardware and software issues. - Respond to and resolve incident and service requests through ticketing systems. - Support…",1,https://www.adzuna.com/land/ad/5819884542?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=D3EAC0B1016ED5BFE9579F36D475CE8784155188,2026-07-29T11:29:03Z,5819884542,-73.97528,79233.71,40.75284,79233.71,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDU0MiIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.x9ySzFTPg0t_G_ihqZphtyz2U9I_wwhbv_m5zTXXMkI,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']","Grand Central, Manhattan",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Mortgage Funder,"Description This position is FULL TIME. *HYBRID 3 days onsite after training* The Shift is Monday - Friday and Varies from 8:30AM CST to 5:00PM CST up to 10:30AM CST to 7:00PM CST (subject to change at any time) This team and the MSA that are on it, complete indexing. Indexing involves reviewing the documentation sent in by the borrowers or third parties in an electronic format, and properly identifying what it is (example - title binder or Verification of Employment) and assigning it to the pr…",1,https://www.adzuna.com/land/ad/5819884524?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=9A1F590A62F80B82ECE81D943FD66AF2E706C669,2026-07-29T11:29:03Z,5819884524,-87.226997,41730.54,30.423724,41730.54,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUNuQW5HS0w4UkdjaGQ3YUlWdnlEUSIsImkiOiI1ODE5ODg0NTI0In0.7qHRYG2XAH00X0kP4_61O0sGM89b1ny2mu2HyDxB9Xo,Adzuna::API::Response::Job,TEKsystems c/o Allegis Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Florida', 'Escambia County', 'Pensacola']","Pensacola, Escambia County",Adzuna::API::Response::Category,Admin Jobs,admin-jobs,,
Principal SAP Delivery and Solution Architect (GTM)- CPRS Industry,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you'd like, where you'll be supported and inspired by a collaborative community of colleagues around the world, and where you'll be able to reimagine what's possible. Join us and help the world's leading organizations unlock the value of technology and build a more sustainable, more inclusive world. About the Job You're Considering The SAP CPRS Delivery & Solutioning Architect (GTM) is a seni…",1,https://www.adzuna.com/land/ad/5819884516?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=E7D93A3D063CC6F4353014F6E4A87C9A6E02BB77,2026-07-29T11:29:03Z,5819884516,-89.15483,133216.67,39.863792,133216.67,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUxNiIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.LlSfACGzAPvr-nxV_IvIbfvXdw9kvcYcXvfkItTUKMk,Adzuna::API::Response::Job,"Capgemini America, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois']","Illinois, US",Adzuna::API::Response::Category,IT Jobs,it-jobs,,
Field Service Technician,"Your role To best serve our customers, we are increasing our presence within our field service area. This supports our mission in providing safe and high-quality service that is performed with great efficiency to our customers. As a Service Technician, you are an important part of this mission. You will be close to your customers and service our products to provide a great customer experience. You will report to the Service Manager. You will perform routine preventive service, troubleshoot and …",1,https://www.adzuna.com/land/ad/5819884527?se=1CnAnGKL8RGchd7aIVvyDQ&utm_medium=api&utm_source=abfa41a4&v=CDBA95534A9B6D33F9D4B47755904F874C68E492,2026-07-29T11:29:03Z,5819884527,-95.4359,69327.83,29.6403,69327.83,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxOTg4NDUyNyIsInMiOiIxQ25BbkdLTDhSR2NoZDdhSVZ2eURRIn0.3R3ctCvyrz9xCRI5PP8aBovpQZH7KkhzHwXgDFgx9xI,Adzuna::API::Response::Job,Atlas Copco Group,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Texas', 'Harris County', 'Trammells']","Trammells, Harris County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,,
