salary_is_predicted,salary_min,created,redirect_url,title,longitude,adref,salary_max,__CLASS__,id,description,latitude,location.display_name,location.area,location.__CLASS__,company.display_name,company.__CLASS__,category.label,category.__CLASS__,category.tag,contract_type,contract_time
1,41521.41,2026-07-31T11:13:52Z,https://www.adzuna.com/details/5822424023?utm_medium=api&utm_source=abfa41a4,Crew Member,-86.8,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUJIY0NfU004UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyNDI0MDIzIn0.Zh4keNpckAe9mTGh32ZOXpNJm0oqXc1yOBkoWyEAkCw,41521.41,Adzuna::API::Response::Job,5822424023,"Gulf Coast Underground, LLC is a full-service underground infrastructure construction and engineering company specializing in the inspection, rehabilitation, and replacement of municipal sewer systems. Utilizing innovative trenchless technologies and industry-leading equipment, we help municipalities restore critical infrastructure while minimizing disruption to the communities they serve. Our goal is to be recognized as the premier sewer infrastructure inspection and rehabilitation contractor …",33.52,"Birmingham, Jefferson County","['US', 'Alabama', 'Jefferson County', 'Birmingham']",Adzuna::API::Response::Location,Gulf Coast Underground,Adzuna::API::Response::Company,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,,
1,43958.11,2026-07-31T11:13:52Z,https://www.adzuna.com/details/5822424022?utm_medium=api&utm_source=abfa41a4,Crew Member,-88.546865,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjQyNDAyMiIsInMiOiJFQkhjQ19TTThSR0dnT19uMHJtZGlRIn0.32gNbZoMnwsSC7MZbhNzm1au4zdILbFwuzoc-y3Ugac,43958.11,Adzuna::API::Response::Job,5822424022,"Gulf Coast Underground, LLC is a full-service underground infrastructure construction and engineering company specializing in the inspection, rehabilitation, and replacement of municipal sewer systems located in theodore Al. Utilizing innovative trenchless technologies and industry-leading equipment, we help municipalities restore critical infrastructure while minimizing disruption to the communities they serve. Our goal is to be recognized as the premier sewer infrastructure inspection and reh…",30.416193,"Pascagoula, Jackson County","['US', 'Mississippi', 'Jackson County', 'Pascagoula']",Adzuna::API::Response::Location,Gulf Coast Underground,Adzuna::API::Response::Company,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,,
1,46460.86,2026-07-31T11:13:52Z,https://www.adzuna.com/details/5822424021?utm_medium=api&utm_source=abfa41a4,Crew Member,-87.226997,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjQyNDAyMSIsInMiOiJFQkhjQ19TTThSR0dnT19uMHJtZGlRIn0.0Tny_ynadIKd4f95OU3byLu8IWI1p_U2Ja92tlaW7Y4,46460.86,Adzuna::API::Response::Job,5822424021,"Gulf Coast Underground, LLC is a full-service underground infrastructure construction and engineering company specializing in the inspection, rehabilitation, and replacement of municipal sewer systems located in theodore Al. Utilizing innovative trenchless technologies and industry-leading equipment, we help municipalities restore critical infrastructure while minimizing disruption to the communities they serve. Our goal is to be recognized as the premier sewer infrastructure inspection and reh…",30.423724,"Pensacola, Escambia County","['US', 'Florida', 'Escambia County', 'Pensacola']",Adzuna::API::Response::Location,Gulf Coast Underground,Adzuna::API::Response::Company,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,,
1,152846.45,2026-07-31T11:13:41Z,https://www.adzuna.com/details/5822423814?utm_medium=api&utm_source=abfa41a4,"Contract PRN Mobile Nurse Practitioner - West Virginia, South Region",-80.970238,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjQyMzgxNCIsInMiOiJFQkhjQ19TTThSR0dnT19uMHJtZGlRIn0.KDTwZ9ChAyvOGHdOyMg_XBZc_pJuho4pll5o4TxGm2E,152846.45,Adzuna::API::Response::Job,5822423814,"Avail Health – Contract PRN Mobile Nurse Practitioner - West Virginia, South Region About Avail Health Avail Health is a Nurse Practitioner–founded organization with a mission to remove barriers: to care, to access, and to meaningful work. We combine thoughtful technology, strong operational infrastructure, and clinically driven programs to enable high-quality, consistent care delivery at scale, allowing our teams to focus on delivering impactful, outcomes-oriented care where patients live. Ava…",37.332554,"Princeton, Mercer County","['US', 'West Virginia', 'Mercer County', 'Princeton']",Adzuna::API::Response::Location,Avail Health,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract,
1,77138.06,2026-07-31T11:12:45Z,https://www.adzuna.com/details/5822422903?utm_medium=api&utm_source=abfa41a4,Building Inspector,-96.767002,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUJIY0NfU004UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyNDIyOTAzIn0.HSy4ozPf0PnOKKhCAJh3C1Ix9sEkERAzm0ctC8ydFDg,77138.06,Adzuna::API::Response::Job,5822422903,"Location: Dallas, TX Employment Type: Full-time Advance Your Career as a Building Inspector – Make an Impact Are you a certified ICC professional with a keen eye for construction quality and code compliance? Join Aoka and take your expertise to the next level by overseeing construction projects, ensuring safety, and guiding contractors — all while enjoying flexibility, recognition, and top-tier compensation. Why You’ll Love This Role Competitive Compensation: $70,000–$90,000 annually, based on …",32.798895,"Dallas, Texas","['US', 'Texas', 'Dallas']",Adzuna::API::Response::Location,Aoka,Adzuna::API::Response::Company,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,,full_time
1,95946.52,2026-07-31T11:12:45Z,https://www.adzuna.com/details/5822422910?utm_medium=api&utm_source=abfa41a4,Building Official,-98.522671,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjQyMjkxMCIsInMiOiJFQkhjQ19TTThSR0dnT19uMHJtZGlRIn0.kAfE3t2LyTUXbVcIlgXtCRk3xUywwzQXgdeT-wXZVSg,95946.52,Adzuna::API::Response::Job,5822422910,"Location: San Antonio, TX Employment Type: Full-time Lead, Influence, and Shape Building Safety as a Building Official Are you an experienced building professional ready to take the next step in your career? Join Aoka as a Certified Building Official (CBO) and lead a team of building inspectors while serving as a subject matter expert for our sales team — making a tangible impact on construction quality, safety, and code enforcement across DFW. Why You’ll Love This Role Top Compensation: $90,00…",29.46357,"San Antonio, Bexar County","['US', 'Texas', 'Bexar County', 'San Antonio']",Adzuna::API::Response::Location,Aoka,Adzuna::API::Response::Company,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,,full_time
1,76588.59,2026-07-31T11:12:45Z,https://www.adzuna.com/details/5822422906?utm_medium=api&utm_source=abfa41a4,Building Inspector,-97.141322,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUJIY0NfU004UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyNDIyOTA2In0.YR5Nf2Pno1Wu7rhZNiEodzfiPdEkX7qxlkqsBxAXZ2A,76588.59,Adzuna::API::Response::Job,5822422906,"Location: Denton, TX Employment Type: Full-time Advance Your Career as a Building Inspector – Make an Impact Are you a certified ICC professional with a keen eye for construction quality and code compliance? Join Aoka and take your expertise to the next level by overseeing construction projects, ensuring safety, and guiding contractors — all while enjoying flexibility, recognition, and top-tier compensation. Why You’ll Love This Role Competitive Compensation: $70,000–$90,000 annually, based on …",33.216723,"Denton, Denton County","['US', 'Texas', 'Denton County', 'Denton']",Adzuna::API::Response::Location,Aoka,Adzuna::API::Response::Company,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,,full_time
1,66282.66,2026-07-31T11:12:45Z,https://www.adzuna.com/details/5822422908?utm_medium=api&utm_source=abfa41a4,Building Inspector,-111.898592,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUJIY0NfU004UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyNDIyOTA4In0.kisREPzemroZgnQ77CDJBvllSeFP5SNsq1TULmCK1PY,66282.66,Adzuna::API::Response::Job,5822422908,"Location: Salt Lake City, UT Area Employment Type: Part-time to Full-time Advance Your Career as a Building Inspector – Make an Impact Are you a certified ICC professional with a keen eye for construction quality and code compliance? Join Aoka and take your expertise to the next level by overseeing construction projects, ensuring safety, and guiding contractors — all while enjoying flexibility, recognition, and top-tier compensation. Why You’ll Love This Role Competitive Compensation: $70,000–$…",40.756393,"Salt Lake City, Salt Lake County","['US', 'Utah', 'Salt Lake County', 'Salt Lake City']",Adzuna::API::Response::Location,Aoka,Adzuna::API::Response::Company,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,,part_time
1,77367.27,2026-07-31T11:12:45Z,https://www.adzuna.com/details/5822422905?utm_medium=api&utm_source=abfa41a4,Building Inspector,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUJIY0NfU004UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyNDIyOTA1In0.YWtlb3ZijmAJDeUECcar2vqNZ4S3yjMlMcw2rX5sers,77367.27,Adzuna::API::Response::Job,5822422905,"Location: Houston, TX Employment Type: Full-time Advance Your Career as a Building Inspector – Make an Impact Are you a certified ICC professional with a keen eye for construction quality and code compliance? Join Aoka and take your expertise to the next level by overseeing construction projects, ensuring safety, and guiding contractors — all while enjoying flexibility, recognition, and top-tier compensation. Why You’ll Love This Role Competitive Compensation: $70,000–$90,000 annually, based on…",,"Houston, Harris County","['US', 'Texas', 'Harris County', 'Houston']",Adzuna::API::Response::Location,Aoka,Adzuna::API::Response::Company,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,,full_time
1,72758.88,2026-07-31T11:12:27Z,https://www.adzuna.com/details/5822422612?utm_medium=api&utm_source=abfa41a4,Fitness Manager - Corporate Wellness,-80.134484,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUJIY0NfU004UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyNDIyNjEyIn0.QWTPS9TilTFhSFtiwdGbQR55Kpz5dafi1YHcy2cXvWY,72758.88,Adzuna::API::Response::Job,5822422612,"Kinema Fitness is a premium fitness center operator that provides on site wellness solutions to corporate facilities across the country. Kinema Fitness is seeking a Full-Time Fitness Manager to operate a beautiful, corporate fitness center in Downtown Miami. Kinema Fitness prides themselves on creating an absolutely incredible atmosphere to our members that is built on the highest levels of customer satisfaction, member engagement, program innovation, and performance. Kinema is seeking a Fitnes…",25.756014,"Miami, Miami-Dade County","['US', 'Florida', 'Miami-Dade County', 'Miami']",Adzuna::API::Response::Location,Kinema Fitness,Adzuna::API::Response::Company,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs,,full_time
