adref,description,__CLASS__,id,salary_max,latitude,salary_is_predicted,salary_min,redirect_url,created,longitude,title,category.tag,category.label,category.__CLASS__,location.__CLASS__,location.area,location.display_name,company.display_name,company.__CLASS__,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTU2MSIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.l6tXgyaUhKAIRcM_0__Tx0cnTmRZwzSnAX0T4yLx-jc,"Our Production Team is Kind of a Big Deal! UniFirst is seeking a reliable and hardworking Production Team Partner to join our UniFirst Family. As a Team Partner working in the Wash Aisle Department, you are at the heart of our plant floor operations. Here you will be loading and unloading industrial washers and dryers. At UniFirst we have a 5-day work week, enjoy Saturday and Sunday off We have an immediate opening and provide on the job training. Pay & Benefits: On the job training & great hou…",Adzuna::API::Response::Job,5825739561,49599.12,40.831447,1,49599.12,https://www.adzuna.com/details/5825739561?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:30:20Z,-74.243233,Production Team Partner - Washroom Operator - UniFirst,hr-jobs,HR & Recruitment Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'Verona']","Verona, Essex County",UniFirst,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTUyMSIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.XtfWbySY852usyx7SP0IUk6-MRdZJy_c3RN9mYW1g24,"Overview Allied Universal®, North America’s leading security and facility services company, offers rewarding careers that provide you a sense of purpose. While working in a dynamic, welcoming, and collaborative workplace, you will be part of a team that contributes to a culture that positively impacts the communities and customers we serve. Job Description As a Security Officer Armed Patrol Agent in Midland, TX , you will serve and safeguard clients in a range of industries such as Tech/Media/T…",Adzuna::API::Response::Job,5825739521,63864.68,31.920689,1,63864.68,https://www.adzuna.com/details/5825739521?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:30:10Z,-102.336532,Security Officer Armed Patrol Agent,customer-services-jobs,Customer Services Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Texas', 'Ector County', 'Odessa']","Odessa, Ector County",Allied Universal,Adzuna::API::Response::Company,part_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NTExIn0.GEX2A58195Dkp41_rAyH6urREhr6Kk3DZrwy0Gnq_3o,"The purpose of this job is to consistently achieve individual sales goals to support the store's sales and profit objectives, provide superior customer service, and take on other senior-level responsibilities within a store. Essential Functions (not all-inclusive): Generate sales to exceed personal sales goals Promote the Music & Arts lesson program Create business by networking with teachers/schools, churches, and community organizations Develop customer relationships and provide compelling sa…",Adzuna::API::Response::Job,5825739511,122691.25,41.791512,1,122691.25,https://www.adzuna.com/details/5825739511?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:30:06Z,-88.163279,PT Senior Sales Associate Store 3202,creative-design-jobs,Creative & Design Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Illinois', 'DuPage County', 'Warrenville']","Warrenville, DuPage County",Music & Arts,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTUwNSIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.GtLOV1V4_W-HgHN2CcCrlMziQIc2fIue98QdqTLNvRo,"The purpose of this job is to consistently achieve individual sales goals to support the store's sales and profit objectives, provide superior customer service, and take on other senior-level responsibilities within a store. Essential Functions (not all-inclusive): Generate sales to exceed personal sales goals Promote the Music & Arts lesson program Create business by networking with teachers/schools, churches, and community organizations Develop customer relationships and provide compelling sa…",Adzuna::API::Response::Job,5825739505,114896.91,41.791512,1,114896.91,https://www.adzuna.com/details/5825739505?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:30:02Z,-88.163279,PT Senior Sales Associate Store 3201,creative-design-jobs,Creative & Design Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Illinois', 'DuPage County', 'Warrenville']","Warrenville, DuPage County",Music & Arts,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDkwIn0.4h4CeBb6XWPvEZ_3oq8N4pqodW1wjzP_hFCEZwgr7TI,"Hartford Healthcare seeks an RN for our Emergency Department. In this fast-paced role, you’ll triage and provide evidence-based care to diverse patients, collaborate with ED physicians and multidisciplinary teams, administer medications and interventions, and respond to emergencies. You’ll use cutting-edge technology to monitor patients, document accurately in the EHR, and champion safety and quality standards. Our culture emphasizes teamwork, compassion, and professional growth, offering educa…",Adzuna::API::Response::Job,5825739490,118000.0,41.665729,0,90000.0,https://www.adzuna.com/land/ad/5825739490?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=32F0D5487241863C5261152265E6DF66F6CB02E2,2026-08-02T10:29:55Z,-73.047125,RN Emergency Department,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Litchfield County', 'Plymouth']","Plymouth, Litchfield County",Hartford HealthCare,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTQ4OCIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.hVty2O9WeQXlndq35F7CGFBSsVLwN3Excs3sT128l4Q,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739488,64646.35,43.116429,1,64646.35,https://www.adzuna.com/land/ad/5825739488?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=D5539F18520D1F9E9E40070E1B23A3CD82BD9851,2026-08-02T10:29:52Z,-77.5572,High School Math Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Brighton']","Brighton, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDY3In0.AZFcRA9Yd3sRr_sOi00JXQ6_4euw1Z3scfpkCcFoYzk,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739467,55964.31,43.15258,1,55964.31,https://www.adzuna.com/land/ad/5825739467?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=30518BD17B138A1A7155015200B91ADA8154995D,2026-08-02T10:29:41Z,-77.73184,High School Science Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Gates']","Gates, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDY0In0.v83n_DjhyZHC4WkoniFTJuXLiOQYHOsFkY_EGGzTwWk,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739464,70742.48,43.088572,1,70742.48,https://www.adzuna.com/land/ad/5825739464?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=79AEC9DEBDEE2FC8E43566EEE19F9A1E43EF36F7,2026-08-02T10:29:40Z,-77.432766,"K-12 Teacher - Elementary, Middle, High School Teacher",teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Fairport']","Fairport, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDY1In0.jrQvmlnJ_KgJ5EEDE0C-PFgdGk4qWZ3dAKdzUfDPt8s,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739465,51303.75,43.195829,1,51303.75,https://www.adzuna.com/land/ad/5825739465?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=D96A6C34327F0DE7B69BCCC16687545D1CB3F59A,2026-08-02T10:29:40Z,-76.907231,Middle School Math Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Saint Lawrence County', 'Pierces Corner']","Pierces Corner, Saint Lawrence County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDYzIn0.h4zV5CBwv-fvkuZJj6ZElXr5OvWtFjbhn8-RYt785OY,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739463,78484.81,43.116429,1,78484.81,https://www.adzuna.com/land/ad/5825739463?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=363BE71068F86110C7A133756CD259D79C3D2041,2026-08-02T10:29:40Z,-77.5572,Middle School History Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Brighton']","Brighton, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDYwIn0.98OV9n3duPxoH2AE4cAoa8i3hnTtMU7hZ1zf7XqIckY,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739460,81482.12,43.1315,1,81482.12,https://www.adzuna.com/land/ad/5825739460?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=E200CA5C5CF3D79A2C7A90AA98C858F75A4AEA6E,2026-08-02T10:29:38Z,-77.6085,Special Education Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Loehmanns Plaza']","Loehmanns Plaza, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDU3In0.SDHGc_Bd4Tj4GHYUPCw9zSer1vXWK2ekVLIafm3zy8Y,"ChristianaCare, a healthcare organization with 1100 beds between two Magnet® recognized hospitals (Christiana and Wilmington) and the only Level 1 Trauma service on the East Coast corridor between Philadelphia and Baltimore. Honored repeatedly as ""One of America’s Best Hospitals"" by U.S. News & World Report! The Wilmington Intensive Care Unit (WICU) team up at the Wilmington Hospital is seeking a Registered Nurse to work 36 hours per week - Night Shift . Weekends and Holidays are per the depart…",Adzuna::API::Response::Job,5825739457,100183.81,39.74806,1,100183.81,https://www.adzuna.com/land/ad/5825739457?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=86629EE997C8C96F48083464C8C0317E8861FC8E,2026-08-02T10:29:36Z,-75.54567,Registered Nurse - Night shift - Wilmington Intensive Care Unit,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Delaware', 'New Castle County', 'Wilmington']","Wilmington, New Castle County",ChristianaCare,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTQ1NiIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.UHq6bAiV3gMJ9NeVMQiCzVetjJSKfkjKMlE-16TbI-M,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739456,63970.02,43.15258,1,63970.02,https://www.adzuna.com/land/ad/5825739456?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=FE177E0232FBD949A66586C90DE1B582B5E31B8F,2026-08-02T10:29:36Z,-77.73184,Special Education Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Gates']","Gates, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDUzIn0.EsqVNTg6xEJRjXq_bTzyJy3b1wT65fsVue1yy9nsQpg,"Sheraton Kauai Coconut Beach Resort is a stunning beachfront property located in the idyllic island of Kauai, Hawaii, offering an exciting and tropical work environment. As a job applicant, joining the team at Sheraton Kauai Coconut Beach Resort means being part of a world-class resort known for its breathtaking ocean views, pristine beaches, and Hawaiian hospitality. The resort offers a range of employment opportunities, from guest services to culinary and recreation, providing a diverse and e…",Adzuna::API::Response::Job,5825739453,33280.0,22.079719,0,33280.0,https://www.adzuna.com/details/5825739453?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:29:35Z,-159.350167,"Server-Crooked Surf, FT",hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Hawaii', 'Kauai', 'Kapaa']","Kapaa, Kauai",Davidson Hospitality Group,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDQ5In0.GkHggO-UIXdkcEtZAcIZhzwDI12FoLnda7x8NI59fEg,"Hotel Viking, located in the heart of Newport, Rhode Island, is seeking talented individuals to join our team. As a historic and luxurious property offering unparalleled hospitality, Hotel Viking is the perfect place to further your career in the hospitality industry. With its breathtaking views, elegant accommodations, and exceptional service, Hotel Viking has been a renowned destination for discerning travelers since 1926. As an employee, you will have the opportunity to work in a vibrant and…",Adzuna::API::Response::Job,5825739449,14560.0,,0,14560.0,https://www.adzuna.com/details/5825739449?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:29:35Z,,Banquet Server-Banquets & Catering-Hotel Viking Newport,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,['US'],US,Davidson Hospitality Group,Adzuna::API::Response::Company,part_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTQ1MCIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.61Clzs9EDLpOzpa8ANXrlWE2Gei088jLS1rlL4913bE,"Royal Park Hotel, located in the charming town of Rochester, Michigan, is a luxury boutique hotel offering a sophisticated and upscale work environment. As a job applicant, joining the team at Royal Park Hotel means being part of a prestigious hotel known for its elegant accommodations, exceptional service, and picturesque riverfront location. The hotel offers a range of employment opportunities, from guest services to culinary and event planning, providing a diverse and rewarding career path. …",Adzuna::API::Response::Job,5825739450,37395.14,42.65898,1,37395.14,https://www.adzuna.com/details/5825739450?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:29:35Z,-83.12262,Food Runner,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Michigan', 'Oakland County', 'Rochester Hills']","Rochester Hills, Oakland County",Davidson Hospitality Group,Adzuna::API::Response::Company,part_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTQ0NiIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.euz6j080zb5oTX-Ex_HGX1X7NKYfpbceHyt8ghWm1E4,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739446,72194.04,43.112979,1,72194.04,https://www.adzuna.com/land/ad/5825739446?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=B2EC2BA08F7B565A15CFC99A02EB0D1740B2B29F,2026-08-02T10:29:33Z,-77.792391,Middle School ELA Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'North Chili']","North Chili, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDQ3In0.ON9IatxZAExGH_YwVvmwcfPxgVEKY4w1OTc2fhK6OtE,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739447,67226.18,42.637351,1,67226.18,https://www.adzuna.com/land/ad/5825739447?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=40411C846183FB0ED9B4FAC8AD3C43D035EEB6A7,2026-08-02T10:29:33Z,-77.391874,High School ELA Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Ontario County', 'Naples']","Naples, Ontario County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDQ0In0.M0PE2DgjpdaD46b8Q20aChSaEOecPW-JSQvUYS5Vw04,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739444,71494.43,43.088572,1,71494.43,https://www.adzuna.com/land/ad/5825739444?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=86894CC973BA583FC3FA2B2F6FC181F022BFF097,2026-08-02T10:29:32Z,-77.432766,Special Education Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Fairport']","Fairport, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNTczOTQ0MiIsInMiOiJsdlFrTllDTzhSR0dnT19uMHJtZGlRIn0.x4jfybWC2Dwh_qkyHV1ttfeZ8krgvXAC5DnYxKQC4cU,"Join the exciting team at Margaritaville Resort Lake Tahoe, nestled in the stunning natural beauty of Lake Tahoe! As a premier resort destination, we're seeking passionate individuals to join us. With our laid-back island vibe and commitment to exceptional service, Margaritaville Resort Lake Tahoe offers a dynamic work environment where you can thrive in the hospitality industry. As a team member, you'll have the opportunity to provide guests with unforgettable experiences against the backdrop …",Adzuna::API::Response::Job,5825739442,35152.0,38.914936,0,35152.0,https://www.adzuna.com/details/5825739442?utm_medium=api&utm_source=abfa41a4,2026-08-02T10:29:31Z,-119.986505,Landshark Bartender,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'California', 'El Dorado County', 'Tahoe Valley']","Tahoe Valley, El Dorado County",Davidson Hospitality Group,Adzuna::API::Response::Company,part_time,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHZRa05ZQ084UkdHZ09fbjBybWRpUSIsImkiOiI1ODI1NzM5NDM3In0.aFd8jAJKzoIhiwG0vw4EduA_H6kBoaG0xaZwZcbNQJw,"Company Description Uncommon Schools is a nonprofit network of high-performing public charter schools dedicated to providing an exceptional K-12 education in economically disadvantaged communities. Operating in Boston, Camden, New York City, Newark, and Rochester, we are committed to closing the college completion gap and preparing every student for college and beyond. Our students consistently exceed national benchmarks , reflecting our dedication to their success. We invest deeply in our educ…",Adzuna::API::Response::Job,5825739437,60550.87,42.966308,1,60550.87,https://www.adzuna.com/land/ad/5825739437?se=lvQkNYCO8RGGgO_n0rmdiQ&utm_medium=api&utm_source=abfa41a4&v=0C95B656D10E35C4050F068E273DEE46C04716E6,2026-08-02T10:29:30Z,-77.57422,Middle School ELA Teacher,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Honeoye Falls']","Honeoye Falls, Monroe County",Uncommon Schools,Adzuna::API::Response::Company,full_time,
