longitude,redirect_url,salary_min,title,contract_time,created,id,__CLASS__,salary_max,adref,description,latitude,salary_is_predicted,company.display_name,company.__CLASS__,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.tag,category.label,contract_type
-74.295109,https://www.adzuna.com/details/5832027811?utm_medium=api&utm_source=abfa41a4,92921.59,"Administrator, IT Systems",full_time,2026-08-07T10:08:42Z,5832027811,Adzuna::API::Response::Job,92921.59,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkFvMW5XcVM4Ukc1cE5lc3pTUkx1USIsImkiOiI1ODMyMDI3ODExIn0.LDQG00tfKLGk4u-GkxrjNxk7G6fwA3ll5gtuINvF7r8,"When you join Kyocera Document Solutions America, Inc. you are joining an organization that is deeply rooted in the Philosophy of “doing what is right as a human being”. Through this Philosophy, our employees are passionate about providing best in class customer service through efficiency, accountability, and a sense of urgency all while putting knowledge to work to drive change. In addition, we’re a Great Place to Work… and we really mean it! Kyocera Document Solutions America, Inc. has been o…",40.881509,1,Headquarters,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Essex County', 'Fairfield']",Adzuna::API::Response::Location,"Fairfield, Essex County",Adzuna::API::Response::Category,it-jobs,IT Jobs,
-86.18371,https://www.adzuna.com/details/5832027804?utm_medium=api&utm_source=abfa41a4,78668.03,Project Manager,full_time,2026-08-07T10:08:41Z,5832027804,Adzuna::API::Response::Job,78668.03,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkFvMW5XcVM4Ukc1cE5lc3pTUkx1USIsImkiOiI1ODMyMDI3ODA0In0.O1pHD7SI4sVq-llFkaEhnP1FM3R7VsB8zKSlBsOhuPA,"At eimagine, we know that your best work happens when you live your best life and share your unique talents, so we do everything we can to be intentional in a remote enabled environment to make that possible. Recognized as a Best Places to Work since 2015, we are a team of humbly confident people who are proud of their craft, continuous learners, and have been known to cheer loudly for our teammates. For over 24 years we have been helping clients navigate technology and business change, while s…",39.89312,1,eimagine,Adzuna::API::Response::Company,"['US', 'Indiana', 'Marion County', 'Meridian Hills']",Adzuna::API::Response::Location,"Meridian Hills, Marion County",Adzuna::API::Response::Category,it-jobs,IT Jobs,
-87.841723,https://www.adzuna.com/details/5832027784?utm_medium=api&utm_source=abfa41a4,58136.31,Retail Key Holder - Part-Time,part_time,2026-08-07T10:08:40Z,5832027784,Adzuna::API::Response::Job,58136.31,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMjAyNzc4NCIsInMiOiJKQW8xbldxUzhSRzVwTmVzelNSTHVRIn0.VGR9b3xnotfCZUIlj3YJRdBUTEGtQRggd2iUJ9-lO6Y,"The Vitamin Shoppe is looking for a part-time Retail Key Holder. If you’re passionate about health and wellness, interested in becoming incredibly knowledgeable about the latest and greatest supplements, and looking for a fulfilling career that doesn't fill all your time—you might be a perfect fit! Ready to take on a leadership role and help others become their best selves, however they define it? Join us in building loyalty and long-lasting relationships with our customers, while creating an e…",41.621153,1,Vitamin Shoppe,Adzuna::API::Response::Company,"['US', 'Illinois', 'Cook County', 'Orland Park']",Adzuna::API::Response::Location,"Orland Park, Cook County",Adzuna::API::Response::Category,part-time-jobs,Part time Jobs,
-122.2521,https://www.adzuna.com/details/5832027788?utm_medium=api&utm_source=abfa41a4,71867.75,Assistant Store Manager,full_time,2026-08-07T10:08:40Z,5832027788,Adzuna::API::Response::Job,71867.75,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMjAyNzc4OCIsInMiOiJKQW8xbldxUzhSRzVwTmVzelNSTHVRIn0.z_cOHryA9tcAF5afnejnykRmfPBgUem18IKzSnIKvrc,"The Vitamin Shoppe is looking for engaged, energetic Assistant Store Managers. You could help lead a team of high-performing Health Enthusiasts® in guiding customers on the path to lifelong wellness. Looking to fine tune your leadership skills in an environment that fosters continuous education and professional development? Are you committed to helping others become their best selves, however they define it? If so, you might be a perfect fit! At The Vitamin Shoppe you will…. Act as a direct sup…",47.75928,1,Vitamin Shoppe,Adzuna::API::Response::Company,"['US', 'Washington', 'King County', 'Kenmore']",Adzuna::API::Response::Location,"Kenmore, King County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
-87.187298,https://www.adzuna.com/details/5832027776?utm_medium=api&utm_source=abfa41a4,35360.0,Patient Services Coordinator,full_time,2026-08-07T10:08:39Z,5832027776,Adzuna::API::Response::Job,39520.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkFvMW5XcVM4Ukc1cE5lc3pTUkx1USIsImkiOiI1ODMyMDI3Nzc2In0.uvqthgMpwR_njZc5904dpnpbeSHOdGp4w5ZtJu6GZQ8,"Why Join PT Solutions? At PT Solutions Physical Therapy, we’re more than just a private practice—we’re a clinician-founded, mission-driven community dedicated to expanding access to life-changing care. As a Patient Service Coordinator, you’ll be the vital link between patients, providers, and insurers—ensuring every step of the care journey is seamless, efficient, and supportive. In this role, you’ll take ownership of key administrative and communication processes that keep our practice moving.…",30.488521,0,PT Solutions Physical Therapy,Adzuna::API::Response::Company,"['US', 'Florida', 'Escambia County', 'Pensacola', 'East Pensacola Heights']",Adzuna::API::Response::Location,"East Pensacola Heights, Pensacola",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
-84.768588,https://www.adzuna.com/details/5832027781?utm_medium=api&utm_source=abfa41a4,34652.0,Patient Access Coordinator,full_time,2026-08-07T10:08:39Z,5832027781,Adzuna::API::Response::Job,37440.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkFvMW5XcVM4Ukc1cE5lc3pTUkx1USIsImkiOiI1ODMyMDI3NzgxIn0.AMM3T-N7RIDHplKVbgabbyDj44y0YSHpYh9dskOa59Y,"Why Join PT Solutions? At PT Solutions Physical Therapy, we’re more than just a private practice—we’re a clinician-founded, mission-driven community dedicated to expanding access to life-changing care. In this role, you’ll serve as the first point of contact for patients, managing check-in/check-out, payments, and documentation while ensuring a positive and efficient clinic experience. You’ll play a key role in maintaining accurate information, supporting clinic operations, and facilitating com…",33.869144,0,PT Solutions Physical Therapy,Adzuna::API::Response::Company,"['US', 'Georgia', 'Paulding County', 'Hiram']",Adzuna::API::Response::Location,"Hiram, Paulding County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
-86.525981,https://www.adzuna.com/details/5832027773?utm_medium=api&utm_source=abfa41a4,70720.0,Physical Therapist Assistant - Outpatient,full_time,2026-08-07T10:08:39Z,5832027773,Adzuna::API::Response::Job,83200.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMjAyNzc3MyIsInMiOiJKQW8xbldxUzhSRzVwTmVzelNSTHVRIn0.WoMP6L9e3cyjopdbILeCV8I-OSIU5F1ZPQSHGQ1Lm00,"Join our team as a Physical Therapist Assistant, where you’ll work alongside a Physical Therapist in administering patient treatments while educating patients, family members, and caregivers on how to best assist with daily routines. You will have the chance to work with a broader team to maximize patient outcomes using evidence-based care. What You Will Get In addition to the standard benefit offering, you can expect to receive: Competitive compensation with ability to earn performance-based i…",30.759728,0,PT Solutions Physical Therapy,Adzuna::API::Response::Company,"['US', 'Florida', 'Okaloosa County', 'Crestview']",Adzuna::API::Response::Location,"Crestview, Okaloosa County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
-84.595982,https://www.adzuna.com/details/5832027780?utm_medium=api&utm_source=abfa41a4,24960.0,Physical Therapy Aide,part_time,2026-08-07T10:08:39Z,5832027780,Adzuna::API::Response::Job,33280.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkFvMW5XcVM4Ukc1cE5lc3pTUkx1USIsImkiOiI1ODMyMDI3NzgwIn0.v2v_C0uXZnzXJHkwZBrvANxjde1Z7IzhT--Lr2ZfAeY,"Why Join PT Solutions? At PT Solutions Physical Therapy, we’re more than just a private practice—we’re a clinician-founded, mission-driven community dedicated to expanding access to life-changing care. As a Physical Therapy Aide, you’ll play a hands-on role in supporting patient treatments, assisting licensed clinicians, and ensuring smooth clinic operations. This dynamic, entry-level position is perfect for those interested in healthcare careers. You’ll build strong relationships with patients…",34.041872,0,PT Solutions Physical Therapy,Adzuna::API::Response::Company,"['US', 'Georgia', 'Cobb County', 'Barrett Parkway']",Adzuna::API::Response::Location,"Barrett Parkway, Cobb County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
,https://www.adzuna.com/details/5832027765?utm_medium=api&utm_source=abfa41a4,60000.0,Payer Enrollment and Contracting Specialist,full_time,2026-08-07T10:08:39Z,5832027765,Adzuna::API::Response::Job,70000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMjAyNzc2NSIsInMiOiJKQW8xbldxUzhSRzVwTmVzelNSTHVRIn0.Yszz6FbCOm1PxIEpW9NIUtjeVs2TP5WWozGFZu7ZdBM,"The Payer Enrollment and Contracting Specialist provides critical administrative support to ensure our PT Solutions therapists and clinics are properly contracted and enrolled with commercial and government health insurance plans. Additionally, they will act as a key support resource for the revenue cycle staff by proactively troubleshooting day-to-day issues to prevent reimbursement denials and optimize reimbursement. Essential Functions Contracting Support Serve as a revenue cycle resource fo…",,0,PT Solutions Physical Therapy,Adzuna::API::Response::Company,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,contract
-80.163502,https://www.adzuna.com/details/5832027777?utm_medium=api&utm_source=abfa41a4,39520.0,Patient Services Coordinator,full_time,2026-08-07T10:08:39Z,5832027777,Adzuna::API::Response::Job,43680.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkFvMW5XcVM4Ukc1cE5lc3pTUkx1USIsImkiOiI1ODMyMDI3Nzc3In0.OtvuewEC1wfAIhQf1T4SIn_VP6-vjJPa2ojf0WPFuSE,"Why Join PT Solutions? At PT Solutions Physical Therapy, we’re more than just a private practice—we’re a clinician-founded, mission-driven community dedicated to expanding access to life-changing care. As a Patient Service Coordinator, you’ll be the vital link between patients, providers, and insurers—ensuring every step of the care journey is seamless, efficient, and supportive. In this role, you’ll take ownership of key administrative and communication processes that keep our practice moving.…",26.382412,0,PT Solutions Physical Therapy,Adzuna::API::Response::Company,"['US', 'Florida', 'Palm Beach County', 'Boca Raton']",Adzuna::API::Response::Location,"Boca Raton, Palm Beach County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
