created,redirect_url,title,salary_min,salary_is_predicted,adref,id,salary_max,description,latitude,__CLASS__,longitude,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,category.label,category.tag,category.__CLASS__,contract_time,contract_type
2026-08-08T09:39:52Z,https://www.adzuna.com/land/ad/5833503730?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=090EBC6CF033E393D3BDC0ED84D71C23D0B48AA2,Travel Clinic Physical Therapist,105950.0,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaUhyV1BUQ1Q4UkdEeHZlQnZHcXVCQSIsImkiOiI1ODMzNTAzNzMwIn0.jFTrXn1ec1bjP2g5Nbe01-W8heCMXJR1jeVbOGkFitM,5833503730,105950.0,"Job Description \n Staffmax Healthcare is seeking a travel Clinic Physical Therapist for a travel job in Kaneohe, Hawaii. Job Description & Requirements\n \n Specialty: Physical Therapist \n Discipline: Therapy \n Start Date: 09/08/2026 \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours, days \n Employment Type: Travel \n \n Staffmax Healthcare Job ID 18923410. Pay package is based on 8 hour shifts and 40.0 hours per week (subject to confirmation) with tax-free stipend amount to be de…",21.409167,Adzuna::API::Response::Job,-157.799167,Adzuna::API::Response::Company,Staffmax Healthcare,"['US', 'Hawaii', 'Honolulu', 'Kaneohe']",Adzuna::API::Response::Location,"Kaneohe, Honolulu",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:52Z,https://www.adzuna.com/land/ad/5833503738?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=E5BD364EFFAE8E50A793EA3AAF890232A80A0DDE,Travel Home Health Physical Therapist,196270.33,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUwMzczOCIsInMiOiJpSHJXUFRDVDhSR0R4dmVCdkdxdUJBIn0.zWtEjDfPOkg77-Jv9I-xK4hJadjg-TI-LBcpnnuZsyM,5833503738,196270.33,"Job Description \n Critical Connection, inc is seeking a travel Home Health Physical Therapist for a travel job in Yonkers, New York. Job Description & Requirements\n \n Specialty: Physical Therapist \n Discipline: Therapy \n Start Date: 08/24/2026 \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours, days \n Employment Type: Travel \n \n \n Schedule: Full-Time | Flexible Scheduling Guaranteed Hours: Yes (assignment-dependent) \n About the Opportunity \n We are seeking a licensed Physic…",40.942896,Adzuna::API::Response::Job,-73.880073,Adzuna::API::Response::Company,"Critical Connection, inc","['US', 'New York', 'Westchester County', 'Yonkers']",Adzuna::API::Response::Location,"Yonkers, Westchester County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:52Z,https://www.adzuna.com/land/ad/5833503741?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=BEC58F9DBBD80554B5BA5061EF140F75DF40813F,Travel Physical Therapy Assistant,95441.12,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUwMzc0MSIsInMiOiJpSHJXUFRDVDhSR0R4dmVCdkdxdUJBIn0.1Vu_3tTyeNZQ95gUxAOzqoKUr122LKh3KfhSED0E9OA,5833503741,95441.12,"Job Description \n Critical Connection, inc is seeking a travel Physical Therapy Assistant for a travel job in Covington, Georgia. Job Description & Requirements\n \n Specialty: Physical Therapy Assistant \n Discipline: Therapy \n Start Date: ASAP \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours, days \n Employment Type: Travel \n \n \n Schedule: Full-Time | Flexible Scheduling Options Guaranteed Hours: Yes (varies by assignment) \n About the Opportunity \n We are seeking a licensed…",33.57,Adzuna::API::Response::Job,-83.891,Adzuna::API::Response::Company,"Critical Connection, inc","['US', 'Georgia', 'Newton County', 'Porterdale']",Adzuna::API::Response::Location,"Porterdale, Newton County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:52Z,https://www.adzuna.com/land/ad/5833503725?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=565F61D939EED313AE0E5A79CC181AED0BE1194C,Travel Cardiac Cath Lab Tech,292896.34,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUwMzcyNSIsInMiOiJpSHJXUFRDVDhSR0R4dmVCdkdxdUJBIn0.NFZ02cxYL_1L-_NnDtZaYfTyBna8IvmskUj0pv2LaRI,5833503725,292896.34,"Job Description \n Care Team Solutions is seeking a travel Cath Lab Technologist for a travel job in Margate, Florida. Job Description & Requirements\n \n Specialty: Cath Lab Technologist \n Discipline: Allied Health Professional \n Start Date: 08/24/2026 \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours \n Employment Type: Travel \n \n \n Registered Nurse must have 2 years of recent experience in particular specialty \n Details: Must Have 2 Years of recent Catheterization Laboratory…",26.244526,Adzuna::API::Response::Job,-80.206436,Adzuna::API::Response::Company,Care Team Solutions,"['US', 'Florida', 'Broward County', 'Margate']",Adzuna::API::Response::Location,"Margate, Broward County",Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:51Z,https://www.adzuna.com/land/ad/5833503708?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=07FFF54DF2474B962F378CE3F700A7A0BE95ECB3,Travel Labor and Delivery RN,99792.95,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaUhyV1BUQ1Q4UkdEeHZlQnZHcXVCQSIsImkiOiI1ODMzNTAzNzA4In0.P4qFWtRDtkNC9eW-O7E6EcUkTNROGlf6a6H3uaCYRd0,5833503708,99792.95,"Job Description \n MedPro Healthcare Staffing is seeking a travel nurse RN Labor and Delivery for a travel nursing job in Abington, Pennsylvania. Job Description & Requirements\n \n Specialty: Labor and Delivery \n Discipline: RN \n Start Date: 09/14/2026 \n Duration: 13 weeks \n 36 hours per week \n Shift: 12 hours, days, nights \n Employment Type: Travel \n \n \n MedPro Healthcare Staffing , a Joint Commission-certified staffing agency, is seeking a quality Labor & Delivery Registered Nurse f…",40.12446,Adzuna::API::Response::Job,-75.12984,Adzuna::API::Response::Company,MedPro Healthcare Staffing,"['US', 'Pennsylvania', 'Montgomery County', 'Abington']",Adzuna::API::Response::Location,"Abington, Montgomery County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:51Z,https://www.adzuna.com/land/ad/5833503722?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=B430ED2011BB56016A95322B0B5337C564061D56,Travel IR RN,102407.34,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaUhyV1BUQ1Q4UkdEeHZlQnZHcXVCQSIsImkiOiI1ODMzNTAzNzIyIn0.3Oc9tQjtwauU_lfQwpzjBj05MpLidVF_FXpW_EKlfTw,5833503722,102407.34,"Job Description \n Access Healthcare is seeking a travel nurse RN Interventional Radiology Level III for a travel nursing job in Rochester, New York. Job Description & Requirements\n \n Specialty: Interventional Radiology \n Discipline: RN \n Start Date: 09/14/2026 \n Duration: 16 weeks \n 40 hours per week \n Shift: 10 hours \n Employment Type: Travel \n \n Access Healthcare Job ID 79390803. Pay package is based on 10 hour shifts and 40 hours per week (subject to confirmation) with tax-free st…",43.1315,Adzuna::API::Response::Job,-77.6085,Adzuna::API::Response::Company,Access Healthcare,"['US', 'New York', 'Monroe County', 'Loehmanns Plaza']",Adzuna::API::Response::Location,"Loehmanns Plaza, Monroe County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:51Z,https://www.adzuna.com/land/ad/5833503712?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=70C22920E12C6E80ABF58D907077CDE0A338B57D,Travel Physical Therapist Assistant - Outpatient Orthopedic,127935.95,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUwMzcxMiIsInMiOiJpSHJXUFRDVDhSR0R4dmVCdkdxdUJBIn0.PJY3Tg8hD8F2hkI5k6fiB2vcKt2fQnkKyPMkrowHtZo,5833503712,127935.95,"Job Description \n Care Career is seeking a travel Physical Therapy Assistant for a travel job in Conyers, Georgia. Job Description & Requirements\n \n Specialty: Physical Therapy Assistant \n Discipline: Therapy \n Start Date: 08/10/2026 \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours, days \n Employment Type: Travel \n \n Care Career Job ID 37663784. Pay package is based on 8 hour shifts and 40.0 hours per week (subject to confirmation) with tax-free stipend amount to be determin…",33.6831,Adzuna::API::Response::Job,-84.0198,Adzuna::API::Response::Company,Care Career,"['US', 'Georgia', 'Rockdale County', 'Conyers']",Adzuna::API::Response::Location,"Conyers, Rockdale County",Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:51Z,https://www.adzuna.com/land/ad/5833503709?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=1BD3236637C100D14E09895498A8FCBBBD50E064,Travel Nurse RN - Med Surg / Telemetry,128962.84,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUwMzcwOSIsInMiOiJpSHJXUFRDVDhSR0R4dmVCdkdxdUJBIn0.un0NY0AnThMal1rtLrHxL8lpC0OYzhaV2qScg4nOnvY,5833503709,128962.84,"Job Description \n LanceSoft is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Fort Madison, Iowa. Job Description & Requirements\n \n Specialty: Med Surg / Telemetry \n Discipline: RN \n Start Date: ASAP \n Duration: 13 weeks \n 36 hours per week \n Shift: 12 hours, days \n Employment Type: Travel \n \n Minimum 2 years of relevant RN experience required \n Active certifications \n Day 1 Dental, Health, Vision insurance. Referral bonus and extension bonus. \n LanceSo…",40.631126,Adzuna::API::Response::Job,-91.336643,Adzuna::API::Response::Company,LanceSoft,"['US', 'Iowa', 'Lee County', 'Fort Madison']",Adzuna::API::Response::Location,"Fort Madison, Lee County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:51Z,https://www.adzuna.com/land/ad/5833503716?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=E761629D7B473861486F4F3A3D7D37B56BFE707F,Travel Certified Surgical Technologist,110349.75,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUwMzcxNiIsInMiOiJpSHJXUFRDVDhSR0R4dmVCdkdxdUJBIn0.chwCUHBtvJO6E5eRJfXP8fB6NpxAeRNiWtaQb-m1NMI,5833503716,110349.75,"Job Description \n LanceSoft is seeking a travel Certified Surgical Technologist for a travel job in Pensacola, Florida. Job Description & Requirements\n \n Specialty: Certified Surgical Technologist \n Discipline: Allied Health Professional \n Start Date: 08/12/2026 \n Duration: 13 weeks \n 40 hours per week \n Shift: 8 hours, days, nights \n Employment Type: Travel \n \n Day 1 Dental, Health, Vision insurance. Referral bonus and extension bonus. \n LanceSoft Job ID j97dyvhmwxbs4xcsjdws9h7ryx8…",30.423724,Adzuna::API::Response::Job,-87.226997,Adzuna::API::Response::Company,LanceSoft,"['US', 'Florida', 'Escambia County', 'Pensacola']",Adzuna::API::Response::Location,"Pensacola, Escambia County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
2026-08-08T09:39:51Z,https://www.adzuna.com/land/ad/5833503707?se=iHrWPTCT8RGDxveBvGquBA&utm_medium=api&utm_source=abfa41a4&v=30405856FBA242B74B7E209FC90D041BC5178E0E,Registered Nurse (RN) - Telemetry PCU - Progressive Care Unit,55323.48,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaUhyV1BUQ1Q4UkdEeHZlQnZHcXVCQSIsImkiOiI1ODMzNTAzNzA3In0.RAeA_ttnBaKaT-AciBp-KhiM9t3kyr_rM0Uebue1vAY,5833503707,55323.48,"Job Description \n \n Perm Staff Jobs is seeking a Registered Nurse (RN) Telemetry PCU - Progressive Care Unit for a nursing job in Arlington, Texas. Job Description & Requirements\n \n Specialty: Telemetry PCU - Progressive Care Unit \n Discipline: RN \n Duration: Ongoing \n Employment Type: Staff \n \n RN Progressive Care Telemetry\n \n Medical City Arlington\n RN - Progressive Care Telemetry \n Full Time \n Nights Introduction\n Medical City Arlington is committed to investing in the latest …",32.6945,Adzuna::API::Response::Job,-97.1275,Adzuna::API::Response::Company,Perm Staff Jobs,"['US', 'Texas', 'Tarrant County', 'Pantego']",Adzuna::API::Response::Location,"Pantego, Tarrant County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
