adref,longitude,title,__CLASS__,contract_time,salary_is_predicted,latitude,created,salary_min,description,salary_max,redirect_url,id,company.__CLASS__,company.display_name,location.display_name,location.__CLASS__,location.area,category.__CLASS__,category.tag,category.label,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTUxNSIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.eTN3ygXAbwMdxLqQ0YuSE-oN3LQOxoLpWN7lcfQxPyg,-86.989635,"ER RN Staff, Part Time, Days",Adzuna::API::Response::Job,part_time,1,34.590472,2026-08-11T10:14:18Z,50354.69,"Job Summary: While demonstrating through behavior Decatur Morgan Hospital’s mission, vision and values, the Registered Nurse serves as a leader of the healthcare team at Decatur Morgan Hospital by establishing an authentic personalized relationship with the patient and their chosen support system, collaborating with physicians and other team members to assess, plan, implement and evaluate an individualized plan of care that promotes optimal health or supports a peaceful death. The RN utilizes t…",50354.69,https://www.adzuna.com/details/5836775515?utm_medium=api&utm_source=abfa41a4,5836775515,Adzuna::API::Response::Company,HH Health System,"Priceville, Morgan County",Adzuna::API::Response::Location,"['US', 'Alabama', 'Morgan County', 'Priceville']",Adzuna::API::Response::Category,part-time-jobs,Part time Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1NDcyIn0.-EmCijnEtmbR4AnCuz1CDBQ-k0_-SnIp3nUY0gQRqyQ,-86.30829,"Wastewater Treatment Tech, SBI",Adzuna::API::Response::Job,full_time,1,41.702369,2026-08-11T10:14:14Z,70127.92,"Pioneer Metal Finishing is the leading surface engineering company in North America. For over 75 years, we’ve delivered consistent, quality metal finishing solutions for mission-critical applications. Our advanced surface modification technologies and scalable execution improve the performance of mission-critical products and enhance brand value for companies in the healthcare, aerospace, automotive, and industrial markets. We encourage you to learn more about opportunities with Pioneer Metal F…",70127.92,https://www.adzuna.com/details/5836775472?utm_medium=api&utm_source=abfa41a4,5836775472,Adzuna::API::Response::Company,Pioneer Metal Finishing,"St Marys, St. Joseph County",Adzuna::API::Response::Location,"['US', 'Indiana', 'St. Joseph County', 'St Marys']",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1NDU5In0.6acNgdu3K_4wQHkHK4nm003NsyetExW6j_dpDYQo8bM,-86.011712,"Store Team Member (Cashier, Stocker, Animal Care)",Adzuna::API::Response::Job,part_time,1,39.9714,2026-08-11T10:14:13Z,34641.33,"Did you know bearded dragons grow up to 2 feet long? Or that the average life span for an umbrella cockatoo is 50 years? Our team members are pet lovers and like to know it all! As a Store Team Member at Pet Supplies Plus, you’re pawsitively passionate about people and their pets. Providing exceptional, neighborly service at every opportunity during your workday, you will stop to help a neighbor select the perfect toy for a terrier that likes to chew review and compare the ingredient labels of …",34641.33,https://www.adzuna.com/details/5836775459?utm_medium=api&utm_source=abfa41a4,5836775459,Adzuna::API::Response::Company,Pet Supplies Plus,"Fishers, Hamilton County",Adzuna::API::Response::Location,"['US', 'Indiana', 'Hamilton County', 'Fishers']",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTQ1OCIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.MJlzmUfsR9d0HORx3dRYjsxsQagojtmfj5iwEHjMLnY,-81.39372,"Store Team Member-Daytime/Weekday (Cashier, Stocker, Animal Care)",Adzuna::API::Response::Job,part_time,1,40.8381,2026-08-11T10:14:13Z,36148.44,"Did you know bearded dragons grow up to 2 feet long? Or that the average life span for an umbrella cockatoo is 50 years? Our team members are pet lovers and like to know it all! We are currently looking for daytime Team Members for mostly weekdays and some weekends if available. We offer flexible schedules, career advancement opportunities, and a great employee discount program! As a Store Team Member at Pet Supplies Plus, you’re pawsitively passionate about people and their pets. Providing exc…",36148.44,https://www.adzuna.com/details/5836775458?utm_medium=api&utm_source=abfa41a4,5836775458,Adzuna::API::Response::Company,Pet Supplies Plus,"North Canton, Stark County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Stark County', 'North Canton']",Adzuna::API::Response::Category,retail-jobs,Retail Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTQ1NyIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.0Gk5kPznpjKUAvjqn51FYbGoD4N5xEaZyfWF73RFNcQ,-81.39372,Store Shift Supervisor,Adzuna::API::Response::Job,part_time,1,40.8381,2026-08-11T10:14:13Z,43727.27,"Do 4-pawed friends make you smile? Do you enjoy cool pet products that make tails wag? So do we! If you’re a paws-on leader of the pack who believes any dog can learn new tricks, then come work in our neighborhood! As Store Shift Supervisor at Pet Supplies Plus, you’re pawsitively passionate about people and their pets. Providing exceptional, neighborly service at every opportunity during your work day, you will: assist a neighbor in choosing the perfect toy for a lab who loves to fetch stop to…",43727.27,https://www.adzuna.com/details/5836775457?utm_medium=api&utm_source=abfa41a4,5836775457,Adzuna::API::Response::Company,Pet Supplies Plus,"North Canton, Stark County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Stark County', 'North Canton']",Adzuna::API::Response::Category,retail-jobs,Retail Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTQ0OCIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.Pr1ijTcr-086v2A5qKiT9tfCcfiuSyVTC33Zfb2opbo,-83.787366,"Store Team Member (Cashier, Stocker, Animal Care)",Adzuna::API::Response::Job,part_time,1,42.276019,2026-08-11T10:14:12Z,38932.81,"Did you know bearded dragons grow up to 2 feet long? Or that the average life span for an umbrella cockatoo is 50 years? Our team members are pet lovers and like to know it all! As a Store Team Member at Pet Supplies Plus, you’re pawsitively passionate about people and their pets. Providing exceptional, neighborly service at every opportunity during your workday, you will stop to help a neighbor select the perfect toy for a terrier that likes to chew review and compare the ingredient labels of …",38932.81,https://www.adzuna.com/details/5836775448?utm_medium=api&utm_source=abfa41a4,5836775448,Adzuna::API::Response::Company,Pet Supplies Plus,"Loch Alpine, Washtenaw County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Washtenaw County', 'Loch Alpine']",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1NDQ5In0.VNXQ96Q8FpNpW7Dxd1j9t1wGt89vQ0IwMWkTUugIJaU,-85.96736,Pet Nail Tech,Adzuna::API::Response::Job,part_time,1,39.86321,2026-08-11T10:14:12Z,53624.53,"Did you know a dog has three eyelids? Or that house cats share 95.6% of their genetic makeup with tigers? Our team members are pet lovers and like to know it all! As a Pet Nail Tech at Pet Supplies Plus, you’re pawsitively passionate about people and their pets. Providing exceptional, neighborly service at every opportunity during your workday, you will: Perform quick services for all pets including paw package, nail trims and file, ear cleaning, nail polish, paw wax application attend our free…",53624.53,https://www.adzuna.com/details/5836775449?utm_medium=api&utm_source=abfa41a4,5836775449,Adzuna::API::Response::Company,Pet Supplies Plus,"Oaklandon, Marion County",Adzuna::API::Response::Location,"['US', 'Indiana', 'Marion County', 'Oaklandon']",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjc3NTQyOSIsInMiOiJJTW1LTEpDVjhSR2lZcHVqMFEzeGJRIn0.5IUjnpduoNkxm2Si0caNp3WC7l41nOV841GSM8BNAyI,-83.369483,Supply Chain Inventory Analyst (Hybrid Role M-W in office),Adzuna::API::Response::Job,full_time,1,42.425516,2026-08-11T10:14:10Z,69601.16,"We are looking for future leaders of the pack! Along with regular assigned duties, we look for people who want to take on special projects and stretch assignments to grow and develop with the organization. If you are hard-working and inquisitive about your career, then Pet Supplies Plus may be a great next step! Pet Supplies Plus is looking for a Supply Chain Inventory Analyst to join our team at Pet Central, our Livonia, MI corporate headquarters. This is a hybrid role, with in-office days Mon…",69601.16,https://www.adzuna.com/details/5836775429?utm_medium=api&utm_source=abfa41a4,5836775429,Adzuna::API::Response::Company,Pet Supplies Plus,"Livonia, Wayne County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Wayne County', 'Livonia']",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1NDA1In0.tnxcLS_4gjLGHi8ZZYN7N0UopkssizJxvm2FHkw2oNI,,Payment Accuracy Specialist 1,Adzuna::API::Response::Job,full_time,1,,2026-08-11T10:14:07Z,76161.98,"Cotiviti Healthcare is a leading provider of payment accuracy services to the most recognized companies in the healthcare and retail industries. We are seeking innovative thinkers and creative problem solvers who are interested in making a contribution to improving healthcare and want to be part of a team that is expanding rapidly and providing opportunities for career growth. If you want to make a difference and contribute to the improvement of healthcare payment integrity, consider an opportu…",76161.98,https://www.adzuna.com/details/5836775405?utm_medium=api&utm_source=abfa41a4,5836775405,Adzuna::API::Response::Company,Cotiviti,US,Adzuna::API::Response::Location,['US'],Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,contract
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSU1tS0xKQ1Y4UkdpWXB1ajBRM3hiUSIsImkiOiI1ODM2Nzc1Mzk2In0.jjcse1_DjJEI6ErHp-zaW5j9nQrS4A4WDOQKD7Cq6iE,-75.954037,CDL-A Local Driver,Adzuna::API::Response::Job,,0,43.102592,2026-08-11T10:14:05Z,62000.0,"System Freight is seeking a safety-focused CDL-A Local Driver to join our regional, family-oriented trucking team. In this role, you’ll haul time-sensitive, high-volume freight for dedicated accounts across the Northeast and Mid-Atlantic, operating late-model equipment on consistent local and regional routes. Responsibilities include safe pickup and delivery, accurate logs, vehicle inspections, and on-time performance while providing professional customer service. Enjoy stable, long-term employ…",75000.0,https://www.adzuna.com/land/ad/5836775396?se=IMmKLJCV8RGiYpuj0Q3xbQ&utm_medium=api&utm_source=abfa41a4&v=75F57DF28BFE88983EDF1212F0D8C60B7D09BB1F,5836775396,Adzuna::API::Response::Company,System Freight,"Kirkville, Onondaga County",Adzuna::API::Response::Location,"['US', 'New York', 'Onondaga County', 'Kirkville']",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,
