__CLASS__,salary_max,description,redirect_url,title,contract_type,salary_min,created,salary_is_predicted,contract_time,adref,id,location.display_name,location.area,location.__CLASS__,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,longitude,latitude
Adzuna::API::Response::Job,42250.52,"At Fogo de Chão, we strive to give our guests an unforgettable dining experience of discovery while showcasing the Culinary Art of Churrasco. Our mission is to ignite fire and joy to care for our team, our guests, and our communities.We believe better futures start when we bring our best to the table every day to Feed a Purposeful Future – starting with our team members. We feed our teams with fulfilling job opportunities, making space around the table so everyone feels welcome. At Fogo, we’ll …",https://www.adzuna.com/land/ad/5838338182?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=995E6A04760B91B28C794E41993D21E20086F774,Dishwasher,permanent,42250.52,2026-08-12T10:13:38Z,1,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODE4MiIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.0IuRrTRF50hnKxpw5MNatrC5Rt9w2tVMqxJkaxApZyg,5838338182,US,['US'],Adzuna::API::Response::Location,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,Fogo de Chão,Adzuna::API::Response::Company,,
Adzuna::API::Response::Job,47931.62,First Solar reserves the right to offer you a role most applicable to your experience and skillset. Basic Job Functions: Support DE tests in the manufacturing line or perform testing in lab environment. Use understanding of engineering & tech skills to interpret instructions into actions and experimental outcomes. May assist in troubleshooting tool/process issues and suggest system improvements to achieve performance goals. May compile and analyze test data from performed testing. Education/Exp…,https://www.adzuna.com/land/ad/5838338193?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=AFDEC87C45AFECAE36B0A663778E59EF7655344D,Development Engineering Technician I,,47931.62,2026-08-12T10:13:38Z,1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODE5MyIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.89Gp7gT8FS97ODB4WodUUwb-JoMZGcXnuBdSKi_gW3I,5838338193,"Perrysburg, Wood County","['US', 'Ohio', 'Wood County', 'Perrysburg']",Adzuna::API::Response::Location,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,First Solar ,Adzuna::API::Response::Company,-83.627157,41.556996
Adzuna::API::Response::Job,30475.01,"Join Us Today! Unlock Your Sales Potential at AAA Club Alliance! Are you passionate about delivering exceptional service while driving sales success? Join our team and be part of a dynamic retail environment where every interaction counts. Don't wait any longer, apply now and take the next step towards a rewarding career! AAA Club Alliance is actively hiring for an experienced full-time Retail Sales Associate! Check out what AAA can offer you: The starting base compensation for this position is…",https://www.adzuna.com/land/ad/5838338100?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=D1A15DC343A4C60C43868E7914F73A9C2DA44D15,Retail Sales Associate,,30475.01,2026-08-12T10:13:36Z,1,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicEJRTVlsbVc4UkdCa2NsSWkxaWRXQSIsImkiOiI1ODM4MzM4MTAwIn0.ikoKZohJn0v4CyhdZUi-ttmXT6h9EeBhdZhJb4vsF9U,5838338100,"Edison, Middlesex County","['US', 'New Jersey', 'Middlesex County', 'Edison']",Adzuna::API::Response::Location,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,AAA Mid-Atlantic,Adzuna::API::Response::Company,-74.393934,40.505476
Adzuna::API::Response::Job,54025.58,"Lytx is hiring Field Service Technicians as field-based trial support positions across key U.You will be the Lytx-badged professional who shows up to every trial install site, performs the installation, makes sure the hardware is right, and doesn't leave until every vehicle is activated and recording. Maintain and stock your trial hardware kit; manage hardware rotation to keep inventory current - Source replacement parts locally when needed for standard components to prevent day-of delays - Con…",https://www.adzuna.com/land/ad/5838338079?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=B33AB9F2975C9167C90237560CEBA2E85DCC2E71,Field Service Technician (Technicien Service Clients) F/M,,54025.58,2026-08-12T10:13:36Z,1,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicEJRTVlsbVc4UkdCa2NsSWkxaWRXQSIsImkiOiI1ODM4MzM4MDc5In0._yB9EatN6mTmhznE2rdvpic9yyGdkXrX5TEmiXuA8hM,5838338079,"Texas, US","['US', 'Texas']",Adzuna::API::Response::Location,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,"Lytx, Inc.",Adzuna::API::Response::Company,-98.656775,31.709263
Adzuna::API::Response::Job,88593.12,"We made history and now we work to transform the future – for our customers, our communities and our families. You'll see your work on the road every day, helping people move freely and pursue their dreams. At Ford, you can build more than vehicles. Come build what matters. Do you believe data tells the real story? We do! Redefining mobility requires quality data, metrics and analytics, as well as insightful interpreters and analysts. That's where Global Data Insight & Analytics makes an impact…",https://www.adzuna.com/land/ad/5838338085?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=7E6883E41430F2A4902F5A36A4C413ACA9DC1AC3,Full Stack Software Engineer,,88593.12,2026-08-12T10:13:36Z,1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODA4NSIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.BCmgXsiVnVChmm145Bp99XXbVH5OlVPd01a_f39YlnI,5838338085,"Dearborn, Wayne County","['US', 'Michigan', 'Wayne County', 'Dearborn']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Ford Motor Company,Adzuna::API::Response::Company,-83.191694,42.304917
Adzuna::API::Response::Job,49751.39,"Job Description In the Nordstrom Beauty Department, we strive to make our customers feel their best. As a member of the Beauty community, you'll create personalized beauty experiences for customers and be part of a passionate team that values your unique skills. The Beauty Counter Manager plays a dual role – part salesperson, part teacher – while maximizing sales in their assigned beauty brand. Ideal candidates are results-oriented and thrive in a commissioned sales environment, are passionate …",https://www.adzuna.com/land/ad/5838338036?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=FA1EA61123D013A8EA52113F2DB60C156C7B9A77,Beauty Counter Manager - Amouage - La Jolla University Town Center,,49751.39,2026-08-12T10:13:35Z,1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODAzNiIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.gABdCETv1Egc_c7pNSdWPcgZB9ZhTqZH5rfSM82E63Y,5838338036,"San Diego, San Diego County","['US', 'California', 'San Diego County', 'San Diego']",Adzuna::API::Response::Location,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,Nordstrom,Adzuna::API::Response::Company,-117.164709,32.726967
Adzuna::API::Response::Job,128883.79,"About WestEd As a community of over 1,400 researchers, practitioners, consultants, and administrative professionals from all backgrounds and life experiences, we are committed to making a qualitative difference in the lives of youth, children, and adults. We conduct and apply research, develop evidence-based solutions, and provide consulting services across the country in both rural and urban communities to improve equitable outcomes for individuals from infancy through adulthood. Serving as tr…",https://www.adzuna.com/land/ad/5838338044?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=9F937E16053C4A6A73A64077D75BCF4A15E4198F,"Program Director, Business Development - Center for Early Childhood (Hybrid)",,128883.79,2026-08-12T10:13:35Z,1,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODA0NCIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.LR0tc6vQ_N0ngO56Wvt0PExivzH5rIwjdZITshfcLuI,5838338044,"Seal Beach, Orange County","['US', 'California', 'Orange County', 'Seal Beach']",Adzuna::API::Response::Location,Consultancy Jobs,consultancy-jobs,Adzuna::API::Response::Category,WestEd,Adzuna::API::Response::Company,-118.083005,33.753568
Adzuna::API::Response::Job,125396.84,"Company Description At Northwestern Medicine, every patient interaction makes a difference in cultivating a positive workplace. This patient-first approach is what sets us apart as a leader in the healthcare industry. As an integral part of our team, you'll have the opportunity to join our quest for better health care, no matter where you work within the Northwestern Medicine system. We pride ourselves on providing competitive benefits: from tuition reimbursement and loan forgiveness to 401(k) …",https://www.adzuna.com/land/ad/5838338058?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=975C6494E58A2E58C5F87AAC3EDD4F7CF2926CDF,"Compliance Coordinator - Point of Care Testing, Full-Time, Days (Central & North Region Travel Coverage)",,125396.84,2026-08-12T10:13:35Z,1,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODA1OCIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.osaVfaWb6xh5bbecmN8UZFfr3uhZUkoWEwyoRp3XbM0,5838338058,"Chicago, Cook County","['US', 'Illinois', 'Cook County', 'Chicago']",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Northwestern Memorial Healthcare,Adzuna::API::Response::Company,,
Adzuna::API::Response::Job,87551.62,"The purpose of this job is to consistently achieve individual sales goals to support the store's sales and profit objectives, provide superior customer service, and take on other senior-level responsibilities within a store. Essential Functions (not all-inclusive): Generate sales to exceed personal sales goals Promote the Music & Arts lesson program Create business by networking with teachers/schools, churches, and community organizations Develop customer relationships and provide compelling sa…",https://www.adzuna.com/land/ad/5838338035?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=659BAE29DE5C3900AE0DB73374900C586CDD6A8B,PT Senior Sales Associate Store 5350,,87551.62,2026-08-12T10:13:35Z,1,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicEJRTVlsbVc4UkdCa2NsSWkxaWRXQSIsImkiOiI1ODM4MzM4MDM1In0.Kqs4pOpsZ8T6GG2GM02GYqoxSjyrRyqR_0DOziwtCzU,5838338035,"Wright City, Warren County","['US', 'Missouri', 'Warren County', 'Wright City']",Adzuna::API::Response::Location,Creative & Design Jobs,creative-design-jobs,Adzuna::API::Response::Category,Music & Arts,Adzuna::API::Response::Company,-91.040238,38.818377
Adzuna::API::Response::Job,39290.62,Job Description 100% Travel Task Force. $20.00 Per Hour Plus OT. Experienced Cooks. This is a Travel Position. We Pay for Travel and one meal per day per shift. Housing Units. $112 Per Week Rent Plus $25 Weekly Deposit. Will have Room Mate at employee housing. Cook Job Duties: Prepare and cook menu items according to recipes and quality standards Collaborate with other kitchen staff to ensure smooth operation of the kitchen Follow food safety and sanitation guidelines to maintain a clean and sa…,https://www.adzuna.com/land/ad/5838338057?se=pBQMYlmW8RGBkclIi1idWA&utm_medium=api&utm_source=abfa41a4&v=20DBDAF9577153FF4C9B5DBDEB8878124B56B83C,Travel Cooks,,39290.62,2026-08-12T10:13:35Z,1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzODMzODA1NyIsInMiOiJwQlFNWWxtVzhSR0JrY2xJaTFpZFdBIn0.vEnWH1W-45kE0TAP3476rEKLn-gZSCN2rdpVG52vUlk,5838338057,"Houston, Harris County","['US', 'Texas', 'Harris County', 'Houston']",Adzuna::API::Response::Location,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,Boss Search Group,Adzuna::API::Response::Company,,
