created,title,description,adref,id,latitude,salary_is_predicted,salary_max,salary_min,longitude,redirect_url,__CLASS__,company.__CLASS__,company.display_name,location.area,location.display_name,location.__CLASS__,category.__CLASS__,category.label,category.tag,contract_time,contract_type
2026-08-14T10:13:27Z,Hair Stylist - South Branch Center,"Job Description \n \n \n Join a locally owned Great Clips® salon team and enjoy a rewarding career doing what you love! Whether you’re an experienced stylist or a recent graduate, we're excited to meet you. \n Ready for a better job? Great Clips is hiring full-time hair stylists! We need staff who want 34 hours each week. Must be available for weekends and closing shifts. Pay is about $30 an hour including tips, and it could be more. Enjoy amazing benefits, bonuses, and incentives. Apply right …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MTg2NTQyMyIsInMiOiJma2RxRS11WDhSR1hsdWEwd2kyM3JnIn0.ZqZM5JYgIi6XYMMtVatyI0B6dQjpctzRpszT-qCwvfk,5841865423,43.056087,1,51336.98,51336.98,-83.329822,https://www.adzuna.com/land/ad/5841865423?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=9EA1EAD9EBD59CBC7E748E9E2C0A73D7E35F2B8F,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Great Clips,"['US', 'Michigan', 'Lapeer County', 'Lake Nepessing']","Lake Nepessing, Lapeer County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Creative & Design Jobs,creative-design-jobs,,
2026-08-14T10:13:27Z,Clinical Nursing Instructor (RN) Part-Time - Northern Idaho,"Job Description Job Description Description: Join Us in Transforming Healthcare Education. At Joyce University, work is more than a job — it’s a shared commitment to excellence, growth, and purpose. Since 1979, we’ve been dedicated to one mission: empowering every student to succeed in healthcare. That same dedication extends to our people. We’re proud to be recognized among Utah’s Best Companies to Work For, but what truly defines us is our culture — built on integrity, service, learning, and …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZmtkcUUtdVg4UkdYbHVhMHdpMjNyZyIsImkiOiI1ODQxODY1NDE0In0.8ohdeitUo3AmALgeS_8xR2XsU0US_AybTNbiVMUS1FM,5841865414,46.391549,1,96447.88,96447.88,-116.98701,https://www.adzuna.com/land/ad/5841865414?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=CA9DD8BA17711E4B88FB85D23EC98D59889BF259,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Joyce University,"['US', 'Idaho', 'Nez Perce County', 'Lewiston']","Lewiston, Nez Perce County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,,
2026-08-14T10:13:26Z,CDL A Yard Driver - Home Daily,"Job Description As a Local Yard Driver with Lazer Logistics in Waterloo, IA, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. \n This is one of the most consistent and predictable CDL jobs available. You know where you are going, what you are doing, and when your day starts and ends.If you are looking for a CDL job that offers consistency, predictabilit…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MTg2NTQxMCIsInMiOiJma2RxRS11WDhSR1hsdWEwd2kyM3JnIn0.UyhCTX_xIRrDGIdZNFlXdDpy1U0SFnjX6YkpfXTU9mU,5841865410,42.965485,1,67362.75,67362.75,-92.197277,https://www.adzuna.com/land/ad/5841865410?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=145FC317CB3653F144759DEE0A8E998A8AB1C062,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Lazer Logistics,"['US', 'Iowa', 'Chickasaw County', 'Fredericksburg']","Fredericksburg, Chickasaw County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Travel Jobs,travel-jobs,,
2026-08-14T10:13:26Z,CDL A Truck Driver - Home Daily,"Job Description As a Local Yard Driver with Lazer Logistics, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. \n This is one of the most consistent and predictable CDL jobs available.You know where you are going, what you are doing, and when your day starts and ends.If you are looking for a CDL job that offers consistency, predictability, and a better d…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MTg2NTQwMyIsInMiOiJma2RxRS11WDhSR1hsdWEwd2kyM3JnIn0.iokgXT2L8Zwxd8i66eQYZV9QeNiS96hsnWZFy1llemw,5841865403,39.9372,1,70285.4,70285.4,-89.40222,https://www.adzuna.com/land/ad/5841865403?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=983F02ED4C64500F56E88617A8E98A6CEA899715,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Lazer Logistics,"['US', 'Illinois', 'Sangamon County', 'Buffalo Hart']","Buffalo Hart, Sangamon County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Travel Jobs,travel-jobs,,
2026-08-14T10:13:26Z,CDL A Truck Driver - Home Daily,"Job Description Looking for a driving job that keeps you close to home? We've got the perfect opportunity for you!We prioritize your work-life balance with home-daily schedules that ensure you spend more nights at home. Join a company that values your time at home, safety, and career growth! \n Our organization has over 5,000 employees nationwide and in Canada. We are committed to providing top-tier services in the supply chain industry and take pride in our dedicated workforce. Our employees a…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZmtkcUUtdVg4UkdYbHVhMHdpMjNyZyIsImkiOiI1ODQxODY1NDA2In0.NfTaOhELZTfxgGyhozef6lPHGqIivNsEFgarkLf08To,5841865406,38.7828,1,75370.79,75370.79,-94.54932,https://www.adzuna.com/land/ad/5841865406?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=0342B4FB05C0E4FA55D8AB746C2CD440E4D70F75,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Lazer Logistics,"['US', 'Missouri', 'Cass County', 'Belton']","Belton, Cass County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Travel Jobs,travel-jobs,,
2026-08-14T10:13:26Z,"CDL A Truck Driver - Home Daily - $2,000 Bonus","Job Description As a Local Yard Driver with Lazer Logistics, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. \n This is one of the most consistent and predictable CDL jobs available.You know where you are going, what you are doing, and when your day starts and ends.If you are looking for a CDL job that offers consistency, predictability, and a better d…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MTg2NTQwMSIsInMiOiJma2RxRS11WDhSR1hsdWEwd2kyM3JnIn0.DvT3zVxReWTMxYdFiQKfW_4VrGb_dvBUNdvEhmF1Q8k,5841865401,42.589255,1,97341.99,97341.99,-88.439793,https://www.adzuna.com/land/ad/5841865401?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=67A8DBDD15666547790DFBAE72436F84C0CAC481,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Lazer Logistics,"['US', 'Wisconsin', 'Walworth County', 'Lake Geneva']","Lake Geneva, Walworth County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Travel Jobs,travel-jobs,,
2026-08-14T10:13:26Z,"CDL A Truck Driver - $3,000 Hiring Bonus - Home Daily","Job Description LIMITED TIME $3000 SIGN ON AND STAY BONUS \n As a Local Yard Driver with Lazer Logistics, you will stay in one location for your entire shift. No traffic, no long routes, and no multiple stops. Instead, you focus on moving trailers within the yard in a safe, controlled environment. \n This is one of the most consistent and predictable CDL jobs available.You know where you are going, what you are doing, and when your day starts and ends.If you are looking for a CDL job that offer…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MTg2NTQwMiIsInMiOiJma2RxRS11WDhSR1hsdWEwd2kyM3JnIn0.NTyHPWEWiggJzRjzzTkHWM8_ukUaVRcxg_yrvt5wNAU,5841865402,38.862613,1,77721.94,77721.94,-87.430389,https://www.adzuna.com/land/ad/5841865402?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=7C0FE44AFCCC29D99BE4339C875E3136D5AE32DE,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Lazer Logistics,"['US', 'Indiana', 'Knox County', 'Oaktown']","Oaktown, Knox County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Travel Jobs,travel-jobs,,
2026-08-14T10:13:25Z,Clinical Director - Acute Telemetry,"Job Description Description \n \n \n CHRISTUS Spohn Hospital Corpus Christi - Shoreline overlooking Corpus Christi Bay is the largest and foremost acute care medical facility in the region, with a full range of diagnostic and surgical specialty services in cardiac, cancer, and stroke care. It is the leading emergency facility in the area with a Level II Trauma Center in the Coastal Bend, staffed with physicians and nurses specially trained in emergency services. \n \n \n \n The Pavilion and Nor…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MTg2NTM4NSIsInMiOiJma2RxRS11WDhSR1hsdWEwd2kyM3JnIn0.gGE3inE_HH0adhzrbg9gDwzCvY9kxpPU9HbV5EDJOh8,5841865385,27.768197,1,55164.64,55164.64,-97.400295,https://www.adzuna.com/land/ad/5841865385?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=D7AF8BA4CEE7EFB7916049A8712E0578EC5470E4,Adzuna::API::Response::Job,Adzuna::API::Response::Company,CHRISTUS Health,"['US', 'Texas', 'Nueces County', 'Corpus Christi']","Corpus Christi, Nueces County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,,
2026-08-14T10:13:25Z,Senior Reactor Operator,"Job Description Who We Are \n As the nation's largest producer of clean, carbon-free energy, Constellation is focused on our purpose: accelerating the transition to a carbon-free future. We have been the leader in clean energy production for more than a decade, and we are cultivating a workplace where our employees can grow, thrive, and contribute. \n Our culture and employee experience make it clear: We are powered by passion and purpose. Together, we're creating healthier communities and a cl…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZmtkcUUtdVg4UkdYbHVhMHdpMjNyZyIsImkiOiI1ODQxODY1Mzc5In0.7XP2wJwWRsXLPFKQi_p56YR1V2NK7JabJoSR-4El4G4,5841865379,40.336565,1,82307.88,82307.88,-75.659945,https://www.adzuna.com/land/ad/5841865379?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=E9AF813BC52EFA5B95BD9E8037552B6CD1F6FCE8,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Constellation Energy,"['US', 'Pennsylvania', 'Berks County', 'Gabelsville']","Gabelsville, Berks County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Other/General Jobs,other-general-jobs,,
2026-08-14T10:13:24Z,Hair Stylist - Main Street at Exton,"Job Description \n \n \n Join a locally owned Great Clips® salon team and enjoy a rewarding career doing what you love! Whether you’re an experienced stylist or a recent graduate, we're excited to meet you. \n Join Our Team at SSGC Salon! \n Are you a passionate stylist looking for a place to thrive and grow? At SSGC, we prioritize a fun, kind, and energetic team culture, and we want you to be a part of it! \n What we offer: \n Competitive Pay: Earn between $20-$25 per hour, based on experience…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZmtkcUUtdVg4UkdYbHVhMHdpMjNyZyIsImkiOiI1ODQxODY1MzY1In0.GiE-p4fXXxZk4KTewrIgr9ii1boTwPmxnAlbU8PP3Pk,5841865365,40.04214,1,56528.77,56528.77,-75.63066,https://www.adzuna.com/land/ad/5841865365?se=fkdqE-uX8RGXlua0wi23rg&utm_medium=api&utm_source=abfa41a4&v=575A394332A305655AAC8A2E625495702D08B8B7,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Great Clips,"['US', 'Pennsylvania', 'Chester County', 'Exton']","Exton, Chester County",Adzuna::API::Response::Location,Adzuna::API::Response::Category,Creative & Design Jobs,creative-design-jobs,,
