salary_is_predicted,longitude,description,__CLASS__,created,id,latitude,salary_min,salary_max,adref,contract_time,title,redirect_url,company.__CLASS__,company.display_name,category.__CLASS__,category.label,category.tag,location.display_name,location.__CLASS__,location.area,contract_type
0,-122.0667,"BUILT ON FLAVOR. FUELED BY PEOPLE. What’s it like to work at Kinder’s? Well, there’s a lot of snacking and geeking out over what we all cooked over the weekend. Beyond that, there’s also plenty of hard work. Because we don’t just like flavor, we’re obsessed with it. With over 100 products sold nationwide, we’re now a top-five brand in multiple flavor categories at Costco, Walmart, Whole Foods, and more. We’re not your typical CPG company. Privately held and founder-led, we like to think of ours…",Adzuna::API::Response::Job,2026-08-15T09:27:21Z,5843096555,37.865566,105000.0,130000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjU1NSIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.MjeVSg7eNkmrY9XoGODlUAG9GTsIy_BklyUFATYPgDU,full_time,Business Systems Analyst,https://www.adzuna.com/details/5843096555?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,Kinder's,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,"Walnut Creek, Contra Costa County",Adzuna::API::Response::Location,"['US', 'California', 'Contra Costa County', 'Walnut Creek']",
1,-79.756811,"Thriveworks is currently seeking Licensed Clinical Social Workers to provide a mix of telehealth and face-to-face sessions in Greensboro, NC. At Thriveworks, we’re not just growing a practice—we’re building a movement to transform mental health care. Founded and led by clinicians, we understand what it takes to support our team so they can focus on what they do best: delivering exceptional care. Who We Are Thriveworks is a trusted mental health provider with 340 locations and a nationwide hybri…",Adzuna::API::Response::Job,2026-08-15T09:26:56Z,5843096542,36.067604,96684.83,96684.83,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjU0MiIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.ctZTVcz-hPlzmUi2qlAyE2XDAXA06zqWkhDQ2pbQLLI,full_time,Clinical Social Worker - Fee For Service,https://www.adzuna.com/details/5843096542?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,Thriveworks,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Greensboro, Guilford County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Guilford County', 'Greensboro']",
1,-90.0521,"Location: On site at location listed in job posting. Summary of Position: The Marketing Data Enablement Manager is a member of the Marketing team, reporting to the VP, Marketing Data Enablement and Production Support. This position is responsible for leading a team of data analysts. Partnering with key stakeholders, the Marketing Data Enablement Manager shapes and delivers data driven, integrated customer and banker experiences within the Marketing technology stack and enables data pipelines ne…",Adzuna::API::Response::Job,2026-08-15T09:25:11Z,5843096527,35.1478,120617.35,120617.35,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjUyNyIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.6FSOE5TQu3aYHMtxNnMo73jk19I6oQxi20WSXGW_LsU,full_time,Marketing Data Enablement Manager,https://www.adzuna.com/details/5843096527?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,First Horizon,Adzuna::API::Response::Category,IT Jobs,it-jobs,"Memphis, DeSoto County",Adzuna::API::Response::Location,"['US', 'Mississippi', 'DeSoto County', 'Memphis']",
1,-112.07,"Join Our Team at MasterCorp, Inc.! At MasterCorp, Inc., we provide exceptional service and innovative solutions in the hospitality industry. As a leader in our field, we believe in the power of teamwork, integrity, and a commitment to excellence. Our dynamic and inclusive workplace fosters growth, creativity, and the opportunity to make an impact. We are looking for passionate and driven individuals to join our team and help us continue to deliver outstanding results for our clients. POSITION O…",Adzuna::API::Response::Job,2026-08-15T09:23:49Z,5843096504,33.45,86744.12,86744.12,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjUwNCIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.lBuhmBhAWQ8Ky4TGk8ATSpfwUtGgsX758tE6DQId5Rk,full_time,Regional Sales Manager- Commercial Services/Education,https://www.adzuna.com/details/5843096504?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,MasterCorp,Adzuna::API::Response::Category,Sales Jobs,sales-jobs,"Phoenix, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",
0,-89.140636,"Stability Healthcare is seeking a local contract nurse RN ICU - Intensive Care Unit for a local contract nursing job in Antigo, Wisconsin. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Start Date: 09/28/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Local Contract Stability Healthcare is looking for a ICU RN contract position in Antigo, WI. Intensive Care Unit (ICU) Nurses treat acutely ill patients with life-threatening c…",Adzuna::API::Response::Job,2026-08-15T09:23:35Z,5843096483,45.130012,0.0,114400.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSXRMUmFLNlk4UkdRcjZRbXppaGtHdyIsImkiOiI1ODQzMDk2NDgzIn0.1kMF45zZLQ1j-9twy6GPb_d_cM8Ba0_WryAvnyLv8ak,,Local Contract ICU RN - $55 per hour,https://www.adzuna.com/land/ad/5843096483?se=ItLRaK6Y8RGQr6QmzihkGw&utm_medium=api&utm_source=abfa41a4&v=8B9654D5E5B199EAB433CF61F9C6E6832C86DD9B,Adzuna::API::Response::Company,Stability Healthcare,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Antigo, Langlade County",Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Langlade County', 'Antigo']",
0,-80.846082,"Description Hepaco is a Clean Harbors company in Charlotte, NC is seeking a Class A CDL Driver to operate a variety of heavy and light duty trucks/work equipment at our customer sites; some of the vehicles operated include vacuum trucks, Cuscos, guzzlers, and roll offs. This role is responsible for performing driving and non-driving duties on and off customer sites associated with hazardous waste clean-up. Travel / On Call / Emergency Response Hourly Range - $26.00 - $28.00 Please note: All new…",Adzuna::API::Response::Job,2026-08-15T09:19:51Z,5843096188,35.232678,54080.0,58240.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjE4OCIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.lX3eRoiGDGIHsbln7Zt2-ADgC_5rIS_WnzZxq1n3mLU,full_time,Class A CDL Equipment Operator / HAZMAT Truck Driver,https://www.adzuna.com/details/5843096188?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,CleanHarbors,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,"Charlotte, Mecklenburg County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",
0,-117.161769,"Kyo is a leading provider of Applied Behavior Analysis (ABA) therapy, dedicated to empowering children with autism and their families to achieve meaningful outcomes. Since 2005, we have partnered with thousands of families across 11 states, delivering effective, convenient, and child-centric ABA therapy designed around each child’s unique strengths, needs and goals. At Kyo, our mission is rooted in a commitment to making every moment count for the children and families we support. Pay Range: $2…",Adzuna::API::Response::Job,2026-08-15T09:18:24Z,5843096175,33.163027,45760.0,53040.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSXRMUmFLNlk4UkdRcjZRbXppaGtHdyIsImkiOiI1ODQzMDk2MTc1In0.rS8NuLQnxNpl2MK7MZ6t3BnCCE2Tm0i5ALHBp0RxoAw,,Behavior Technician,https://www.adzuna.com/details/5843096175?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,Kyo Autism Therapy,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"San Marcos, San Diego County",Adzuna::API::Response::Location,"['US', 'California', 'San Diego County', 'San Marcos']",
1,-90.036751,"Join our dynamic AWS team and become a critical guardian of global cloud infrastructure! You'll play a pivotal role in maintaining the heartbeat of the world's most innovative technology platform, ensuring seamless data center operations that power millions of businesses and services worldwide. Data Center Technician position involves in-depth hardware and network diagnostics followed by physical repair as well as participating in an on-call rotation. AWS Infrastructure Services owns the design…",Adzuna::API::Response::Job,2026-08-15T09:18:03Z,5843096172,32.612638,142235.88,142235.88,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjE3MiIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.uvlt0jfIVJ6kjM-_lx45KtY5pHaxH5uLg7tehkepWcY,full_time,Data Center Operations Tech IV,https://www.adzuna.com/land/ad/5843096172?se=ItLRaK6Y8RGQr6QmzihkGw&utm_medium=api&utm_source=abfa41a4&v=ED0499C26DCF53274F659419F6F65AD648DC24FA,Adzuna::API::Response::Company,Amazon,Adzuna::API::Response::Category,IT Jobs,it-jobs,"Canton, Madison County",Adzuna::API::Response::Location,"['US', 'Mississippi', 'Madison County', 'Canton']",
0,-149.827973,"Stability Healthcare is seeking a local contract nurse RN Med Surg / Telemetry for a local contract nursing job in Anchorage, Alaska. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 09/14/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Local Contract Stability Healthcare is looking for a Tele Med-Surg RN contract position in Anchorage, AK. The Medical Surgical Telemetry Registered Nurse (RN) provides direct nursing car…",Adzuna::API::Response::Job,2026-08-15T09:17:12Z,5843096161,61.154889,0.0,120640.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzA5NjE2MSIsInMiOiJJdExSYUs2WThSR1FyNlFtemloa0d3In0.QBnf5it0ArLzBAyOKTQj7ef3kQgtKuAr0BQw1wjJVqs,,Local Contract MS/Tele RN - $58 per hour,https://www.adzuna.com/land/ad/5843096161?se=ItLRaK6Y8RGQr6QmzihkGw&utm_medium=api&utm_source=abfa41a4&v=B648AAC61D0011339ED22D78ED75162422B2F577,Adzuna::API::Response::Company,Stability Healthcare,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Eagle River, Anchorage",Adzuna::API::Response::Location,"['US', 'Alaska', 'Anchorage', 'Eagle River']",
0,-84.3879,"Stability Healthcare is seeking a local contract nurse RN PCU - Progressive Care Unit for a local contract nursing job in Atlanta, Georgia. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 09/08/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, flexible Employment Type: Local Contract Stability Healthcare is looking for a Telemetry RN contract position in Atlanta, GA. Telemetry nurses care for patients by using medical equipment to monito…",Adzuna::API::Response::Job,2026-08-15T09:17:12Z,5843096165,33.7487,0.0,87360.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSXRMUmFLNlk4UkdRcjZRbXppaGtHdyIsImkiOiI1ODQzMDk2MTY1In0.Y3j21fTB-wL5T8_csDybrT_pAGTyNrPsE8gFtxaWr6o,,Local Contract Intermediate Coronary Care RN - $42 per hour,https://www.adzuna.com/land/ad/5843096165?se=ItLRaK6Y8RGQr6QmzihkGw&utm_medium=api&utm_source=abfa41a4&v=0B93384ADB632039ABFE01DDCE4A8B12258A2330,Adzuna::API::Response::Company,Stability Healthcare,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']",
