longitude,contract_time,description,__CLASS__,title,salary_min,latitude,salary_is_predicted,created,adref,redirect_url,salary_max,id,company.display_name,company.__CLASS__,location.area,location.__CLASS__,location.display_name,category.tag,category.label,category.__CLASS__,contract_type
-86.252922,full_time,"Full-time, Part-time Description Description At CC Holdings, our team is dedicated to serving guests and team members through our HEART Culture: Heartfelt Efficient Accountable Respectful Team-Oriented We strive to build strong connections within the communities we serve and are currently seeking friendly, motivated, and detail-oriented individuals to join our growing team. We are currently hiring Full-Time and Part-Time Cashier/CSR team members for our Lift Off location at the Indianapolis Int…",Adzuna::API::Response::Job,Cashier- Lift Off,27040.0,39.739266,0,2026-08-16T09:22:26Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NDIzNDM4NiIsInMiOiJjcEJ0cm5lWjhSR3FNOXRscksyRmZRIn0.ciALmUopCCQubm8b7dYzrQfqsGV1MXO7X2-pZEHh7HM,https://www.adzuna.com/details/5844234386?utm_medium=api&utm_source=abfa41a4,33280.0,5844234386,CC Holdings,Adzuna::API::Response::Company,"['US', 'Indiana', 'Marion County', 'Drexel Gardens']",Adzuna::API::Response::Location,"Drexel Gardens, Marion County",hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,
-115.834554,,"Our vision is to transform how the world uses information to enrich life for all . Micron Technology is a world leader in innovating memory and storage solutions that accelerate the transformation of information into intelligence, inspiring the world to learn, communicate and advance faster than ever. At Micron-Boise, ID, we are undergoing a historic $15 billion investment in semiconductor manufacturing; construction began in early 2023, with DRAM production slated for the second half of the de…",Adzuna::API::Response::Job,Senior Dry Etch Process Engineer,136658.6,43.828505,1,2026-08-16T09:19:52Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NDIzNDI2OSIsInMiOiJjcEJ0cm5lWjhSR3FNOXRscksyRmZRIn0.U1_F6QLJe9AZUlF471CbGojd2Dbf3z714g1AAmtPMBc,https://www.adzuna.com/details/5844234269?utm_medium=api&utm_source=abfa41a4,136658.6,5844234269,Micron,Adzuna::API::Response::Company,"['US', 'Idaho', 'Boise County', 'Idaho City']",Adzuna::API::Response::Location,"Idaho City, Boise County",engineering-jobs,Engineering Jobs,Adzuna::API::Response::Category,
-90.188738,full_time,"About Austin Industrial Austin Industrial delivers premier maintenance, construction, and soft craft services to leading industrial companies across the U.S. An industry leader for more than 60 years, we offer single-source solutions to our customers in the oil, gas, chemical, food, agriculture, power, and manufacturing industries. Our team of 4,000 employee-owners, equipped with innovative technology and optimized procedures, helps owners optimize safety, productivity, profit margins, and cost…",Adzuna::API::Response::Job,"General Laborer - (Clinton, IA) - Austin Industrial LYB cont.",41652.61,41.844474,1,2026-08-16T09:19:39Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3BCdHJuZVo4UkdxTTl0bHJLMkZmUSIsImkiOiI1ODQ0MjM0MjU5In0.rVTWBl7Z8QAIey-FK4MG10_IIjwbHtZz4VEzYHcT-Ck,https://www.adzuna.com/details/5844234259?utm_medium=api&utm_source=abfa41a4,41652.61,5844234259,Austin Careers,Adzuna::API::Response::Company,"['US', 'Iowa', 'Clinton County', 'Clinton']",Adzuna::API::Response::Location,"Clinton, Clinton County",manufacturing-jobs,Manufacturing Jobs,Adzuna::API::Response::Category,
-85.126345,part_time,"Shape the Future – Join the YMCA Childcare Team! The YMCA is looking for dedicated, caring, and creative individuals to join our Childcare team! In this role, you’ll have the opportunity to foster a fun, safe, and nurturing environment where children can learn, grow, and explore their potential. Why you’ll love the YMCA As a part-time staff member, you will receive a free individual membership or 50% off family membership and 50% discounted programs for you and your household. Other perks our Y…",Adzuna::API::Response::Job,After School Site Assistant - Parkview YMCA,29120.0,41.151487,0,2026-08-16T09:19:01Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3BCdHJuZVo4UkdxTTl0bHJLMkZmUSIsImkiOiI1ODQ0MjM0MjE2In0.n7C0FevlkqkKle2c0MZVu0U_NUJ3YyRXRtRY-njGDX0,https://www.adzuna.com/details/5844234216?utm_medium=api&utm_source=abfa41a4,30160.0,5844234216,YMCA of Greater Fort Wayne,Adzuna::API::Response::Company,"['US', 'Indiana', 'Allen County', 'Hazelwood']",Adzuna::API::Response::Location,"Hazelwood, Allen County",teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,
-73.205701,part_time,"Part-time Description Are you looking for a fun job working with kids that fits your schedule? After school position in a public elementary school that follows the school calendar. Job details Location: Mettawee Community School in West Pawlet, VT Schedule: 2:25 to 5:30 PM on school days Pay: $16.00 to $17.50 per hour Payday: Every other Friday Job type: Part time Commitment: School year 2026 to 2027 What your afternoons will look like Being part of a fun, welcoming after-school space for kids …",Adzuna::API::Response::Job,Childcare Assistant - After School,33280.0,42.968633,0,2026-08-16T09:17:26Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NDIzNDA5NSIsInMiOiJjcEJ0cm5lWjhSR3FNOXRscksyRmZRIn0.EH-sm08tawWCmNjlJsczhn7qD5mT25Ie9-q56xDj5sM,https://www.adzuna.com/details/5844234095?utm_medium=api&utm_source=abfa41a4,36400.0,5844234095,Healthy Kids Programs,Adzuna::API::Response::Company,"['US', 'Vermont', 'Bennington County', 'Shaftsbury']",Adzuna::API::Response::Location,"Shaftsbury, Bennington County",teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,
-103.298034,full_time,"* $20,000 Sign On Bonus & Relocation Assistance Available for Full Time * * No Weekends or On Call * Pediatric Setting * Are you a Behavior Analyst seeking clinical support from peers and leadership, flexible schedule and the opportunity to learn and help grow future BCBAs in the field? Come be a part of a behaviorally focused team that works collaboratively with families and an onsite multidisciplinary team of OTs and SLPs. Our approach is innovative and inclusive for children and families pro…",Adzuna::API::Response::Job,Board Certified Behavior Analyst - Clinic Based,103708.89,44.056889,1,2026-08-16T09:17:02Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NDIzNDA3NiIsInMiOiJjcEJ0cm5lWjhSR3FNOXRscksyRmZRIn0.vfMqbxzEMy0EgDE8MTZGpSMePWQfFomvGBDvY6ZLbDk,https://www.adzuna.com/details/5844234076?utm_medium=api&utm_source=abfa41a4,103708.89,5844234076,LifeScape,Adzuna::API::Response::Company,"['US', 'South Dakota', 'Pennington County', 'Pactola Lake']",Adzuna::API::Response::Location,"Pactola Lake, Pennington County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,
-76.844301,part_time,"Part-time Description Healthy Kids Programs is looking for passionate and energetic individuals to join our team as part-time Teacher Assistants for the 2026-2027 school year. LOCATION: Healthy Kids Programs Early Learning Center in Waterloo, NY PAY: $16.00 per hour HOURS: Hours vary between 6:30 am - 6:30 pm JOB STATUS: Part-time, non-exempt Featured Benefit: Employer-Paid Childcare Healthy Kids Programs provides childcare for school-age children (ages 5–12) enrolled in our program on the days…",Adzuna::API::Response::Job,Early Childhood Learning Teacher Assistant,32183.51,42.743176,1,2026-08-16T09:15:48Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3BCdHJuZVo4UkdxTTl0bHJLMkZmUSIsImkiOiI1ODQ0MjM0MDE5In0.mthEgRRiIzMsarot6gCafHR_SH47bJEusnqAQy1NTis,https://www.adzuna.com/details/5844234019?utm_medium=api&utm_source=abfa41a4,32183.51,5844234019,Healthy Kids Programs,Adzuna::API::Response::Company,"['US', 'New York', 'Seneca County', 'Romulus']",Adzuna::API::Response::Location,"Romulus, Seneca County",teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,
-109.54984,full_time,"We Put the World on Vacation Travel  Leisure Co. is the world’s leading vacation ownership and travel membership company, with a dynamic and growing portfolio of resort, travel club, and lifestyle travel brands. Our dedicated associates help the company achieve its mission to put the world on vacation. Innovation and growth keep our work interesting and fun. Every day is a chance to learn something new and turn vacation inspiration into exceptional experiences for millions of travelers worldwid…",Adzuna::API::Response::Job,Housekeeping Dispatcher Clerk. WorldMark Moab Resort,32169.7,38.573316,1,2026-08-16T09:15:21Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NDIzMzk5OCIsInMiOiJjcEJ0cm5lWjhSR3FNOXRscksyRmZRIn0.WeoDhBf1ABxMbeqbWbFXEwb-7wrsK1JSoDdl6X2oDbk,https://www.adzuna.com/details/5844233998?utm_medium=api&utm_source=abfa41a4,32169.7,5844233998,Wyndham Hotels & Resorts,Adzuna::API::Response::Company,"['US', 'Utah', 'Grand County', 'Moab']",Adzuna::API::Response::Location,"Moab, Grand County",hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,
,full_time,"Job Summary Processes reservations for check-ins/check-outs of hotel guests in a friendly, courteous, and professional manner. Answers telephone calls and makes reservations as required. Job Description • Processes room reservations, registrations, check-ins/check-outs, requests, changes, and cancellations. • Offers guest other room options and/or up sells room when possible. • Processes all payment types (adjustment vouchers, paid-outs, correction vouchers, and miscellaneous charges) and provi…",Adzuna::API::Response::Job,Guest Svc Rep,38537.87,,1,2026-08-16T09:15:05Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3BCdHJuZVo4UkdxTTl0bHJLMkZmUSIsImkiOiI1ODQ0MjMzOTgxIn0.axOmtEy_6S2qPI0OTycNPHCgk0e6xgoSySONtw39NFk,https://www.adzuna.com/details/5844233981?utm_medium=api&utm_source=abfa41a4,38537.87,5844233981,Viejas Casino & Resort,Adzuna::API::Response::Company,['US'],Adzuna::API::Response::Location,US,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,
-82.983056,full_time,"Posting Date 07/22/2026 609 W Emmitt Ave, Waverly, Ohio, 45690-1013, United States of America Patient Care Tech - OCDT - DaVita Skilled Nursing Dialysis (DSD) This position Based at Hudson Springs SNF 9050 Church Dr Parma Heights, OH 44130 3-4 Days A Week, 12 Hour Shifts No Call DaVita Kidney Care is bringing our industry-leading clinical quality to patients on-site at skilled nursing facilities (SNF) through a new team called DaVita Skilled Nursing Dialysis Services. Approximately 10% of all d…",Adzuna::API::Response::Job,Patient Care Technician,62421.8,39.126111,1,2026-08-16T09:15:00Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NDIzMzk3NCIsInMiOiJjcEJ0cm5lWjhSR3FNOXRscksyRmZRIn0.ShmAvK_s-srabYtgfXuiS-TAr2igSULtHOikDfUNfWk,https://www.adzuna.com/details/5844233974?utm_medium=api&utm_source=abfa41a4,62421.8,5844233974,DaVita,Adzuna::API::Response::Company,"['US', 'Ohio', 'Pike County', 'Waverly']",Adzuna::API::Response::Location,"Waverly, Pike County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,
