salary_max,title,id,adref,redirect_url,created,latitude,description,salary_min,__CLASS__,longitude,salary_is_predicted,category.label,category.__CLASS__,category.tag,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,contract_time,contract_type
114476.05,Physical Therapist - SIGN ON BONUS,5845190131,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEl5YzVFR2E4UkdYdkxTVk1EY0VLZyIsImkiOiI1ODQ1MTkwMTMxIn0.ttnrjTQm5lAhhxEv1Um4kfNIi1KzXXqAnBaM-5FYuP0,https://www.adzuna.com/land/ad/5845190131?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=B6ADF79BAEC9ED92CDA9416D20A9BA0C917722B9,2026-08-17T09:40:57Z,30.074847,"$10,000 Sign-On Bonus! Explore opportunities with Suncrest OMNI, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a culture of Caring. Connecting. Growing to…",114476.05,Adzuna::API::Response::Job,-82.75629,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Florida', 'Columbia County', 'Lake City']",Adzuna::API::Response::Location,"Lake City, Columbia County",Adzuna::API::Response::Company,UnitedHealth Group,,
104113.8,Physical Therapist Home Health,5845190078,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NTE5MDA3OCIsInMiOiI4SXljNUVHYThSR1h2TFNWTURjRUtnIn0.QMwCv6DjQO7bXCUQtrUsBkWI39dvwdobs87DceQqdE0,https://www.adzuna.com/land/ad/5845190078?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=7D87EFD3E88D4678B1295BCF682F0F72AB64607E,2026-08-17T09:40:56Z,47.366651,"Explore opportunities with Assured Home Health, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a culture of Caring. Connecting. Growing together. $5,000 SI…",104113.8,Adzuna::API::Response::Job,-122.197612,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Washington', 'King County', 'Kent']",Adzuna::API::Response::Location,"Kent, King County",Adzuna::API::Response::Company,UnitedHealth Group,,
36158.06,Full Time Licensed Practial Nurse,5845190050,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEl5YzVFR2E4UkdYdkxTVk1EY0VLZyIsImkiOiI1ODQ1MTkwMDUwIn0.CGoT8QS1qNta16qx2XOYyNeRFmTMrtaBnlBZw5HrbZM,https://www.adzuna.com/land/ad/5845190050?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=1297FAB504757CA1FD7CEE46D8BB20DC87ECACB2,2026-08-17T09:40:55Z,35.967136,"Explore opportunities with SunCrest Home Health, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a culture of Caring. Connecting. Growing together. The Lice…",36158.06,Adzuna::API::Response::Job,-79.040886,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'North Carolina', 'Orange County', 'Chapel Hill']",Adzuna::API::Response::Location,"Chapel Hill, Orange County",Adzuna::API::Response::Company,UnitedHealth Group,,
91875.64,"Physical Therapist (Fort Morgan)- $7,500 Sign On Bonus",5845190051,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEl5YzVFR2E4UkdYdkxTVk1EY0VLZyIsImkiOiI1ODQ1MTkwMDUxIn0.1Era7Mgythxxc0p8HcBK-8kgtYKge6ozZuwHmj9cqSY,https://www.adzuna.com/land/ad/5845190051?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=23883A344A9FF28F29A179C85F9543165B2D7ED7,2026-08-17T09:40:55Z,40.250258,"Explore opportunities with Colorado Plains Medical Center Home Care, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a culture of Caring. Connecting. Growin…",91875.64,Adzuna::API::Response::Job,-103.799951,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Colorado', 'Morgan County', 'Fort Morgan']",Adzuna::API::Response::Location,"Fort Morgan, Morgan County",Adzuna::API::Response::Company,UnitedHealth Group,,
86931.29,"Physical Therapist- Home Health Shelton, WA $5K Sign n Bonus",5845190047,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEl5YzVFR2E4UkdYdkxTVk1EY0VLZyIsImkiOiI1ODQ1MTkwMDQ3In0.kBv_ay6t2DlmtpDHDPFWPL__sXM6JONpGDugU4xfEoU,https://www.adzuna.com/land/ad/5845190047?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=C614B8C3C268F99DAD3F78BFFC22D252533C890D,2026-08-17T09:40:54Z,47.215095,"Eligible for a $5,000 Sign-on Bonus for External Applicants Explore opportunities with Olympia Assured Home Health, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and …",86931.29,Adzuna::API::Response::Job,-123.100707,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Washington', 'Mason County', 'Shelton']",Adzuna::API::Response::Location,"Shelton, Mason County",Adzuna::API::Response::Company,UnitedHealth Group,,
98645.66,Home Health Physical Therapist - $5K SIGN ON BONUS,5845190024,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEl5YzVFR2E4UkdYdkxTVk1EY0VLZyIsImkiOiI1ODQ1MTkwMDI0In0.4tq0ojXn7SAUTofgZgpvmIlP7BbE7my5PrwodC4RDsE,https://www.adzuna.com/land/ad/5845190024?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=987CCE924FB9A8B18AC2B49B0224E6F983FAFBFE,2026-08-17T09:40:53Z,47.252911,"Eligible for a $5,000 Sign-on Bonus for qualifying External Applicants Explore opportunities with Assured Home Health, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us a…",98645.66,Adzuna::API::Response::Job,-122.441743,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Washington', 'Pierce County', 'Tacoma']",Adzuna::API::Response::Location,"Tacoma, Pierce County",Adzuna::API::Response::Company,UnitedHealth Group,,
67971.16,Home Health RN,5845190025,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NTE5MDAyNSIsInMiOiI4SXljNUVHYThSR1h2TFNWTURjRUtnIn0.77WNoaCnPSxC1TIiA7bxwC6sWW7UYk7Z17Tzgnz1tqU,https://www.adzuna.com/land/ad/5845190025?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=917C2100618E6EC5C8356255366A344F835FA15D,2026-08-17T09:40:53Z,41.242294,"Flexible Scheduling Mileage Reimbursement Provided Local Coverage Area: Luzerne County, PA $10,000 Sign-On Bonus Available for Full-Time External Hires Explore opportunities with Geisinger Home Health, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, e…",67971.16,Adzuna::API::Response::Job,-75.889703,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Pennsylvania', 'Luzerne County', 'Wilkes Barre']",Adzuna::API::Response::Location,"Wilkes Barre, Luzerne County",Adzuna::API::Response::Company,UnitedHealth Group,,
103242.62,"Physical Therapist - Sign On Bonus $10,000",5845190028,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NTE5MDAyOCIsInMiOiI4SXljNUVHYThSR1h2TFNWTURjRUtnIn0.xZTsxP1GrFZ3cpx8zdOBuDLrgYsDUtTISp4-mcMPxSg,https://www.adzuna.com/land/ad/5845190028?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=A6566F343C06C6852FAD3C2448AFFC786AEC9FE2,2026-08-17T09:40:53Z,39.99612,"$10,000 sign on bonus for external employees Explore opportunities with Angels of Mercy Home Health, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a cultu…",103242.62,Adzuna::API::Response::Job,-86.347069,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Indiana', 'Boone County', 'Whitestown']",Adzuna::API::Response::Location,"Whitestown, Boone County",Adzuna::API::Response::Company,UnitedHealth Group,,
118674.9,"Physical Therapist - $25,000 Sign On and Relocation Assistance!",5845190032,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NTE5MDAzMiIsInMiOiI4SXljNUVHYThSR1h2TFNWTURjRUtnIn0.ZOoOxc1P0K17Z2y-egg8l-WsR-CjAITe6WsLePEQjCU,https://www.adzuna.com/land/ad/5845190032?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=77F4A300DBE6314AFF1A06FD9B7F638AF6669C59,2026-08-17T09:40:53Z,38.351711,"$25,000 Sign-on Bonus and ask about our Relocation Bonus! Explore opportunities with Home Care Plus Inc, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a c…",118674.9,Adzuna::API::Response::Job,-81.633647,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'West Virginia', 'Kanawha County', 'Charleston']",Adzuna::API::Response::Location,"Charleston, Kanawha County",Adzuna::API::Response::Company,UnitedHealth Group,,
105707.38,Physical Therapist,5845190018,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEl5YzVFR2E4UkdYdkxTVk1EY0VLZyIsImkiOiI1ODQ1MTkwMDE4In0.6Ow9RnZI2Sp4vtoIRfIpn1Mf-z2rPavG1r4CVw0hc6M,https://www.adzuna.com/land/ad/5845190018?se=8Iyc5EGa8RGXvLSVMDcEKg&utm_medium=api&utm_source=abfa41a4&v=CDEDAC159EA948E8A028E7216D32A8F66F9FCA03,2026-08-17T09:40:52Z,42.066767,"Explore opportunities with Caretenders, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a culture of Caring. Connecting. Growing together. As the Physical T…",105707.38,Adzuna::API::Response::Job,-71.103659,1,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'Massachusetts', 'Bristol County', 'North Easton']",Adzuna::API::Response::Location,"North Easton, Bristol County",Adzuna::API::Response::Company,UnitedHealth Group,,
