description,__CLASS__,created,salary_min,id,redirect_url,salary_is_predicted,longitude,salary_max,latitude,contract_time,adref,title,location.__CLASS__,location.display_name,location.area,category.tag,category.label,category.__CLASS__,company.__CLASS__,company.display_name,contract_type
"Hiring Regional Reefer Drivers, Prioritize Productivity, Not Seniority. Regional Reefer Driver CDL-A Looking for a career where your hard work and availability—not tenure—determine your success? Decker Truck Line is hiring Regional Reefer drivers and giving motivated drivers the opportunity to maximize miles and earnings. If you’re ready to be productive, we’ll keep you moving and help you hit your goals. Driver Benefits Earn up to $100,000 per year Average Miles: 2300-2600 $0.57cpm - $0.75cpm …",Adzuna::API::Response::Job,2026-08-19T09:44:58Z,0.0,5848157176,https://www.adzuna.com/details/5848157176?utm_medium=api&utm_source=abfa41a4,0,-90.708694,100000.0,42.845517,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0ODE1NzE3NiIsInMiOiJmQVNTQzlXYjhSRzVKcThoUEpmSmpRIn0.e6tQywRF584jRmXNTKtcrJoWVF7M6Kh1ycU0Gl1ThkM,Regional Truck Driver Company - 6mo EXP Required - Reefer - $100k per year - Decker,Adzuna::API::Response::Location,"Lancaster, Grant County","['US', 'Wisconsin', 'Grant County', 'Lancaster']",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Decker,
"Hiring Regional Reefer Drivers, Prioritize Productivity, Not Seniority. Regional Reefer Driver CDL-A Looking for a career where your hard work and availability—not tenure—determine your success? Decker Truck Line is hiring Regional Reefer drivers and giving motivated drivers the opportunity to maximize miles and earnings. If you’re ready to be productive, we’ll keep you moving and help you hit your goals. Driver Benefits Earn up to $100,000 per year Average Miles: 2300-2600 $0.57cpm - $0.75cpm …",Adzuna::API::Response::Job,2026-08-19T09:44:57Z,0.0,5848157152,https://www.adzuna.com/details/5848157152?utm_medium=api&utm_source=abfa41a4,0,-78.9515,100000.0,39.168175,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU3MTUyIn0.WnA6SGt4_h11mzSoWkxyDWSC8OsXwg4i5gvZ8TBIYA0,CDL-A Company Driver - 6mo EXP Required - Regional - Reefer - $100k per year - Decker,Adzuna::API::Response::Location,"Moorefield, Hardy County","['US', 'West Virginia', 'Hardy County', 'Moorefield']",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Decker,
"CDL-A Truck Driver. TransAm Trucking Company Truck Driver Jobs TransAm Trucking is now hiring company CDL-A truck drivers for long-haul career opportunities! Apply today and enjoy life on the road with competitive pay and benefits, top-of-the-line equipment, and plenty of great driver rewards: TransAm Trucking Company Truck Drivers Enjoy: Starting pay rate from $0.45/mile to $0.65/mile, loaded and empty* (Includes per diem) We reward safety early and often—starting with a raise after your first…",Adzuna::API::Response::Job,2026-08-19T09:44:56Z,70586.66,5848157104,https://www.adzuna.com/details/5848157104?utm_medium=api&utm_source=abfa41a4,1,-85.521705,70586.66,36.186267,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU3MTA0In0.1m7v840BMSKmD6w8YIUdb-R52bmVeLWchOQjCXmwaZE,Regional Truck Driver Company - 6mo EXP Required - Reefer - TransAm Trucking,Adzuna::API::Response::Location,"Cookeville, Putnam County","['US', 'Tennessee', 'Putnam County', 'Cookeville']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,TransAm Trucking,
"CDL-A Truck Driver. TransAm Trucking Company Truck Driver Jobs TransAm Trucking is now hiring company CDL-A truck drivers for long-haul career opportunities! Apply today and enjoy life on the road with competitive pay and benefits, top-of-the-line equipment, and plenty of great driver rewards: TransAm Trucking Company Truck Drivers Enjoy: Starting pay rate from $0.45/mile to $0.65/mile, loaded and empty* (Includes per diem) We reward safety early and often—starting with a raise after your first…",Adzuna::API::Response::Job,2026-08-19T09:44:54Z,77403.87,5848157020,https://www.adzuna.com/details/5848157020?utm_medium=api&utm_source=abfa41a4,1,-100.849788,77403.87,37.975374,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0ODE1NzAyMCIsInMiOiJmQVNTQzlXYjhSRzVKcThoUEpmSmpRIn0.nx0-kVlYvBMv72Smt_dfTcJ0vJnz8kCvgkI_yrpp2cA,Regional Truck Driver Company - 6mo EXP Required - Reefer - TransAm Trucking,Adzuna::API::Response::Location,"Garden City, Finney County","['US', 'Kansas', 'Finney County', 'Garden City']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,TransAm Trucking,
"CDL-A Truck Driver. TransAm Trucking Company Truck Driver Jobs TransAm Trucking is now hiring company CDL-A truck drivers for long-haul career opportunities! Apply today and enjoy life on the road with competitive pay and benefits, top-of-the-line equipment, and plenty of great driver rewards: TransAm Trucking Company Truck Drivers Enjoy: Starting pay rate from $0.45/mile to $0.65/mile, loaded and empty* (Includes per diem) We reward safety early and often—starting with a raise after your first…",Adzuna::API::Response::Job,2026-08-19T09:44:54Z,73698.16,5848157036,https://www.adzuna.com/details/5848157036?utm_medium=api&utm_source=abfa41a4,1,-77.45352,73698.16,39.4944,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0ODE1NzAzNiIsInMiOiJmQVNTQzlXYjhSRzVKcThoUEpmSmpRIn0.wBGU6WKWrsVEtkvJVMQ_IhBba26q_f4aOjzCqe9c5xM,Regional Truck Driver Company - 6mo EXP Required - Reefer - TransAm Trucking,Adzuna::API::Response::Location,"Lewistown, Frederick County","['US', 'Maryland', 'Frederick County', 'Lewistown']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,TransAm Trucking,
"Hiring Regional Reefer Drivers, Prioritize Productivity, Not Seniority. Regional Reefer Driver CDL-A Looking for a career where your hard work and availability—not tenure—determine your success? Decker Truck Line is hiring Regional Reefer drivers and giving motivated drivers the opportunity to maximize miles and earnings. If you’re ready to be productive, we’ll keep you moving and help you hit your goals. Driver Benefits Earn up to $100,000 per year Average Miles: 2300-2600 $0.57cpm - $0.75cpm …",Adzuna::API::Response::Job,2026-08-19T09:44:48Z,0.0,5848156660,https://www.adzuna.com/details/5848156660?utm_medium=api&utm_source=abfa41a4,0,-92.004781,100000.0,30.234018,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU2NjYwIn0.U0cBh-7hEqRQO8qigIXFVvzXEAqNQmmH9G2z7mkMZ7o,CDL-A Company Driver - 6mo EXP Required - Regional - Reefer - $100k per year - Decker,Adzuna::API::Response::Location,"Lafayette, Lafayette Parish","['US', 'Louisiana', 'Lafayette Parish', 'Lafayette']",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Decker,
"Hiring Regional Reefer Drivers, Prioritize Productivity, Not Seniority. Regional Reefer Driver CDL-A Looking for a career where your hard work and availability—not tenure—determine your success? Decker Truck Line is hiring Regional Reefer drivers and giving motivated drivers the opportunity to maximize miles and earnings. If you’re ready to be productive, we’ll keep you moving and help you hit your goals. Driver Benefits Earn up to $100,000 per year Average Miles: 2300-2600 $0.57cpm - $0.75cpm …",Adzuna::API::Response::Job,2026-08-19T09:44:48Z,0.0,5848156699,https://www.adzuna.com/details/5848156699?utm_medium=api&utm_source=abfa41a4,0,-93.200318,100000.0,43.149083,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU2Njk5In0.bmCR_3XX-RT3LJN4Doze1FJofUqDFpaLxQP0L4V1Ay4,Regional Truck Driver Company - 6mo EXP Required - Reefer - $100k per year - Decker,Adzuna::API::Response::Location,"Mason City, Cerro Gordo County","['US', 'Iowa', 'Cerro Gordo County', 'Mason City']",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Decker,
"Hiring Regional Reefer Drivers, Prioritize Productivity, Not Seniority. Regional Reefer Driver CDL-A Looking for a career where your hard work and availability—not tenure—determine your success? Decker Truck Line is hiring Regional Reefer drivers and giving motivated drivers the opportunity to maximize miles and earnings. If you’re ready to be productive, we’ll keep you moving and help you hit your goals. Driver Benefits Earn up to $100,000 per year Average Miles: 2300-2600 $0.57cpm - $0.75cpm …",Adzuna::API::Response::Job,2026-08-19T09:44:48Z,0.0,5848156710,https://www.adzuna.com/details/5848156710?utm_medium=api&utm_source=abfa41a4,0,-88.176764,100000.0,39.488789,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU2NzEwIn0._RNhIMF-M5k3-AYzY55VKMObrEKxvgqzkVxQkZcvPD0,Regional Truck Driver Company - 6mo EXP Required - Reefer - $100k per year - Decker,Adzuna::API::Response::Location,"Charleston, Coles County","['US', 'Illinois', 'Coles County', 'Charleston']",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Decker,
"CDL-A Truck Driver. TransAm Trucking Company Truck Driver Jobs TransAm Trucking is now hiring company CDL-A truck drivers for long-haul career opportunities! Apply today and enjoy life on the road with competitive pay and benefits, top-of-the-line equipment, and plenty of great driver rewards: TransAm Trucking Company Truck Drivers Enjoy: Starting pay rate from $0.45/mile to $0.65/mile, loaded and empty* (Includes per diem) We reward safety early and often—starting with a raise after your first…",Adzuna::API::Response::Job,2026-08-19T09:44:47Z,78329.66,5848156581,https://www.adzuna.com/details/5848156581?utm_medium=api&utm_source=abfa41a4,1,-93.623385,78329.66,42.036515,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU2NTgxIn0.-UYFDL09CC21LF7_QA4-sQUXN9-Lfm9SoMySBCEdogY,CDL-A Company Driver - 6mo EXP Required - Regional - Reefer - TransAm Trucking,Adzuna::API::Response::Location,"Ames, Story County","['US', 'Iowa', 'Story County', 'Ames']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,TransAm Trucking,
"Hiring Regional Reefer Drivers, Prioritize Productivity, Not Seniority. Regional Reefer Driver CDL-A Looking for a career where your hard work and availability—not tenure—determine your success? Decker Truck Line is hiring Regional Reefer drivers and giving motivated drivers the opportunity to maximize miles and earnings. If you’re ready to be productive, we’ll keep you moving and help you hit your goals. Driver Benefits Earn up to $100,000 per year Average Miles: 2300-2600 $0.57cpm - $0.75cpm …",Adzuna::API::Response::Job,2026-08-19T09:44:47Z,0.0,5848156624,https://www.adzuna.com/details/5848156624?utm_medium=api&utm_source=abfa41a4,0,-88.951566,100000.0,39.844018,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkFTU0M5V2I4Ukc1SnE4aFBKZkpqUSIsImkiOiI1ODQ4MTU2NjI0In0.PZY7eCc-00lyk4fTK_Xp_kAD6kumgWNucmHOfnwlt1Q,Regional Truck Driver Company - 6mo EXP Required - Reefer - $100k per year - Decker,Adzuna::API::Response::Location,"Decatur, Macon County","['US', 'Illinois', 'Macon County', 'Decatur']",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Decker,
