id,salary_max,salary_is_predicted,adref,longitude,title,description,created,contract_time,__CLASS__,salary_min,latitude,redirect_url,category.label,category.__CLASS__,category.tag,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,contract_type
5853641950,41862.19,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkR3Sy1mZWU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUzNjQxOTUwIn0.OmPEYTOjf7XDUqAJT4KRPZxlZf9KGwAyg3Kyb0vMdX8,-84.35578,Full Time - Fulfillment Associate - Day,"Key Responsibilities Pick, stage, inspect, and fulfill customer orders accurately and on time, keeping staging areas clean, organized, and safe. Deliver excellent service by choosing high quality items, validating orders, answering questions, and connecting customers with the right associates when needed. Operate and maintain certification for powered equipment (Forklift, Order Picker, Narrow Aisle Reach Truck) and follow all safety requirements. Support inventory accuracy by using the Orders A…",2026-08-23T09:29:18Z,full_time,Adzuna::API::Response::Job,41862.19,41.284493,https://www.adzuna.com/details/5853641950?utm_medium=api&utm_source=abfa41a4,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,"['US', 'Ohio', 'Defiance County', 'Defiance']",Adzuna::API::Response::Location,"Defiance, Defiance County",Lowe's Home Centers,Adzuna::API::Response::Company,
5853641933,21314.67,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTkzMyIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.B1lslhouX9xhmz4UHhMQ3ZlrngNdN3WpuG73GrmhHyw,-85.864941,Cook II Full Time Day Shift,"Summary Job Description: Cook II - Food Service Full-Time, First Shift Job Description: We are currently seeking a dedicated Cook to join our team at Baptist Health Hardin. In this role, you will be responsible for producing and preparing food for the cafeteria, catering, chef stations, and patient trayline/room service according to menus, recipes and portions appropriately adhering to Baptist Health brand culinary standards. Responsibilities: Prepares food products for patient meals, cafeteria…",2026-08-23T09:29:12Z,full_time,Adzuna::API::Response::Job,21314.67,37.703065,https://www.adzuna.com/details/5853641933?utm_medium=api&utm_source=abfa41a4,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs,"['US', 'Kentucky', 'Hardin County', 'Elizabethtown']",Adzuna::API::Response::Location,"Elizabethtown, Hardin County",Baptist Healthcare System,Adzuna::API::Response::Company,
5853641896,27765.33,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTg5NiIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.qfP-E-CGGfnPW8d5dlCvOo-7CTWCnoqJtaMSSwRoKM8,-80.204244,Customer Service Representative (Onsite),"Pay rate: $18/hr ($19/hr for bilingual Spanish/English candidates) Who we are: At InteLogix, we are passionate about empowering individuals and organizations to achieve their full potential. As a trusted leader in our industry, we are committed to providing innovative solutions and exceptional services that make a positive impact. We believe in the power of teamwork, integrity, and the commitment to excellence. Join us at InteLogix and be part of a dynamic organization that strives to create a …",2026-08-23T09:28:58Z,full_time,Adzuna::API::Response::Job,27765.33,36.105232,https://www.adzuna.com/details/5853641896?utm_medium=api&utm_source=abfa41a4,Customer Services Jobs,Adzuna::API::Response::Category,customer-services-jobs,"['US', 'North Carolina', 'Forsyth County', 'Winston Salem']",Adzuna::API::Response::Location,"Winston Salem, Forsyth County",InteLogix,Adzuna::API::Response::Company,
5853641891,426900.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTg5MSIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.527fAKzwNSvg1r1lg18mw-Ps_LGHyA5D6gRiH1rJkvg,,"VP, Customer Success, Agentforce and Data 360","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Customer Success Job Details About Salesforce Salesforce is the 1 AI CRM, where humans with agents drive customer success together. Here, ambition meets action. Tech meets trust. And innovation isn’t a buzzword — it’s a way of life. The world of work as we know it is changing and we're looking for Trailblazers who are passionate about b…",2026-08-23T09:28:57Z,full_time,Adzuna::API::Response::Job,266800.0,,https://www.adzuna.com/details/5853641891?utm_medium=api&utm_source=abfa41a4,Customer Services Jobs,Adzuna::API::Response::Category,customer-services-jobs,['US'],Adzuna::API::Response::Location,US,Salesforce,Adzuna::API::Response::Company,
5853641890,46611.0,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkR3Sy1mZWU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUzNjQxODkwIn0.fdbJ02dfuDAo6XZTb_nF8itBHRZTMYL1qR8z6GQKTAY,-84.502154,"Unarmed Security Guard - Cincinnati, OH (Part-Time/Seasonal)","Are you dedicated, observant, and passionate about ensuring safety and security? We are seeking a vigilant and reliable Unarmed Security Guard to join our dynamic team. In this role, you will play a crucial part in maintaining a safe and secure environment for our clients, employees, and visitors. Your keen attention to detail and proactive approach will help prevent incidents and address any concerns promptly. If you are committed to providing top-notch security services while maintaining a pr…",2026-08-23T09:28:57Z,part_time,Adzuna::API::Response::Job,46611.0,39.105431,https://www.adzuna.com/details/5853641890?utm_medium=api&utm_source=abfa41a4,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,"['US', 'Ohio', 'Hamilton County', 'Cincinnati']",Adzuna::API::Response::Location,"Cincinnati, Hamilton County",Sahara Global Security,Adzuna::API::Response::Company,
5853641888,90770.88,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZkR3Sy1mZWU4UkdTYjhWcERSRGlWQSIsImkiOiI1ODUzNjQxODg4In0.nTCr8tVXjMb4SM3PKWwB1VsyEWGfkh3lwtjLT9cBO1k,-83.649932,Quality Inspector - Nights,"Valgroup is hiring a Quality Inspector - Nights to support our manufacturing facility in Findlay, Ohio . We are one of the largest plastics producers and recyclers in the world. Our purpose is to improve quality of life with innovative and sustainable packaging solutions. Check out our amazing company values and dedication to our people at our website: valgroupco.com , or look for us on Facebook at Valgroup USA . What you will do: Nights 7:30pm-7:30am 2-2-3 (every other weekend off) Operate lab…",2026-08-23T09:28:56Z,,Adzuna::API::Response::Job,90770.88,41.04422,https://www.adzuna.com/details/5853641888?utm_medium=api&utm_source=abfa41a4,Scientific & QA Jobs,Adzuna::API::Response::Category,scientific-qa-jobs,"['US', 'Ohio', 'Hancock County', 'Findlay']",Adzuna::API::Response::Location,"Findlay, Hancock County",Valgroup,Adzuna::API::Response::Company,
5853641884,106110.17,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTg4NCIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.4NlCN7TPY-NM9ZBRFAl5JBh73gcewAfbLDhm8sN7W8Y,-84.388372,Project Manager III,"Description Department of Procurement Project Manager III Posting Expires: 9/4/2026 Salary Range: $80,594 - $100,000 annually Job Description The Project Manager III in the Department of Procurement is responsible for leading high-impact projects, ensuring strategic alignment, efficiency, and compliance in execution for matters of procurement. This role oversees project planning, resource allocation, risk management, and stakeholder engagement to drive successful outcomes. The Project Manager I…",2026-08-23T09:28:50Z,full_time,Adzuna::API::Response::Job,106110.17,33.755711,https://www.adzuna.com/details/5853641884?utm_medium=api&utm_source=abfa41a4,Consultancy Jobs,Adzuna::API::Response::Category,consultancy-jobs,"['US', 'Georgia', 'Fulton County', 'Atlanta']",Adzuna::API::Response::Location,"Atlanta, Fulton County",City of Atlanta,Adzuna::API::Response::Company,
5853641878,53951.18,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTg3OCIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.auMPxA9ENsaAyWSprdZKonK54z9HxFpLKucMbOHDo2U,-83.286833,Team Member Experience Manager,"Clayton is a leading single-family, values-driven home builder dedicated to attainable housing, sustainable practices and creating a world-class experience for customers and team members. Our company portfolio includes a broad offering of attainable housing, and as a vertically integrated home builder, we are uniquely positioned to serve customers through every stage of the homeownership journey – building, selling, financing, and insuring homes. From entry-level to more experienced positions, …",2026-08-23T09:28:49Z,full_time,Adzuna::API::Response::Job,53951.18,36.107594,https://www.adzuna.com/details/5853641878?utm_medium=api&utm_source=abfa41a4,HR & Recruitment Jobs,Adzuna::API::Response::Category,hr-jobs,"['US', 'Tennessee', 'Jefferson County', 'White Pine']",Adzuna::API::Response::Location,"White Pine, Jefferson County",Clayton Homes,Adzuna::API::Response::Company,
5853641871,47320.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTg3MSIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.oa01Pc5d43mJ7bbWL_PFZ7y2S7cgVF-9QaJ2Tts3FWA,-70.910789,2026-2027 SUBSTITUTE TEACHERS and ESP's (Paraprofessionals) NEEDED (Part-Time),"We are currently seeking candidates for the position of substitute teachers. A substitute teacher directs the learning of an entire class or group of students and plays a crucial role in maintaining the academic progress of the students enrolled in Middleborough Public Schools. Substitute placement is managed in the Middleborough Public School District by a web based software program, Substitute Online. To be a substitute for our district, you MUST have a working computer with internet access. …",2026-08-23T09:28:47Z,part_time,Adzuna::API::Response::Job,45500.0,41.892994,https://www.adzuna.com/details/5853641871?utm_medium=api&utm_source=abfa41a4,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,"['US', 'Massachusetts', 'Plymouth County', 'Middleborough']",Adzuna::API::Response::Location,"Middleborough, Plymouth County",Middleborough Public Schools,Adzuna::API::Response::Company,
5853641870,60498.05,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MzY0MTg3MCIsInMiOiJmRHdLLWZlZThSR1NiOFZwRFJEaVZBIn0.bKTKFvZE1RYfJIz9cRAulmgNDTMnufLLDumHwtdRPFI,-73.8849,Housing Case Manager - HPD,"Compensation Range: $24/hr - $31.25/hr commensurate with experience Benefits: We have three comprehensive healthcare plans to choose from based on your priorities and budget. Housing Works covers most of the plan; you pay a portion, based on your salary. Staff begins accruing PTO immediately for a total of up to 30 days earned in the first year. We offer employees an educational benefit. This money is available for tuition loan reimbursement, tuition costs, and text books. Overview: The Housing…",2026-08-23T09:28:47Z,full_time,Adzuna::API::Response::Job,60498.05,40.8112,https://www.adzuna.com/details/5853641870?utm_medium=api&utm_source=abfa41a4,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"['US', 'New York', 'New York City', 'Bronx', 'Longwood']",Adzuna::API::Response::Location,"Longwood, Bronx",Housing Works,Adzuna::API::Response::Company,
