created,redirect_url,title,salary_is_predicted,contract_time,salary_min,adref,description,salary_max,id,__CLASS__,company.display_name,company.__CLASS__,location.area,location.display_name,location.__CLASS__,category.label,category.__CLASS__,category.tag,latitude,longitude,contract_type
2026-08-26T09:48:13Z,https://www.adzuna.com/details/5856858684?utm_medium=api&utm_source=abfa41a4,Medical Laboratory Scientist - Special Functions,1,full_time,83922.12,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4Njg0In0.7CnwjJIuFDkSJN1kX86sfqhLnNvgfyuDEJYM2fsOx5Y,"Screen reader users may encounter difficulty with this site. For assistance with applying, please contact hr-accessibleapplication@osu.edu . If you have questions while submitting an application, please review these frequently asked questions . Current Employees and Students: If you are currently employed or enrolled as a student at The Ohio State University, please l og in to Workday to use the internal application process. Welcome to The Ohio State University's career site. We invite you to a…",83922.12,5856858684,Adzuna::API::Response::Job,The Ohio State University,Adzuna::API::Response::Company,['US'],US,Adzuna::API::Response::Location,Scientific & QA Jobs,Adzuna::API::Response::Category,scientific-qa-jobs,,,
2026-08-26T09:48:05Z,https://www.adzuna.com/land/ad/5856858671?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=A72E8F06DFB403407E56CA0342566F2383CEC9A0,"Educational Sign Language Interpreter - Tolleson, Arizona",1,,65998.88,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODY3MSIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.3nCUFdGvkWNjTBOgtCiaehfX3XbjS_Mt-jyZp0igdw4,"Job Description Job Description Exciting new opportunity for a skilled Sign Language Interpreter to support a high school student in a dynamic educational setting near Tolleson, AZ. This full-time contract role is ideal for someone passionate about fostering inclusive learning and making a difference in students' daily lives. You'll be working one-on-one with a student, ensuring clear and effective communication, and helping to create an accessible classroom environment. Key Qualifications: Val…",65998.88,5856858671,Adzuna::API::Response::Job,Soliant,Adzuna::API::Response::Company,"['US', 'Arizona', 'Maricopa County', 'Tolleson']","Tolleson, Maricopa County",Adzuna::API::Response::Location,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,33.450043,-112.259321,
2026-08-26T09:48:04Z,https://www.adzuna.com/land/ad/5856858670?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=86E94340EE21E83FB5376958C80A3CA414815C13,Low Voltage Technician,1,,45183.44,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjcwIn0.98xPzsBX3baC_vdeAt5aPHr6RtRtEl30opKvmpQ44cM,"Job Description Job Description Job Title: Low Voltage Technician Job Description This role supports commercial low voltage projects across multiple facilities in the Cleveland area. You will assist with installing and terminating low voltage cabling, including CAT6, and help complete structured cabling work in active construction environments. This is a short-term assignment expected to last at least one month, with the possibility of additional work depending on project needs. Responsibilitie…",45183.44,5856858670,Adzuna::API::Response::Job,Aerotek,Adzuna::API::Response::Company,"['US', 'Ohio', 'Cuyahoga County', 'Cleveland']","Cleveland, Cuyahoga County",Adzuna::API::Response::Location,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,,,
2026-08-26T09:48:04Z,https://www.adzuna.com/land/ad/5856858669?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=A70BD16E128F606D10C652CD8A32338B6781DE9C,"Travel IMC RN in Oklahoma City, Oklahoma",1,,24543.87,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODY2OSIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.3-VFmup3OzQeV1zRWi0WBG4PT2Jki6t8LHUCOCCKkmI,"Job Description Job Description Responsibilities Intermediate Care Unit RNs (IMCU RNs) treat patients who are suffering from serious conditions, such as diabetes mellitus, electrolyte imbalances, renal failure, liver failure, gastrointestinal bleeds, blood disorders, cancer, sepsis, respiratory distress or multi-system organ failure. IMCU RN job responsibilities include, but are not limited to: Assess each patient’s needs individually and collect relevant data, such as temperature, blood pressu…",24543.87,5856858669,Adzuna::API::Response::Job,Gifted Healthcare,Adzuna::API::Response::Company,"['US', 'Indiana', 'Lawrence County', 'Guthrie']","Guthrie, Lawrence County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,38.79439,-86.327535,
2026-08-26T09:48:01Z,https://www.adzuna.com/land/ad/5856858663?se=yHlkaVah8RGZzYEQhDc4LA&utm_medium=api&utm_source=abfa41a4&v=33AAAD6B0950F21025E6116A5EBD4E3E71500122,"Travel MedSurg RN in Edmond, Oklahoma",1,,20638.64,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjYzIn0.vZ7mO217xPQK_wcDyXEzj04WqR__R_EnGVy4ITexHI0,"Job Description Job Description Responsibilities MedSurg RNs provide bedside care for a variety of patients and execute individualized patient assessments to create an individualized plan of care. MedSurg RNs prepare equipment and assist physicians during examination and treatment of patients. MedSurg RN job responsibilities include, but are not limited to: MedSurg RNs prepare, administer, and record prescribed medications Initiate alternative action when adverse symptomology is displayed Chang…",20638.64,5856858663,Adzuna::API::Response::Job,Gifted Healthcare,Adzuna::API::Response::Company,"['US', 'Oklahoma', 'Oklahoma County', 'Oklahoma City']","Oklahoma City, Oklahoma County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,35.4678,-97.5164,
2026-08-26T09:47:58Z,https://www.adzuna.com/details/5856858660?utm_medium=api&utm_source=abfa41a4,RN - OB,1,part_time,41599.25,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjYwIn0.oulbGZmZwVrKz_mFWOGBg5jsk1plFlvYtPkomc2W87I,"GetMed Staffing is searching for a strong OB RN to assist our traveler-friendly client. A minimum of 1-2 years of experience is required. Traveling with GetMed Staffing offers the unique opportunity to gain diverse experiences, both personally and professionally. Gain experience that matters.",41599.25,5856858660,Adzuna::API::Response::Job,Adventist Health and Rideout,Adzuna::API::Response::Company,"['US', 'California', 'Yuba County', 'Linda']","Linda, Yuba County",Adzuna::API::Response::Location,Legal Jobs,Adzuna::API::Response::Category,legal-jobs,39.16091,-121.546747,
2026-08-26T09:47:57Z,https://www.adzuna.com/details/5856858653?utm_medium=api&utm_source=abfa41a4,Senior Mechanical Engineer (Medical),1,full_time,96460.94,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODY1MyIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.dBcDd9GJaLGKRL9Gn0akDJpjbu-AmwiDvgGlXkcJO2Y,"We're looking for a Senior Mechanical Engineer for Midjourney Medical — from precision electromechanical assemblies up to the large-scale structures and mechanisms that hold everything together and make it move. This role spans the full range of scale: one week you might be refining a compact transducer mount, the next you're architecting a structural frame or designing the motion system that positions hardware within it. This is a hands-on role on a small cross-functional team. You'll take pro…",96460.94,5856858653,Adzuna::API::Response::Job,Midjourney,Adzuna::API::Response::Company,"['US', 'California', 'San Francisco']","San Francisco, California",Adzuna::API::Response::Location,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,37.798085,-122.466538,
2026-08-26T09:47:56Z,https://www.adzuna.com/details/5856858649?utm_medium=api&utm_source=abfa41a4,Care Manager,1,full_time,63999.86,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUhsa2FWYWg4UkdaellFUWhEYzRMQSIsImkiOiI1ODU2ODU4NjQ5In0.61FNg_I_gGd2yXWSAzAo8PhuYaqN6hoHg2kuz1Z0Yfg,"Case Manager/Care Manager Full-Time (FT)-$8,000 Sign-On Bonus! Sign-on bonus offered and a great work-life balance! Community Care is hiring a Case Manager/Care Manager Day Shift for our Family Care Program in Milwaukee, WI. Offering an $8,000 sign-on bonus! This is a Monday through Friday position, 8:00 a.m. to 4:30 p.m.This rewarding opportunity is perfect for someone who enjoys team collaboration, community nursing case management, being part of a mission driven organization and who shares o…",63999.86,5856858649,Adzuna::API::Response::Job,Community Care,Adzuna::API::Response::Company,"['US', 'Wisconsin', 'Milwaukee County', 'Milwaukee']","Milwaukee, Milwaukee County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,43.043978,-87.899151,
2026-08-26T09:47:55Z,https://www.adzuna.com/details/5856858641?utm_medium=api&utm_source=abfa41a4,Engineering Intern,1,full_time,48683.88,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODY0MSIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0._uF4Sdtza7Y3AsSm5QBzesEYkV2DF9rnYLewjQkg3Ps,"Description About Us Coleman Company, Inc. is a multidisciplinary civil engineering, planning, landscape architecture, and land surveying firm based in Savannah, GA. We deliver municipal, residential, commercial, and industrial development projects across the Southeast, known for our technical precision, responsive service, and collaborative approach. Coleman has been recognized as one of Zweig Group's Best Firms to Work For and was recently named the Georgia Society of Professional Engineers' …",48683.88,5856858641,Adzuna::API::Response::Job,Coleman Company,Adzuna::API::Response::Company,"['US', 'Georgia', 'Chatham County', 'Garden']","Garden, Chatham County",Adzuna::API::Response::Location,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,32.0403,-81.1617,contract
2026-08-26T09:47:55Z,https://www.adzuna.com/details/5856858642?utm_medium=api&utm_source=abfa41a4,Outpatient Registered Nurse - RN - Dialysis,1,full_time,60568.02,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1Njg1ODY0MiIsInMiOiJ5SGxrYVZhaDhSR1p6WUVRaERjNExBIn0.ypKba8ui9GrGC_EGoVLNqYwAd-VWviwezQtRiEcMqGc,"PURPOSE AND SCOPE: The professional registered nurse Outpatient RN CAP 1 is an entry level designation into the Clinical Advancement Program (CAP). This position is accountable and responsible for the provision and coordination of clinically competent care including assessment, planning, intervention and evaluation for an assigned group of patients. This may include delegation of appropriate tasks to direct patient care staff including but not limited to RNs, LVN/LPNs and Patient Care Technicia…",60568.02,5856858642,Adzuna::API::Response::Job,Fresenius Medical Care,Adzuna::API::Response::Company,"['US', 'Georgia', 'Cobb County', 'Marietta']","Marietta, Cobb County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,33.895519,-84.590337,
