longitude,__CLASS__,redirect_url,salary_min,description,adref,created,title,salary_max,salary_is_predicted,id,latitude,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,location.display_name,location.area,location.__CLASS__,contract_time,contract_type
-76.207353,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302046?utm_medium=api&utm_source=abfa41a4,65423.22,"Financial Analyst II Location: Norfolk, VA supporting (U.S. Fleet Force Headquarter (USFF), Yorktown, SUBTORPFAC Yorktown, Earle, Charleston, New London, Rota, Souda Bay, and Aegis Ashore) and 4 TYCOMs (CSL, MSC, CNSL, CNAF). On-Site Requirements: 2-3 times per week at client site in Norfolk, VA with additional visits to NMCLANT HQ in Yorktown, VA as needed. Travel Requirements : May require up to 25-30% travel to support site visits as needed. Position Descriptions: Financial Audit and/or inte…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDQ2In0.ZP2AG7JYr0tQlHSWZ_wM_Xftq27uB2pch8A2WmOyzk4,2026-08-28T18:50:44Z,Financial Analyst,65423.22,1,5860302046,36.857487,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,"Infopact, Inc.",Adzuna::API::Response::Company,"Norfolk, Norfolk City","['US', 'Virginia', 'Norfolk City', 'Norfolk']",Adzuna::API::Response::Location,,
-117.907324,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302045?utm_medium=api&utm_source=abfa41a4,41997.43,"We are seeking compassionate and dependable Caregivers to provide 2:1 support for an adult female in her home. This is a rewarding opportunity to provide personalized support while promoting independence, dignity, and participation in daily activities. Responsibilities: Provide one-on-one support as part of a 2:1 care team. Assist with daily living activities, routines, and ADLs as needed. Support mobility and medication routines as needed. Assist with meal preparation and light household tasks…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjA0NSIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.j3R46K19kGWNjfuPlr60nB7jkIEer4VpGFDqXrpmyFM,2026-08-28T18:50:38Z,Caregiver Sat Sun 2-10PM,41997.43,1,5860302045,33.683414,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,ALLCARE HOMECARE LLC,Adzuna::API::Response::Company,"Costa Mesa, Orange County","['US', 'California', 'Orange County', 'Costa Mesa']",Adzuna::API::Response::Location,,
-77.059325,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302044?utm_medium=api&utm_source=abfa41a4,67562.2,"Experienced Residential HVAC Tech with boiler experience? Build Your Career with a Company That Invests in You. For more than 120 years, John C. Flood has been one of the most trusted names in home services across Northern Virginia, Maryland, and Washington, D.C. Our reputation has been built by exceptional people who take pride in their craft, put customers first, and want to be part of something bigger than themselves. We’re looking for a skilled Residential HVAC Service Technician with boile…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDQ0In0.EajfAFzk7TTI0Rr4feUnqY9s2IHFW7QAyPQ_cgp6JT4,2026-08-28T18:50:34Z,Residential HVAC Service Technician - Boiler Experience,67562.2,1,5860302044,38.818947,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,John C Flood,Adzuna::API::Response::Company,"Alexandria, Alexandria City","['US', 'Virginia', 'Alexandria City', 'Alexandria']",Adzuna::API::Response::Location,,
-96.789803,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302042?utm_medium=api&utm_source=abfa41a4,30525.97,"Nurse Manager (RN) – Memory Care Unit SMP Health – St. Catherine North | Fargo, ND St. Catherine is seeking a compassionate and experienced Registered Nurse (RN) Nurse Manager to lead our Memory Care Unit at St. Catherine North . This leadership role is ideal for a nurse who has a passion for caring for individuals living with dementia and other memory-related conditions and is committed to creating a meaningful, person-centered environment for residents. As the Nurse Manager, you will provide …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjA0MiIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.xCVazyUmycB5z11rs_32zaJ_p6rkI8gT9WBUBATepqA,2026-08-28T18:50:30Z,Nurse Manager (RN) | Memory Care Unit,30525.97,1,5860302042,46.877186,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,SMP Health - St. Catherine,Adzuna::API::Response::Company,"Fargo, Cass County","['US', 'North Dakota', 'Cass County', 'Fargo']",Adzuna::API::Response::Location,full_time,
-91.568476,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302040?utm_medium=api&utm_source=abfa41a4,83309.87,"About Houston-Galveston Area Council The Houston-Galveston Area Council is one of the largest regional planning commissions in the country with a diverse service area of 13 counties and more than 7 million people. We are the pulse of our region addressing issues that cross city limits and county lines every single day. We make decisions that affect our transportation system, ensure the safety and well-being of our seniors, connect people to jobs, help families recover from natural disasters, pr…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjA0MCIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.g0qK_GTLLCAWdhg_Z85dwzGVM-0FqdmVlFURH8U3uJQ,2026-08-28T18:50:27Z,Manager – Early Child Care Scholarships,83309.87,1,5860302040,43.7633,Legal Jobs,legal-jobs,Adzuna::API::Response::Category,Houston-Galveston Area Council,Adzuna::API::Response::Company,"Houston, Houston County","['US', 'Minnesota', 'Houston County', 'Houston']",Adzuna::API::Response::Location,,
,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302038?utm_medium=api&utm_source=abfa41a4,302667.16,"Lumenci is hiring a Director of Patent Litigation Consulting in Los Angeles to lead our high-tech intellectual property practice on the West Coast. This is a people-management and delivery-leadership role: you will manage a team of technical consultants and IP experts, own program and project delivery across concurrent patent litigation and licensing matters, and set the quality standards behind our technical work product, including claim charts, source code review, reverse engineering, patent …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDM4In0.ycS32OcGKGglIFr1FP99_NulE2vDFHkiyFxOPNyAPJE,2026-08-28T18:50:22Z,"Director, Patent Litigation Consulting (High-Tech IP)",302667.16,1,5860302038,,IT Jobs,it-jobs,Adzuna::API::Response::Category,Lumenci,Adzuna::API::Response::Company,"Los Angeles, Los Angeles County","['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,full_time,
-122.466538,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302039?utm_medium=api&utm_source=abfa41a4,324597.44,"Lumenci is hiring a Director of Patent Litigation Consulting in the San Francisco Bay Area to lead our high-tech intellectual property practice on the West Coast. This is a people-management and delivery-leadership role: you will manage a team of technical consultants and IP experts, own program and project delivery across concurrent patent litigation and licensing matters, and set the quality standards behind our technical work product, including claim charts, source code review, reverse engin…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDM5In0.nFLTxMf3hGpWSz2GVjaPvnNppI-oU6C6MjbP-UcXKmo,2026-08-28T18:50:22Z,"Director, Patent Litigation Consulting (High-Tech IP)",324597.44,1,5860302039,37.798085,IT Jobs,it-jobs,Adzuna::API::Response::Category,Lumenci,Adzuna::API::Response::Company,"San Francisco, California","['US', 'California', 'San Francisco']",Adzuna::API::Response::Location,full_time,
-75.370458,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302035?utm_medium=api&utm_source=abfa41a4,20853.68,"Bethlehem, PA $15/hour | Flexible Scheduling | No Experience Required Looking for meaningful work that fits your schedule? Independent Home Health is hiring dependable, compassionate Caregivers to provide one-on-one, non-medical care to individuals in their homes throughout Bethlehem and surrounding areas. You'll have the opportunity to build a relationship with the person you're supporting and help them remain safe, comfortable and independent at home. No professional caregiving experience? Th…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjAzNSIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.WZmrt8FYfX8MzU7_RGt1ilimuU1ANApKoqiLT6CBF-U,2026-08-28T18:50:21Z,Caregiver,20853.68,1,5860302035,40.625932,Social work Jobs,social-work-jobs,Adzuna::API::Response::Category,Independent Home Health,Adzuna::API::Response::Company,"Bethlehem, Northampton County","['US', 'Pennsylvania', 'Northampton County', 'Bethlehem']",Adzuna::API::Response::Location,part_time,
-76.79441,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302036?utm_medium=api&utm_source=abfa41a4,22539.65,"Sunbury, PA $15/hour | Flexible Scheduling | No Experience Required Looking for meaningful work that fits your schedule? Independent Home Health is hiring dependable, compassionate Caregivers to provide one-on-one, non-medical care to individuals in their homes throughout Sunbury and surrounding areas. You'll have the opportunity to build a relationship with the person you're supporting and help them remain safe, comfortable and independent at home. No professional caregiving experience? That's…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDM2In0.mxEUxfX_Reepwmz_qSuMgdsqHK5mA8EA_TTyQHJkfOE,2026-08-28T18:50:21Z,Caregiver,22539.65,1,5860302036,40.862585,Social work Jobs,social-work-jobs,Adzuna::API::Response::Category,Independent Home Health,Adzuna::API::Response::Company,"Sunbury, Northumberland County","['US', 'Pennsylvania', 'Northumberland County', 'Sunbury']",Adzuna::API::Response::Location,part_time,
-76.454946,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302034?utm_medium=api&utm_source=abfa41a4,27760.73,"Bloomsburg, PA $15/hour | Flexible Scheduling | No Experience Required Looking for meaningful work that fits your schedule? Independent Home Health is hiring dependable, compassionate Caregivers to provide one-on-one, non-medical care to individuals in their homes throughout Bloomsburg and surrounding areas. You'll have the opportunity to build a relationship with the person you're supporting and help them remain safe, comfortable and independent at home. No professional caregiving experience? …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDM0In0.jYqj7Q6kemJRMfOaPgUnta2T0TW_2Ry2Of15wR9-a1Y,2026-08-28T18:50:21Z,Caregiver,27760.73,1,5860302034,41.003698,Social work Jobs,social-work-jobs,Adzuna::API::Response::Category,Independent Home Health,Adzuna::API::Response::Company,"Bloomsburg, Columbia County","['US', 'Pennsylvania', 'Columbia County', 'Bloomsburg']",Adzuna::API::Response::Location,part_time,
-75.470885,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302033?utm_medium=api&utm_source=abfa41a4,19308.64,"Allentown, PA $15/hour | Flexible Scheduling | No Experience Required Looking for meaningful work that fits your schedule? Independent Home Health is hiring dependable, compassionate Caregivers to provide one-on-one, non-medical care to individuals in their homes throughout Allentown and surrounding areas. You'll have the opportunity to build a relationship with the person you're supporting and help them remain safe, comfortable and independent at home. No professional caregiving experience? Th…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjAzMyIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.NZZUlt_4pbjFPswLpjxuU5F0I9w-iDVD6ytP9BDVxq4,2026-08-28T18:50:21Z,Caregiver,19308.64,1,5860302033,40.602718,Social work Jobs,social-work-jobs,Adzuna::API::Response::Category,Independent Home Health,Adzuna::API::Response::Company,"Allentown, Lehigh County","['US', 'Pennsylvania', 'Lehigh County', 'Allentown']",Adzuna::API::Response::Location,part_time,
,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302008?utm_medium=api&utm_source=abfa41a4,99598.04,"Job description: Are you a Nurse Practitioner or PA looking to join a fast-growing team making a difference in the way patients' wounds are being healed? If so, West Coast Wound is the right place to be! West Coast Wound & Skin Care is a full-service mobile wound care company that delivers quality services/treatments to patients in the comfort of their own home. We are a fast-growing organization and our mission is to provide high-quality care, treating the whole patient's health, not just the …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDA4In0.RemBuvRJamvfufmZ-PKSfWd6KiTCMcbChT-GzgHs5oc,2026-08-28T18:49:57Z,Nurse Practitioner / Physician Assistant,99598.04,1,5860302008,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,US,['US'],Adzuna::API::Response::Location,full_time,
-108.218686,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860301986?utm_medium=api&utm_source=abfa41a4,127055.4,"Job description: West Coast Wound & Skin Care is seeking a Business Development Representative for Farmington, NM. This is a field sales position, not remote. Who we Are: Since 2015 West Coast Wound and Skin Care has become one of the nation’s leading providers of advanced mobile wound care. We follow a simple goal to provide the highest level of clinical care at the lowest possible cost. We do this within a customer service focused model designed to meet the needs of patients, families, and ou…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAxOTg2In0.V8Rp666_WpRiavmFFRmKvnkU-X7nud6-kvIm_2pYWYU,2026-08-28T18:49:57Z,Business Development Representative,127055.4,1,5860301986,36.728058,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Farmington, San Juan County","['US', 'New Mexico', 'San Juan County', 'Farmington']",Adzuna::API::Response::Location,full_time,
-110.971527,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302001?utm_medium=api&utm_source=abfa41a4,99760.98,"Job description: Are you a Nurse Practitioner or PA looking to join a fast-growing team making a difference in the way patients' wounds are being healed? If so, West Coast Wound is the right place to be! West Coast Wound & Skin Care is a full-service mobile wound care company that delivers quality services/treatments to patients in the comfort of their own home. We are a fast-growing organization and our mission is to provide high-quality care, treating the whole patient's health, not just the …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDAxIn0.g5e_zU-aGB1yeYB6uMq0V9xWyMn9F8gusFhT7lJWqwU,2026-08-28T18:49:57Z,Nurse Practitioner / Physician Assistant,99760.98,1,5860302001,32.214792,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Tucson, Pima County","['US', 'Arizona', 'Pima County', 'Tucson']",Adzuna::API::Response::Location,full_time,
-96.767002,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302002?utm_medium=api&utm_source=abfa41a4,67663.69,"West Coast Wound and Skin Care is seeking a dedicated and reliable Medical Assistant to join our field-based wound care team. This role involves traveling to patient homes to deliver hands-on clinical support under the direction of our supervising providers. The ideal candidate is self-motivated, clinically competent, and passionate about delivering high-quality patient care in a mobile setting. Essential Job Functions Perform delegated clinical tasks and patient care duties in a field-based se…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjAwMiIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.JAyTEK9xz6uLEZsYGx1kykeBAEI15a6FpbJJ9mjPRWs,2026-08-28T18:49:57Z,Medical Assistant – Wound Care,67663.69,1,5860302002,32.798895,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Dallas, Texas","['US', 'Texas', 'Dallas']",Adzuna::API::Response::Location,full_time,
,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860301998?utm_medium=api&utm_source=abfa41a4,69304.62,"West Coast Wound and Skin Care is seeking a dedicated and reliable Medical Assistant to join our field-based wound care team. This role involves traveling to patient homes to deliver hands-on clinical support under the direction of our supervising providers. The ideal candidate is self-motivated, clinically competent, and passionate about delivering high-quality patient care in a mobile setting. Essential Job Functions Perform delegated clinical tasks and patient care duties in a field-based se…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAxOTk4In0.76edOwVS9KHI96MvBcZlPuNzRX-yyjoGLGQSb_SdgyQ,2026-08-28T18:49:57Z,Medical Assistant – Wound Care,69304.62,1,5860301998,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Los Angeles, Los Angeles County","['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,full_time,
-118.399869,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302017?utm_medium=api&utm_source=abfa41a4,137847.64,"Job description: Are you a Nurse Practitioner or PA looking to join a fast-growing team making a difference in the way patients' wounds are being healed? If so, West Coast Wound is the right place to be! West Coast Wound & Skin Care is a full-service mobile wound care company that delivers quality services/treatments to patients in the comfort of their own home. We are a fast-growing organization and our mission is to provide high-quality care, treating the whole patient's health, not just the …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDE3In0.FxTwJWc1xORuLl5FGTow9Vk6uGl77gwJ426BV0CfoyE,2026-08-28T18:49:57Z,Nurse Practitioner / Physician Assistant (FT or PT),137847.64,1,5860302017,33.995436,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Culver City, Los Angeles County","['US', 'California', 'Los Angeles County', 'Culver City']",Adzuna::API::Response::Location,,
,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860301999?utm_medium=api&utm_source=abfa41a4,67187.73,"West Coast Wound and Skin Care is seeking a dedicated and reliable Medical Assistant to join our field-based wound care team. This role involves traveling to patient homes to deliver hands-on clinical support under the direction of our supervising providers. The ideal candidate is self-motivated, clinically competent, and passionate about delivering high-quality patient care in a mobile setting. Essential Job Functions Perform delegated clinical tasks and patient care duties in a field-based se…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAxOTk5In0.XUktTiCDQnY5ULR1Em_uJfYVPJ1wdJm-mmLJR9BH2gk,2026-08-28T18:49:57Z,Medical Assistant – Wound Care,67187.73,1,5860301999,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,US,['US'],Adzuna::API::Response::Location,full_time,
-104.99,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302025?utm_medium=api&utm_source=abfa41a4,310544.9,"Job description: West Coast Wound and Skin Care is looking to hire a US Tech to be out in the field! Must be willing to drive within Denver area. US Tech is responsible for performing ultrasound to patients in their respective homes 1 day a week, as well as materials management, scribing, and performing chart checks. Responsible for obtaining data/metrics to facilitate our financial analysis of hiring for expansion and growth. Essential Job Functions · Operating equipment · Perform ultrasound o…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDI1In0.5W_Z6NizeXAtYm0s_yOF5QPVRf3zr5vqXsXriyJWG9k,2026-08-28T18:49:57Z,Ultrasound Technician,310544.9,1,5860302025,39.75,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Denver, Colorado","['US', 'Colorado', 'Denver']",Adzuna::API::Response::Location,part_time,
-97.725136,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302024?utm_medium=api&utm_source=abfa41a4,287292.56,"Job description: West Coast Wound and Skin Care is looking to hire a US Tech to be out in the field! Must be willing to drive within Killeen area US Tech is responsible for performing ultrasound to patients in their respective homes 1 day a week, as well as materials management, scribing, and performing chart checks. Responsible for obtaining data/metrics to facilitate our financial analysis of hiring for expansion and growth. Essential Job Functions · Operating equipment · Perform ultrasound o…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MDMwMjAyNCIsInMiOiJ5dG96VFRTajhSR3hTZjFpR1hLb1FBIn0.U1MMJFhewJTcQLnj_dsspaOsz3UF3C9S7uc2ZVyL58M,2026-08-28T18:49:57Z,Ultrasound Technician,287292.56,1,5860302024,31.119492,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"Killeen, Bell County","['US', 'Texas', 'Bell County', 'Killeen']",Adzuna::API::Response::Location,part_time,
-118.347666,Adzuna::API::Response::Job,https://www.adzuna.com/details/5860302004?utm_medium=api&utm_source=abfa41a4,69775.82,"West Coast Wound and Skin Care is seeking a dedicated and reliable Medical Assistant to join our field-based wound care team. This role involves traveling to patient homes to deliver hands-on clinical support under the direction of our supervising providers. The ideal candidate is self-motivated, clinically competent, and passionate about delivering high-quality patient care in a mobile setting. Essential Job Functions Perform delegated clinical tasks and patient care duties in a field-based se…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXRvelRUU2o4Ukd4U2YxaUdYS29RQSIsImkiOiI1ODYwMzAyMDA0In0.Zizy5Q0KU33dAGW8uPKqD1evEMs4jiRu4CDJQc7AGCs,2026-08-28T18:49:57Z,Medical Assistant – Wound Care,69775.82,1,5860302004,34.083445,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,West Coast Wound,Adzuna::API::Response::Company,"West Hollywood, Los Angeles County","['US', 'California', 'Los Angeles County', 'West Hollywood']",Adzuna::API::Response::Location,full_time,
