adref,description,salary_is_predicted,__CLASS__,longitude,salary_max,salary_min,redirect_url,created,latitude,title,contract_type,id,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3Mjc2In0.H3yDciqBEskk-yIuYNFuppKjZYOCucBLrg2Xvn5HNbA,"LRS Consulting Services is seeking an AI/ML Platform Architect for an exciting contract to hire opportunity with our client. Lead the design, architecture, and implementation of an AI/ML platform, services, and solutions. This role will shape the intelligence layer of our Unified Security Posture Management (USPM) platform, driving innovation in AI, machine learning, and automation to deliver actionable business outcomes. You will partner with Product, Engineering, Customer Success, Marketing, …",1,Adzuna::API::Response::Job,-71.05,231011.23,231011.23,https://www.adzuna.com/land/ad/5862367276?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=3E06AD751586C61D46F9155FEBF1DA90F71F57C2,2026-08-30T13:18:55Z,42.34,AI/ML Platform Architect - Remote,contract,5862367276,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"South Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjYzIn0.NqtREDEMbaUMCT3e6oHrMYusDS5ooGx14EseRZ5c14c,"The (Senior) Sales Executive, Construction, will be an experienced and consultative sales professional, responsible for growing the Construction vertical, achieving annual sales targets, and implementing the strategic and tactical initiatives of the company. They will have a deep knowledge of the Construction vertical. In addition, this individual will leverage industry knowledge to offer advice and perspective to prospective clients during the sales process. The candidate should have prior exp…",1,Adzuna::API::Response::Job,-87.8849,294681.34,294681.34,https://www.adzuna.com/land/ad/5862367263?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=E16CAD90DEEE7F91C192714C835EC4BD52104761,2026-08-30T13:18:28Z,41.9613,(Senior) Sales Executive - Construction,,5862367263,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Origami Risk,Adzuna::API::Response::Company,"Schiller Park, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjY4In0.vz1KP-90usVPZ1-hb1dWqY82ZbLDtu6kwDq_IvxsHDw,"LRS Consulting Services is seeking an AI/ML Platform Architect for an exciting contract to hire opportunity with our client. Lead the design, architecture, and implementation of an AI/ML platform, services, and solutions. This role will shape the intelligence layer of our Unified Security Posture Management (USPM) platform, driving innovation in AI, machine learning, and automation to deliver actionable business outcomes. You will partner with Product, Engineering, Customer Success, Marketing, …",1,Adzuna::API::Response::Job,,195729.02,195729.02,https://www.adzuna.com/land/ad/5862367268?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=48BCE07994FA10F08048C6C574C640DC07AFA556,2026-08-30T13:18:28Z,,AI/ML Platform Architect - Remote,contract,5862367268,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Washington, Washington, D.C.",Adzuna::API::Response::Location,"['US', 'Washington, D.C.', 'Washington']",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjYwIn0.2pNkAZuvG7ksVatqTkcryf_eQaUMvmcKWZvHqJfSd3Y,"Passion, excitement & global collaboration are all core to what it means to be a FlyMate. At Flywire, we’re on a mission to deliver the world’s most important and complex payments. We use our Flywire Advantage - the combination of our next-gen payments platform, proprietary payment network and vertical specific software, to help our clients get paid, and help their customers pay with ease - no matter where they are in the world. What more do we need to truly be unstoppable? Perhaps, that is you…",1,Adzuna::API::Response::Job,-122.4183,135034.8,135034.8,https://www.adzuna.com/land/ad/5862367260?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=9F6525734C9F7182BA6362172A5048639D7D53C5,2026-08-30T13:18:28Z,37.775,FP&A Manager - Revenue Forecasting & Predictive Modeling,,5862367260,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Flywire,Adzuna::API::Response::Company,"Hayes Valley, San Francisco",Adzuna::API::Response::Location,"['US', 'California', 'San Francisco', 'Hayes Valley']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI1OCIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.ChLOAU6TJFpOTBdBgU9rLb0gbM2QJNTDNOQvpWIxEN4,"Passion, excitement & global collaboration are all core to what it means to be a FlyMate. At Flywire, we’re on a mission to deliver the world’s most important and complex payments. We use our Flywire Advantage - the combination of our next-gen payments platform, proprietary payment network and vertical specific software, to help our clients get paid, and help their customers pay with ease - no matter where they are in the world. What more do we need to truly be unstoppable? Perhaps, that is you…",1,Adzuna::API::Response::Job,-71.05,124576.3,124576.3,https://www.adzuna.com/land/ad/5862367258?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=5D48B4959FCE482156D2A2E0F2B2206A0BD64287,2026-08-30T13:18:28Z,42.34,Senior Business Intelligence Analyst,,5862367258,it-jobs,Adzuna::API::Response::Category,IT Jobs,Flywire,Adzuna::API::Response::Company,"South Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI2NiIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.HE2pRAM94ESLLSsMlOgzTD-VW-gNuh4nUkSdlEv4Jo4,"Codeworks, an LRS company, is seeking a Senior Software Engineer for a direct‑hire, fully remote opportunity supporting one of our client partners. This role offers the opportunity to contribute to the development of modern, cloud‑based SaaS solutions within a collaborative and distributed engineering team. Our client is seeking a Senior Software Engineer to support the development of modern, cloud‑based SaaS applications for a technology‑focused financial software client. This is a full‑time, …",1,Adzuna::API::Response::Job,-97.865683,186310.33,186310.33,https://www.adzuna.com/land/ad/5862367266?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=1DC77E876B10328CBC2A68B5AE8675205703994E,2026-08-30T13:18:28Z,30.320233,Senior Software Engineer - Remote,,5862367266,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",full_time
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjM2NzI1NyIsInMiOiJZSUVXRUplazhSR3BKYVlxeTVzVmxBIn0.8uJFfRIM9S0BdfHTdPrwNCbEJlAtWQxDlxZmS5PMDfc,"LRS Consulting Services is seeking a Business Data Analyst for a contract opportunity with our client in Fort Worth, TX. This position is dedicated to supporting reporting and analytics needs. The role enables enterprise decision-making by partnering with business leaders to identify analytics and reporting requirements, develop data products and reporting solutions, and deliver actionable insights. It also supports the advancement of analytics capabilities while ensuring alignment with enterpr…",1,Adzuna::API::Response::Job,,104420.27,104420.27,https://www.adzuna.com/land/ad/5862367257?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=45E327623AFF20DE2632B0E40E56C58D5E17F7FF,2026-08-30T13:18:28Z,,Business Data Analyst,contract,5862367257,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,US,Adzuna::API::Response::Location,['US'],full_time
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjQ2In0.PUE7FbqFlgESgQGpCghZW_D2u6-CwMAC3EqQOtbkYoU,"LRS Consulting Services is seeking an AI/ML Platform Architect for an exciting contract to hire opportunity with our client. Lead the design, architecture, and implementation of an AI/ML platform, services, and solutions. This role will shape the intelligence layer of our Unified Security Posture Management (USPM) platform, driving innovation in AI, machine learning, and automation to deliver actionable business outcomes. You will partner with Product, Engineering, Customer Success, Marketing, …",1,Adzuna::API::Response::Job,-97.865683,188453.47,188453.47,https://www.adzuna.com/land/ad/5862367246?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=2E108617ECDDDE652230946D64158B173D111622,2026-08-30T13:17:38Z,30.320233,AI/ML Platform Architect - Remote,contract,5862367246,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjU1In0.nRui8PvxblzY26To8HPpOiLCFdR7QtWGyOyJ5xC02H8,"LRS Consulting Services is seeking an AI/ML Platform Architect for an exciting contract to hire opportunity with our client. Lead the design, architecture, and implementation of an AI/ML platform, services, and solutions. This role will shape the intelligence layer of our Unified Security Posture Management (USPM) platform, driving innovation in AI, machine learning, and automation to deliver actionable business outcomes. You will partner with Product, Engineering, Customer Success, Marketing, …",1,Adzuna::API::Response::Job,-75.1277,247300.33,247300.33,https://www.adzuna.com/land/ad/5862367255?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=F8A2D3F21998D5ACDBB617CBB8B3D593CA5CF55A,2026-08-30T13:17:38Z,40.0758,AI/ML Platform Architect - Remote,contract,5862367255,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Elkins Park, Montgomery County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Montgomery County', 'Elkins Park']",
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUlFV0VKZWs4UkdwSmFZcXk1c1ZsQSIsImkiOiI1ODYyMzY3MjQ3In0.9_v_iW7hdihj1LxzIeq9_UIQgomerXObdl9tMvwrcAQ,"Codeworks, an LRS company, is seeking a Senior Software Engineer for a direct‑hire, fully remote opportunity supporting one of our client partners. This role offers the opportunity to contribute to the development of modern, cloud‑based SaaS solutions within a collaborative and distributed engineering team. Our client is seeking a Senior Software Engineer to support the development of modern, cloud‑based SaaS applications for a technology‑focused financial software client. This is a full‑time, …",1,Adzuna::API::Response::Job,-87.8849,215335.19,215335.19,https://www.adzuna.com/land/ad/5862367247?se=YIEWEJek8RGpJaYqy5sVlA&utm_medium=api&utm_source=abfa41a4&v=E40F2564F5F00088610D876E11EEAED808508970,2026-08-30T13:17:38Z,41.9613,Senior Software Engineer - Remote,,5862367247,it-jobs,Adzuna::API::Response::Category,IT Jobs,"Levi, Ray & Shoup",Adzuna::API::Response::Company,"Schiller Park, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']",full_time
