title,salary_max,redirect_url,longitude,__CLASS__,id,adref,description,contract_time,created,salary_is_predicted,salary_min,latitude,category.tag,category.label,category.__CLASS__,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,contract_type
Retail Assistant Store Manager,38425.17,https://www.adzuna.com/land/ad/5863110668?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=B9F67E437C65AE49256D000A94B59BAD71ED6A11,-89.455675,Adzuna::API::Response::Job,5863110668,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MzExMDY2OCIsInMiOiJRQTA2V1hLbDhSR0VlTEk3RG90bjRRIn0.XRDsbaXBzTW8MsPIMxKXmIt5MV8jFtg700uhSUX2jWk,"When you join our team as an Assistant Store Manager, you’ll take on key store management responsibilities including assisting with supervising day-to-day store activities, ensuring overall store performance, managing schedules, and developing operational action plans while identifying training opportunities to develop and grow the team. Position Type: Full-Time Average Hours: 38 hours per week Starting Wage: $25.50 per hour Wage Increase: Year 2 - $26.50 per hour Duties and Responsibilities: M…",part_time,2026-08-31T15:26:15Z,1,38425.17,43.191937,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,"['US', 'Wisconsin', 'Dane County', 'Waunakee']",Adzuna::API::Response::Location,"Waunakee, Dane County",Aldi,Adzuna::API::Response::Company,
Assistant Store Manager,40293.74,https://www.adzuna.com/land/ad/5863110611?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=8CEF12300EA27D8ED97D8E025AD064CC5792AA0D,-89.455675,Adzuna::API::Response::Job,5863110611,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUEwNldYS2w4UkdFZUxJN0RvdG40USIsImkiOiI1ODYzMTEwNjExIn0.ndAtoTjTFk7zyO4HKNkJ0ZGNBO77wmHXaZ1ZtdxIWDA,"When you join our team as an Assistant Store Manager, you’ll take on key store management responsibilities including assisting with supervising day-to-day store activities, ensuring overall store performance, managing schedules, and developing operational action plans while identifying training opportunities to develop and grow the team. Position Type: Full-Time Average Hours: 38 hours per week Starting Wage: $25.50 per hour Wage Increase: Year 2 - $26.50 per hour Duties and Responsibilities: M…",part_time,2026-08-31T15:26:13Z,1,40293.74,43.191937,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,"['US', 'Wisconsin', 'Dane County', 'Waunakee']",Adzuna::API::Response::Location,"Waunakee, Dane County",Aldi,Adzuna::API::Response::Company,
Assistant Store Manager (Retail Operations),37033.92,https://www.adzuna.com/land/ad/5863110601?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=D800C70A8A661C21853F5E9420F72228846CD211,-86.791901,Adzuna::API::Response::Job,5863110601,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MzExMDYwMSIsInMiOiJRQTA2V1hLbDhSR0VlTEk3RG90bjRRIn0.iHnhScxRUWobWcBSZqVrAFwcoG7CWw0JJAKBbJFuaVs,"When you join our team as an Assistant Store Manager, you’ll take on key store management responsibilities including assisting with supervising day-to-day store activities, ensuring overall store performance, managing schedules, and developing operational action plans while identifying training opportunities to develop and grow the team. Position Type: Full-Time Average Hours: 38 hours per week Starting Wage: $25.00 per hour Wage Increase: Year 2 - $26.00 per hour Duties and Responsibilities: M…",part_time,2026-08-31T15:26:12Z,1,37033.92,33.430655,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,"['US', 'Alabama', 'Jefferson County', 'Hoover']",Adzuna::API::Response::Location,"Hoover, Jefferson County",Aldi,Adzuna::API::Response::Company,
Store Associate,28493.93,https://www.adzuna.com/land/ad/5863110590?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=0F4C4A45B446AD2B399F6D154A10A1364511A9F2,-89.093678,Adzuna::API::Response::Job,5863110590,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MzExMDU5MCIsInMiOiJRQTA2V1hLbDhSR0VlTEk3RG90bjRRIn0.CzigsBiSCUF-2gWRwrVUj2ThQmtsKyhP3DOlFEu6v2U,"As a store associate, you’ll be responsible for merchandising and stocking product, cashiering, and cleaning to keep the store looking its best. You’ll enhance the customer shopping experience by working collaboratively with the ALDI team and providing exceptional customer service. Position Type: Full-Time Average Hours: 30 hours per week Starting Wage: $18.50 per hour Wage Increases: Year 2 - $19.00 | Year 3 - $19.50 | Year 4 - $19.50| Year 5 - $20.50 Duties and Responsibilities: Must be able …",part_time,2026-08-31T15:26:11Z,1,28493.93,38.960601,retail-jobs,Retail Jobs,Adzuna::API::Response::Category,"['US', 'Illinois', 'Fayette County', 'Vandalia']",Adzuna::API::Response::Location,"Vandalia, Fayette County",Aldi,Adzuna::API::Response::Company,
Aldi Assistant Store Manager,40560.65,https://www.adzuna.com/land/ad/5863110576?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=FC90AFE83503458D6E59E612EDC748F72239F756,-77.059325,Adzuna::API::Response::Job,5863110576,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUEwNldYS2w4UkdFZUxJN0RvdG40USIsImkiOiI1ODYzMTEwNTc2In0.Llt0vTB9TIkGaDGxAQyQoWDQh6kBVx7ZHe412VM-HVk,"When you join our team as an Assistant Store Manager, you’ll take on key store management responsibilities including assisting with supervising day-to-day store activities, ensuring overall store performance, managing schedules, and developing operational action plans while identifying training opportunities to develop and grow the team. Position Type: Full-Time Average Hours: 38 hours per week Starting Wage: $27.50 per hour Wage Increase: Year 2 - $28.50 per hour Duties and Responsibilities: M…",part_time,2026-08-31T15:26:10Z,1,40560.65,38.818947,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,"['US', 'Virginia', 'Alexandria City', 'Alexandria']",Adzuna::API::Response::Location,"Alexandria, Alexandria City",Aldi,Adzuna::API::Response::Company,
Warehouse Package Handler (Entry Level),34017.92,https://www.adzuna.com/land/ad/5863110568?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=8D96DF3D0C928FAF202A8AA484218047C34503F7,-76.10937,Adzuna::API::Response::Job,5863110568,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUEwNldYS2w4UkdFZUxJN0RvdG40USIsImkiOiI1ODYzMTEwNTY4In0.Jy34JkCIspSRORA8wngOcGm6C5Mhcct6r1ko8-0N4ZU,"Our warehouse operations make sure that products are properly received, selected and delivered to our stores for our ever-growing number of customers to enjoy. While not guaranteed, on average our warehouse employees work 32 hours per week. Our teams are comprised of hardworking, dedicated individuals who work in both ambient and temperature-controlled areas. A thorough and comprehensive training and safety program provide the skills our associates need to be successful. Position Type: Part-Tim…",part_time,2026-08-31T15:25:00Z,1,34017.92,42.798123,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,"['US', 'New York', 'Onondaga County', 'Tully']",Adzuna::API::Response::Location,"Tully, Onondaga County",Aldi,Adzuna::API::Response::Company,
Warehouse Associate (Entry Level),47949.36,https://www.adzuna.com/land/ad/5863110562?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=18F3CB54AA5FCB06F2970DF75ACABC26B6DE562A,-76.10937,Adzuna::API::Response::Job,5863110562,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUEwNldYS2w4UkdFZUxJN0RvdG40USIsImkiOiI1ODYzMTEwNTYyIn0.ol3Z2xDFEYjN2vcsaN-OV4jqTxFIRKiGxLKlMugzbY4,"Our warehouse operations make sure that products are properly received, selected and delivered to our stores for our ever-growing number of customers to enjoy. While not guaranteed, on average our warehouse employees work 32 hours per week. Our teams are comprised of hardworking, dedicated individuals who work in both ambient and temperature-controlled areas. A thorough and comprehensive training and safety program provide the skills our associates need to be successful. Position Type: Full-Tim…",part_time,2026-08-31T15:25:00Z,1,47949.36,42.798123,manufacturing-jobs,Manufacturing Jobs,Adzuna::API::Response::Category,"['US', 'New York', 'Onondaga County', 'Tully']",Adzuna::API::Response::Location,"Tully, Onondaga County",Aldi,Adzuna::API::Response::Company,
Retail Manager Trainee,60380.7,https://www.adzuna.com/land/ad/5863110564?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=6E97B3CCA7E2AC7A53ACF53B2A8647D4209F7068,-73.987085,Adzuna::API::Response::Job,5863110564,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MzExMDU2NCIsInMiOiJRQTA2V1hLbDhSR0VlTEk3RG90bjRRIn0.A7rju5QSd-BAFtCRYUtjWf4AuuIRgo3d2BngnOBrAFo,"ALDI is looking for passionate and driven individuals to join our Store Manager Trainee program. In this role, you will develop the skills and knowledge necessary to lead your own store, delivering outstanding customer service and creating a positive work environment for your team. You will collaborate with experienced leaders to ensure operational excellence and drive sales growth. As ALDI continues to expand rapidly across the United States, this is an exciting opportunity to grow your career…",part_time,2026-08-31T15:25:00Z,1,60380.7,41.229539,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,"['US', 'New York', 'Rockland County', 'Stony Point']",Adzuna::API::Response::Location,"Stony Point, Rockland County",Aldi,Adzuna::API::Response::Company,
Sales Associate - Spirit,36577.23,https://www.adzuna.com/land/ad/5863110571?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=914D51A86DAB0F95564F77C0B05B8E05C4A31C04,-92.125122,Adzuna::API::Response::Job,5863110571,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUEwNldYS2w4UkdFZUxJN0RvdG40USIsImkiOiI1ODYzMTEwNTcxIn0.C3masXXOppZtaKrXjph4gmPgWtTXtxCOfJt0XGHQTnw,"Hourly rate ranges from $11.80 - $12.00 per hour and is dependent upon qualifications and experience. Benefits include: Minnesota Paid Sick Time, Set-Up and Tear Down Premium Pay Programs, End of Season Premium Pay Program. All Bonus and Pay Programs subject to qualifications. Brand - Spirit Halloween The Sales Associate will support the Store Management Team in the setup, merchandising, pack-up and teardown of a seasonal store. The Sales Associate is responsible for maintaining Guest Services …",,2026-08-31T15:25:00Z,1,36577.23,46.772932,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,"['US', 'Minnesota', 'Saint Louis County', 'Duluth']",Adzuna::API::Response::Location,"Duluth, Saint Louis County",Spirit Halloween,Adzuna::API::Response::Company,
Retail Store Manager Trainee,55347.18,https://www.adzuna.com/land/ad/5863110567?se=QA06WXKl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=abfa41a4&v=3886410C3BF5EE982C84D37F71839C9A78520E72,-90.696098,Adzuna::API::Response::Job,5863110567,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUEwNldYS2w4UkdFZUxJN0RvdG40USIsImkiOiI1ODYzMTEwNTY3In0.d0cAwjiG-yCJSAiLRtWn0HTfAv9p719RqTCvk82ejOo,"ALDI is looking for passionate and driven individuals to join our Store Manager Trainee program. In this role, you will develop the skills and knowledge necessary to lead your own store, delivering outstanding customer service and creating a positive work environment for your team. You will collaborate with experienced leaders to ensure operational excellence and drive sales growth. As ALDI continues to expand rapidly across the United States, this is an exciting opportunity to grow your career…",part_time,2026-08-31T15:25:00Z,1,55347.18,42.558964,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,"['US', 'Iowa', 'Dubuque County', 'Dubuque']",Adzuna::API::Response::Location,"Dubuque, Dubuque County",Aldi,Adzuna::API::Response::Company,
