__CLASS__,redirect_url,adref,salary_min,id,created,salary_max,latitude,description,title,salary_is_predicted,longitude,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_time,contract_type
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867273056?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=2F80F02EB008FD65FABD686BC9637B3BDE69FF6C,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS25ERDJ2Q204UkcySG9tRllPTVhmUSIsImkiOiI1ODY3MjczMDU2In0.tsfdZ4sWHBTbd1czGe4JKN5F4TpMeXr_E5rrvrwZVc0,70000.0,5867273056,2026-09-02T12:17:23Z,90000.0,43.055773,"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",Local CDL-A Driver,0,-76.558104,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,SYSTEM FREIGHT,Adzuna::API::Response::Company,"Weedsport, Cayuga County",Adzuna::API::Response::Location,"['US', 'New York', 'Cayuga County', 'Weedsport']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271523?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=70C5C2DAD928E54B773BFBEE8BD7BD18229B90A2,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS25ERDJ2Q204UkcySG9tRllPTVhmUSIsImkiOiI1ODY3MjcxNTIzIn0.txONNR9YeO65wvFKX0xrXKyC1ojJUPMPg4zzYG6nog0,0.0,5867271523,2026-09-02T12:16:46Z,143520.0,39.940634,"Vivian is looking for Travel Speech Language Pathologist Therapys in Chambersburg, Pennsylvania paying up to $2,760/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.)…","Travel Speech Language Pathologist - Paying up to $2,760/week",0,-77.656169,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Chambersburg, Franklin County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Franklin County', 'Chambersburg']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271532?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=CBF0D2A51B5F1A469598545CF6F076F842FD6F72,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NzI3MTUzMiIsInMiOiJLbkREMnZDbThSRzJIb21GWU9NWGZRIn0.LbEImQWZmjyxMbG3DOokQnro1E-nVds7Laue_vMVdJg,0.0,5867271532,2026-09-02T12:16:46Z,136552.0,36.095485,"Vivian is looking for Travel Occupational Therapist Therapys in Tulsa, Oklahoma paying up to $2,626/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jo…","Travel Occupational Therapist - Paying up to $2,626/week",0,-95.884034,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Williams, Tulsa County",Adzuna::API::Response::Location,"['US', 'Oklahoma', 'Tulsa County', 'Williams']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271539?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=FF0294F087F14B6042D8FD04EAB8C16E4C0250EC,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS25ERDJ2Q204UkcySG9tRllPTVhmUSIsImkiOiI1ODY3MjcxNTM5In0.gTx9nmJRliJbu0jX-n0PSEOeCywUIIU66J5z8El8W3c,0.0,5867271539,2026-09-02T12:16:46Z,121940.0,43.53816,"Vivian is looking for Travel Physical Therapist Therapys in Saco, Maine paying up to $2,345/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jobs most …","Travel Physical Therapist - Paying up to $2,345/week",0,-70.46934,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Saco, York County",Adzuna::API::Response::Location,"['US', 'Maine', 'York County', 'Saco']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271534?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=EF4E734835E618DF6BAC799C04F55A9CEC3175E2,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NzI3MTUzNCIsInMiOiJLbkREMnZDbThSRzJIb21GWU9NWGZRIn0.7BSt-fy8ckuPSaPpvOlzbljh_QmWH2yAm-_vcI3P6yg,0.0,5867271534,2026-09-02T12:16:46Z,122252.0,41.028668,"Vivian is looking for Travel Physical Therapist Therapys in Oakland, New Jersey paying up to $2,351/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jo…","Travel Physical Therapist - Paying up to $2,351/week",0,-74.234119,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Franklin Lakes, Bergen County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Bergen County', 'Franklin Lakes']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271544?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=F39148463C7F4FBF0BBE91F5C510AAEC87E7B02A,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NzI3MTU0NCIsInMiOiJLbkREMnZDbThSRzJIb21GWU9NWGZRIn0.5c6uqwj6PFChnxUlVYcj99nVJ3YQoj7CWuJWDSIQO-o,0.0,5867271544,2026-09-02T12:16:46Z,146484.0,31.159591,"Vivian is looking for Travel Physical Therapist Therapys in St. Simons, Georgia paying up to $2,817/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jo…","Travel Physical Therapist - Paying up to $2,817/week",0,-81.388552,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Saint Simons Island, Glynn County",Adzuna::API::Response::Location,"['US', 'Georgia', 'Glynn County', 'Saint Simons Island']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271530?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=2563C7C6EB09DA54719749C07CE3D7241C48C9A7,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS25ERDJ2Q204UkcySG9tRllPTVhmUSIsImkiOiI1ODY3MjcxNTMwIn0.O626rCCqOXzfAd601tfq9wzgCAT8W05uCU5oN8ri8zw,0.0,5867271530,2026-09-02T12:16:46Z,152880.0,36.3528,"Vivian is looking for Travel Physical Therapist Therapys in Reidsville, North Carolina paying up to $2,940/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disc…","Travel Physical Therapist - Paying up to $2,940/week",0,-79.6182,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Reidsville, Rockingham County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Rockingham County', 'Reidsville']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271538?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=ECC81C88324BDB9945D01336CF7552342D4CE7AF,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NzI3MTUzOCIsInMiOiJLbkREMnZDbThSRzJIb21GWU9NWGZRIn0.QwCOEmR22AIsm2_akhR_V2MewS3JfAi7bKUuzOFdioI,0.0,5867271538,2026-09-02T12:16:46Z,145600.0,37.625013,"Vivian is looking for Travel Physical Therapist Therapys in San Bruno, California paying up to $2,800/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …","Travel Physical Therapist - Paying up to $2,800/week",0,-122.431076,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"San Bruno, San Mateo County",Adzuna::API::Response::Location,"['US', 'California', 'San Mateo County', 'San Bruno']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271524?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=D26681D959D047FA7BE3CAF3A257941FAC5702BB,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS25ERDJ2Q204UkcySG9tRllPTVhmUSIsImkiOiI1ODY3MjcxNTI0In0.KnDVxve9RUgfTLmk8ZC3uHZisy_mXkQB0UPuYDVt4Rk,0.0,5867271524,2026-09-02T12:16:46Z,121992.0,48.800629,"Vivian is looking for Travel Occupational Therapist Therapys in Bellingham, Washington paying up to $2,346/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disc…","Travel Skilled Nursing Facility (SNF) Occupational Therapist - Paying up to $2,346/week",0,-122.407158,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Silver Beach, Whatcom County",Adzuna::API::Response::Location,"['US', 'Washington', 'Whatcom County', 'Silver Beach']",,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5867271541?se=KnDD2vCm8RG2HomFYOMXfQ&utm_medium=api&utm_source=abfa41a4&v=FDF98440DC09E8C74EADCC64EF8A6D081579190C,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NzI3MTU0MSIsInMiOiJLbkREMnZDbThSRzJIb21GWU9NWGZRIn0.ToYCfphb0WXud94_80sEtTbZpBGsEybqn3jV5mM1gok,0.0,5867271541,2026-09-02T12:16:46Z,150800.0,35.46798,"Vivian is looking for Travel Physical Therapist Therapys in Indian Wells, Arizona paying up to $2,900/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …","Travel Physical Therapist - Paying up to $2,900/week",0,-110.093388,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,"Dilkon, Navajo County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Navajo County', 'Dilkon']",,
