salary_is_predicted,__CLASS__,id,adref,title,redirect_url,salary_min,longitude,description,salary_max,created,latitude,category.label,category.__CLASS__,category.tag,location.display_name,location.area,location.__CLASS__,company.display_name,company.__CLASS__,contract_time,contract_type
1,Adzuna::API::Response::Job,5873207436,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MzIwNzQzNiIsInMiOiJKTVExWHcycThSR2xJX2RxX0lMNzVRIn0.UMmaWho9pCu6LJug0_4_iTuvzrypT8DSniBQ5QumERE,RN Neuro Med-Surg,https://www.adzuna.com/land/ad/5873207436?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=0E79056295EF55DB99EB4ABCE5B2659FA11F0790,26910.31,-81.080985,"Job Description Job Description Job Opportunity: Registered Nurse - Neuro Med-Surg Unit Our organization in Savannah, GA is on the lookout for a committed Registered Nurse to join our Neuro Med-Surg unit. This role involves providing evidence-based care to individuals facing neurological and complex medical challenges. Key Responsibilities Conduct thorough patient assessments and monitor their health status. Administer medications as prescribed and ensure proper treatment protocols are followed…",26910.31,2026-09-06T11:56:33Z,32.081259,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Savannah, Chatham County","['US', 'Georgia', 'Chatham County', 'Savannah']",Adzuna::API::Response::Location,Memorial Health,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873207377,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MzIwNzM3NyIsInMiOiJKTVExWHcycThSR2xJX2RxX0lMNzVRIn0.Zym6RKRN5B320AJ01HOOVtm68zWT_XdnpobvkVyxn4g,"Gynecologic Oncologist | $644K Potential  Cancer Center Leadership Opportunity | San Francisco, CA",https://www.adzuna.com/land/ad/5873207377?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=05F3D2BD32A35FE1D8ABB89CDA4EDCD1235623E0,173273.72,-122.39009,"Job Description Job Description Opportunity Overview Our organization is on the lookout for a Gynecologic Oncologist to become part of a leading, innovative, and rapidly expanding physician group located in San Francisco. This is a remarkable chance for a collaborative clinician-leader to influence the future of gynecologic cancer treatment, working alongside service line leadership to broaden innovative therapies, enhance comprehensive support services, and assist in the establishment of a sta…",173273.72,2026-09-06T11:56:33Z,37.942952,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Richmond, Contra Costa County","['US', 'California', 'Contra Costa County', 'Richmond']",Adzuna::API::Response::Location,Sutter West Bay Medical Group,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873207171,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MzIwNzE3MSIsInMiOiJKTVExWHcycThSR2xJX2RxX0lMNzVRIn0.rF8Wg_FslSR-X1Vz3IyRRIOHV8uXFynSauYpxpBPHlA,Registered Nurse,https://www.adzuna.com/land/ad/5873207171?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=D5B0131B67D7D944527E415EC0D9F1438F7F9814,60039.68,-85.48746,"Job Description Job Description Job Opportunity: Registered Nurse Our organization is in search of a dedicated Registered Nurse who is passionate about delivering compassionate, evidence-driven care to adult rehabilitation patients. These individuals are on their journey to recovery from strokes, brain and spinal cord injuries, as well as other complex medical conditions. Key Responsibilities Conduct thorough patient assessments and develop comprehensive care plans. Regularly update care plans …",60039.68,2026-09-06T11:56:31Z,38.310625,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Pewee Valley, Oldham County","['US', 'Kentucky', 'Oldham County', 'Pewee Valley']",Adzuna::API::Response::Location,Baptist Health Rehabilitation Hospital,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873207019,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSk1RMVh3MnE4UkdsSV9kcV9JTDc1USIsImkiOiI1ODczMjA3MDE5In0.8YB0t5B26sdZmouI7rK7IyN7dNh8sNMog6DAeZMRoew,"ASST STORE MGR - 20 and older only - in TAYLORSVILLE, KY S22736",https://www.adzuna.com/land/ad/5873207019?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=22C77634F59C1640CEEB736648D5414F3135DA2D,30979.9,-85.373864,"Job Description Work Where You Matter\n \n \nAt Dollar General, our mission is Serving Others! We value each and every one of our employees. Whether you are looking to launch a new career in one of our many convenient Store locations, Distribution Centers, Store Support Center or with our Private Fleet Team, we are proud to provide a wide range of career opportunities. We are not just a retail company; we are a company that values the unique strengths and perspectives that each individual bring…",30979.9,2026-09-06T11:56:28Z,38.062656,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,"Taylorsville, Spencer County","['US', 'Kentucky', 'Spencer County', 'Taylorsville']",Adzuna::API::Response::Location,Dollar General,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873206857,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSk1RMVh3MnE4UkdsSV9kcV9JTDc1USIsImkiOiI1ODczMjA2ODU3In0.5fhHIuoEuB04G8jD-o-psuWmO9Ty6GKBTs6ydYAsU6I,Physical Therapist - Travel Contract,https://www.adzuna.com/land/ad/5873206857?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=99027D0AABA565E406CBE9DA8AEBB224EB8BCE06,122533.39,-88.107788,"Job Description Looking for a change of scenery and a chance to help others? Join Jackson Therapy Partners as a traveling Physical Therapist where you’ll help patients recover from injuries and manage chronic conditions while experiencing life in a new location. \n \n Minimum Requirements \n \n Bachelor's, Master's or Doctoral Degree in Physical Therapy from accredited schools approved by the APTA \n Active State License is Required to Start the Assignment \n BLS Certification May Be Required f…",122533.39,2026-09-06T11:56:26Z,42.049411,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,"South Barrington, Lake County","['US', 'Illinois', 'Lake County', 'South Barrington']",Adzuna::API::Response::Location,Jackson Therapy Partners,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873206863,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MzIwNjg2MyIsInMiOiJKTVExWHcycThSR2xJX2RxX0lMNzVRIn0.08BCV0to8_UpAI8rsZIO7gj1CDLpPaeK7iyUcRmbjas,Physical Therapist - Travel Contract,https://www.adzuna.com/land/ad/5873206863?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=C9A8EFCA50157CDB9DA7E2DCFB575DCD347C840D,66511.57,-76.84452,"Job Description Looking for a change of scenery and a chance to help others? Join Jackson Therapy Partners as a traveling Physical Therapist where you’ll help patients recover from injuries and manage chronic conditions while experiencing life in a new location. \n \n Minimum Requirements \n \n Bachelor's, Master's or Doctoral Degree in Physical Therapy from accredited schools approved by the APTA \n Active State License is Required to Start the Assignment \n BLS Certification May Be Required f…",66511.57,2026-09-06T11:56:26Z,39.10428,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs,"Laurel, Prince George's County","['US', 'Maryland', ""Prince George's County"", 'Laurel']",Adzuna::API::Response::Location,Jackson Therapy Partners,Adzuna::API::Response::Company,,
0,Adzuna::API::Response::Job,5873206720,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSk1RMVh3MnE4UkdsSV9kcV9JTDc1USIsImkiOiI1ODczMjA2NzIwIn0.m7MZg97Td92Gk9F0UCMHLdPbZoJX-YZVfSWQQaT8Q_c,Hazmat - CDL-A Owner Operator - 1yr EXP Required - OTR - Specialized - $275k - $300k per year - H/N,https://www.adzuna.com/land/ad/5873206720?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=9329E2AF9E6C81A4C2F35F9C4A9799472EA0CF0C,275000.0,-76.60944,"Job Description Job Description CDL - A Waste and Roll Off Truck Drivers - Seeking Company Drivers & Owner Operators! Are you ready to embark on a career where every mile counts? Action is ready for you. We’re always looking for drivers who take pride in their qualifications, experience and knowledge. We invest in drivers who never compromise safety and who are looking for experience beyond the average load. Owner Operators Additional Compensation: Owner Operators earn $275,000-$300,000 annuall…",300000.0,2026-09-06T11:56:22Z,39.29688,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,"East Case, Baltimore","['US', 'Maryland', 'Baltimore County', 'Baltimore', 'East Case']",Adzuna::API::Response::Location,Action Resources,Adzuna::API::Response::Company,,
0,Adzuna::API::Response::Job,5873206727,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSk1RMVh3MnE4UkdsSV9kcV9JTDc1USIsImkiOiI1ODczMjA2NzI3In0.29fNIBYlusrfEBxjfdS21nPn8s9jnTp_1LTtQEtVS2E,Hazmat - CDL-A Owner Operator - 1yr EXP Required - OTR - Specialized - $275k - $300k per year - H/N,https://www.adzuna.com/land/ad/5873206727?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=64B70346C3BD24D551C6763736FBF15C346913E8,275000.0,-86.525521,"Job Description Job Description CDL - A Waste and Roll Off Truck Drivers - Seeking Company Drivers & Owner Operators! Are you ready to embark on a career where every mile counts? Action is ready for you. We’re always looking for drivers who take pride in their qualifications, experience and knowledge. We invest in drivers who never compromise safety and who are looking for experience beyond the average load. Owner Operators Additional Compensation: Owner Operators earn $275,000-$300,000 annuall…",300000.0,2026-09-06T11:56:22Z,39.172163,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,"Clear Creek, Monroe County","['US', 'Indiana', 'Monroe County', 'Clear Creek']",Adzuna::API::Response::Location,Action Resources,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873206689,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MzIwNjY4OSIsInMiOiJKTVExWHcycThSR2xJX2RxX0lMNzVRIn0.3qCuWYIVO_tXtbaFBr6xE5Fr7YnVy6Q-sv_FAN1YIuQ,Mechanic B,https://www.adzuna.com/land/ad/5873206689?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=40A4B44B55D3353413AE8F79279456FB8A0A5101,74820.48,-74.71284,"Job Description Overview: \n Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the greater New York, New Jersey and Connecticut markets with a rail-served landfill in Ohio. IWS is committed to delivering high-quality waste, recycling and environmental services, while prioritizing the safety of our employees, customers and communities. We cater to a diverse range of industrial, medical and commercial/residential customers. \n Found…",74820.48,2026-09-06T11:56:20Z,40.26654,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,"Lawrence Township, Mercer County","['US', 'New Jersey', 'Mercer County', 'Lawrence Township']",Adzuna::API::Response::Location,Interstate Waste Services,Adzuna::API::Response::Company,,
1,Adzuna::API::Response::Job,5873206678,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3MzIwNjY3OCIsInMiOiJKTVExWHcycThSR2xJX2RxX0lMNzVRIn0.w1IBS9ZvK3wSE6Q3Ysj2jeqjoXIY2X6FzWPN4lBCc6E,"Home Health Aide - Anchor - Carbondale, PA",https://www.adzuna.com/land/ad/5873206678?se=JMQ1Xw2q8RGlI_dq_IL75Q&utm_medium=api&utm_source=abfa41a4&v=7922AF4513323EFEF1A1B8C6E60CCDDFED6B8D5F,28278.55,-75.508501,"Job Description Job Description CareConnect is dedicated to connecting compassionate care workers with trusted home care agencies that are actively hiring. We are actively hiring caregivers across Pennsylvania and onboarding quickly for Anchor Health Homecare . Anchor Health Homecare offers some of the most competitive pay and benefits in the state. If you are looking for steady hours, strong support, and real opportunity to grow your income, this is the place to be. Limited-Time Bonuses Availa…",28278.55,2026-09-06T11:56:20Z,41.583222,Social work Jobs,Adzuna::API::Response::Category,social-work-jobs,"Carbondale, Lackawanna County","['US', 'Pennsylvania', 'Lackawanna County', 'Carbondale']",Adzuna::API::Response::Location,Anchor Home Care,Adzuna::API::Response::Company,,
