longitude,redirect_url,__CLASS__,latitude,contract_time,created,salary_max,salary_min,id,description,adref,title,salary_is_predicted,contract_type,category.tag,category.label,category.__CLASS__,company.__CLASS__,company.display_name,location.area,location.display_name,location.__CLASS__
-95.34,https://www.adzuna.com/land/ad/5874375831?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=CCBFDBEA91BF070FE50C249987AEE05F42571C4C,Adzuna::API::Response::Job,29.98,part_time,2026-09-07T14:02:49Z,21825.52,21825.52,5874375831,"Overview Spring 2027 Internship If you’re looking to hit the ground running, the Enterprise Management Internship will help you build valuable business and leadership skills. For a university/college student, the real-world professional experience you’ll receive during the internship will help you stand apart from the crowd, and will be more than just a line on your resume. From day one as a paid intern with Enterprise, you'll learn what it takes to run a successful business and acquire highly …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NDM3NTgzMSIsInMiOiI5dkYxMy1lcThSR3NKTmtkOXF5ME5RIn0.bZzkgIa5i_cd8dusmxaFAguVq7JJbGWxvaZCBpVPQLA,Management Trainee Spring Internship,1,contract,admin-jobs,Admin Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Enterprise,"['US', 'Texas', 'Harris County', 'Humble']","Humble, Harris County",Adzuna::API::Response::Location
-95.616055,https://www.adzuna.com/land/ad/5874375832?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=81BBFC8B1E43E93A10E1BE93BBCEFBF845891CCE,Adzuna::API::Response::Job,30.097162,full_time,2026-09-07T14:02:49Z,27396.15,27396.15,5874375832,"Overview If you’re looking to hit the ground running, the Enterprise Management Internship will help you build valuable business and leadership skills. For a university/college student, the real-world professional experience you’ll receive during the internship will help you stand apart from the crowd, and will be more than just a line on your resume. From day one as a paid intern with Enterprise, you'll learn what it takes to run a successful business and acquire highly marketable skills in ma…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NDM3NTgzMiIsInMiOiI5dkYxMy1lcThSR3NKTmtkOXF5ME5RIn0.hKI43kWQUOJnGBzqYw_O96wJIaS_JPAGsRMkrCdl16o,Management Trainee Summer Internship,1,contract,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Enterprise,"['US', 'Texas', 'Harris County', 'Tomball']","Tomball, Harris County",Adzuna::API::Response::Location
-95.609001,https://www.adzuna.com/land/ad/5874375830?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=57C71B08B56AD0D76A41FDE840FB7A9C72389DCD,Adzuna::API::Response::Job,29.618521,part_time,2026-09-07T14:02:48Z,22822.85,22822.85,5874375830,"Overview Spring 2027 Internship If you’re looking to hit the ground running, the Enterprise Management Internship will help you build valuable business and leadership skills. For a university/college student, the real-world professional experience you’ll receive during the internship will help you stand apart from the crowd, and will be more than just a line on your resume. From day one as a paid intern with Enterprise, you'll learn what it takes to run a successful business and acquire highly …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NDM3NTgzMCIsInMiOiI5dkYxMy1lcThSR3NKTmtkOXF5ME5RIn0.ERwdwZKllLn1x247vlzc-0OTf93ekvKdasyaRcldDmc,Management Trainee Spring Internship,1,contract,admin-jobs,Admin Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Enterprise,"['US', 'Texas', 'Fort Bend County', 'Sugar Land']","Sugar Land, Fort Bend County",Adzuna::API::Response::Location
-117.75493,https://www.adzuna.com/land/ad/5874375827?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=D42F82A3300329DCAC84C990EC64DA6F5F9C249F,Adzuna::API::Response::Job,33.751486,full_time,2026-09-07T14:02:48Z,86993.32,86993.32,5874375827,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowher…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXZGMTMtZXE4UkdzSk5rZDlxeTBOUSIsImkiOiI1ODc0Mzc1ODI3In0.sTJuFs5IQ7VWpec0cepM9fYBCN5yhh0aitALoVdC6-s,International Tax Global Employer Services Associate - Winter 2028,1,,legal-jobs,Legal Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,RSM,"['US', 'California', 'Orange County', 'Irvine']","Irvine, Orange County",Adzuna::API::Response::Location
-95.57809,https://www.adzuna.com/land/ad/5874375829?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=6A87FE31115021848C4B7C249E20624B5AED838C,Adzuna::API::Response::Job,30.806067,part_time,2026-09-07T14:02:48Z,21039.38,21039.38,5874375829,"Overview Spring 2027 Internship If you’re looking to hit the ground running, the Enterprise Management Internship will help you build valuable business and leadership skills. For a university/college student, the real-world professional experience you’ll receive during the internship will help you stand apart from the crowd, and will be more than just a line on your resume. From day one as a paid intern with Enterprise, you'll learn what it takes to run a successful business and acquire highly …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXZGMTMtZXE4UkdzSk5rZDlxeTBOUSIsImkiOiI1ODc0Mzc1ODI5In0.VjHjEcLBxssQk_BV8cVyPeZk-_cnWe2ON_lBKw78U2s,Management Trainee Spring Internship,1,contract,admin-jobs,Admin Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Enterprise,"['US', 'Texas', 'Walker County', 'Huntsville']","Huntsville, Walker County",Adzuna::API::Response::Location
-95.751048,https://www.adzuna.com/land/ad/5874375828?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=C9C46C3F263B253E8E6A28C0A8BED6898D4CE3DB,Adzuna::API::Response::Job,29.826018,part_time,2026-09-07T14:02:48Z,22063.97,22063.97,5874375828,"Overview Spring 2027 Internship If you’re looking to hit the ground running, the Enterprise Management Internship will help you build valuable business and leadership skills. For a university/college student, the real-world professional experience you’ll receive during the internship will help you stand apart from the crowd, and will be more than just a line on your resume. From day one as a paid intern with Enterprise, you'll learn what it takes to run a successful business and acquire highly …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NDM3NTgyOCIsInMiOiI5dkYxMy1lcThSR3NKTmtkOXF5ME5RIn0.BgoU0K2ywwRWq_ogZuhVIXkJIFzx3o5zPUqmK1qXMT4,Management Trainee Spring Internship,1,contract,admin-jobs,Admin Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Enterprise,"['US', 'Texas', 'Harris County', 'Katy']","Katy, Harris County",Adzuna::API::Response::Location
-73.833084,https://www.adzuna.com/land/ad/5874375717?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=D5EAD2ABD30A95951D043C741B3BFB625DFD40CD,Adzuna::API::Response::Job,40.908796,part_time,2026-09-07T14:01:52Z,55177.48,55177.48,5874375717,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NDM3NTcxNyIsInMiOiI5dkYxMy1lcThSR3NKTmtkOXF5ME5RIn0.e1ZfSGR6Y0u_2x1cLJSKZaVQ6WWw71hGJ5EIcZ2M5wE,Drive with DoorDash,1,,retail-jobs,Retail Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,DoorDash,"['US', 'New York', 'Westchester County', 'Mount Vernon']","Mount Vernon, Westchester County",Adzuna::API::Response::Location
-73.751798,https://www.adzuna.com/land/ad/5874375705?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=C4FF8F41D2009BA884B5B4794899B7DF1F1C8BB1,Adzuna::API::Response::Job,40.927877,part_time,2026-09-07T14:01:51Z,55504.06,55504.06,5874375705,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NDM3NTcwNSIsInMiOiI5dkYxMy1lcThSR3NKTmtkOXF5ME5RIn0.N7MgtH5sAFNQCNWYgrDOo2j9TtH3BKBcsAebcXhMo4s,Drive with DoorDash,1,,retail-jobs,Retail Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,DoorDash,"['US', 'New York', 'Westchester County', 'Larchmont']","Larchmont, Westchester County",Adzuna::API::Response::Location
-73.655129,https://www.adzuna.com/land/ad/5874375680?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=005CE461FA0B229182625A7E44ECDB000237D0E4,Adzuna::API::Response::Job,41.325928,part_time,2026-09-07T14:01:47Z,68835.23,68835.23,5874375680,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXZGMTMtZXE4UkdzSk5rZDlxeTBOUSIsImkiOiI1ODc0Mzc1NjgwIn0.6ESgQwVDJziYMqzHzC-wfFrVB3-bWds2-7xPkrZ-vI8,Drive with Doordash - No CDL license needed,1,,retail-jobs,Retail Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,DoorDash,"['US', 'New York', 'Westchester County', 'Purdys']","Purdys, Westchester County",Adzuna::API::Response::Location
-72.177154,https://www.adzuna.com/land/ad/5874375677?se=9vF13-eq8RGsJNkd9qy0NQ&utm_medium=api&utm_source=abfa41a4&v=985B77598550BF7B624971B24368BEE973A7D842,Adzuna::API::Response::Job,41.471559,part_time,2026-09-07T14:01:46Z,65195.82,65195.82,5874375677,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXZGMTMtZXE4UkdzSk5rZDlxeTBOUSIsImkiOiI1ODc0Mzc1Njc3In0.gI-vNAy2bioMXcUqZWCDCKyvu5Glk-C42pP4F0w4ZnE,Drive with Doordash - No CDL license needed,1,,retail-jobs,Retail Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,DoorDash,"['US', 'Connecticut', 'New London County', 'Oakdale']","Oakdale, New London County",Adzuna::API::Response::Location
