title,redirect_url,longitude,__CLASS__,salary_max,created,adref,salary_is_predicted,latitude,id,description,salary_min,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
Licensed Marriage and Family Therapist,https://www.adzuna.com/land/ad/5878758616?se=nIel7jit8RG1D9760nO3_g&utm_medium=api&utm_source=abfa41a4&v=D374E04BDCBE5BF322A2AF92C2C06730E3B88095,-96.6902,Adzuna::API::Response::Job,76000.0,2026-09-10T12:26:35Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NjE2In0.8NsAFprSDMKLjQWpKxwD3CaaNRViCAmVq-tJCUNKcw4,0,33.1693,5878758616,"Headway is seeking a dedicated and empathetic Licensed Marriage and Family Therapist to join our innovative team, focused on transforming the accessibility of mental health services. At Headway, we streamline the connection between patients and mental health professionals by facilitating therapy access through insurance coverage. This role offers the opportunity to significantly impact the well-being of individuals and families, providing them with the support needed to navigate life's challeng…",61000.0,Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'Fairview']","Fairview, Collin County",Adzuna::API::Response::Company,Headway,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Registered Nurse (RN) Med Surge Bariatric, Ortho, Oncology",https://www.adzuna.com/land/ad/5878758590?se=nIel7jit8RG1D9760nO3_g&utm_medium=api&utm_source=abfa41a4&v=23896C8A529EFD2B02A6853F9233945238A8CA33,-106.721325,Adzuna::API::Response::Job,101116.62,2026-09-10T12:26:33Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTkwIn0.uZVSQfQq5Do7dXIOoiRL-ilR63qWvet9LNHCp8xeKoY,1,32.326912,5878758590,"Registered Nurse (RN) Med Surge (Bariatric, Ortho Oncology) $15,000 Sign-On Bonus Shift: Full Time, 3-12's, Nights 7pm-7am Your experience matters At Memorial Medical Center, we are driven by a profound commitment to prioritize your well-being so you can provide exceptional care to others. Here, you're not just valued as an employee, but as a person. As a registered nurse (RN) joining our team, you're embracing a vital mission dedicated to making communities healthier. Join us on this meaningfu…",101116.62,Adzuna::API::Response::Location,"['US', 'New Mexico', 'Doña Ana County', 'Las Cruces']","Las Cruces, Doña Ana County",Adzuna::API::Response::Company,Memorial Medical Center,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
Behavioral Technician,https://www.adzuna.com/details/5878758587?utm_medium=api&utm_source=abfa41a4,-80.980386,Adzuna::API::Response::Job,44902.97,2026-09-10T12:26:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTg3In0.yWQiV2Oq_zvXC6nit3OkVGX4CVHW8PX2336iDibJQgk,1,32.480744,5878758587,"Bright Light , a part of the Sevita family , provides center-based Applied Behavioral Analysis (ABA) services to individuals with Autism Spectrum Disorder and related disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. Behavioral Technician Do you have experience in behavioral therapy a…",44902.97,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Jasper County', 'Ridgeland']","Ridgeland, Jasper County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Social work Jobs,social-work-jobs,full_time,
Caregiver,https://www.adzuna.com/details/5878758584?utm_medium=api&utm_source=abfa41a4,-75.301571,Adzuna::API::Response::Job,42946.37,2026-09-10T12:26:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTg0In0.-krHy4Y1NKkcn27cUOWk0fllJb2FT_bZSaicKIfTZI8,1,40.079277,5878758584,"Mentor Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. Caregiver (PT) Nights/Weekends/Overnights Conshohocken, PA 19428 Pay 16.00Hr THRIVE AS A CAR…",42946.37,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Montgomery County', 'Conshohocken']","Conshohocken, Montgomery County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
Direct Support Professional,https://www.adzuna.com/details/5878758567?utm_medium=api&utm_source=abfa41a4,-87.413909,Adzuna::API::Response::Job,47938.75,2026-09-10T12:26:30Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODU2NyIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.6fSnIGL5ZnnbidrqkvSGOAFOQNZPeSDZScw4MwmgSsU,1,39.466703,5878758567,"THRIVE AS A CAREGIVER AT SEVITA. EACH DAY, YOU’LL Be proud of rewarding work helping people grow, learn, and live well Develop real, meaningful relationships with the individuals you serve Experience ownership and trust from your leaders to do what’s right for participants Take initiative to help participants be part of the community and enjoy their favorite activities Support participants with developmental goals like budgeting, exercise, and nutrition You’ll assist people with their personal …",47938.75,Adzuna::API::Response::Location,"['US', 'Indiana', 'Vigo County', 'Terre Haute']","Terre Haute, Vigo County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
Direct Support Lead,https://www.adzuna.com/details/5878758572?utm_medium=api&utm_source=abfa41a4,-85.512781,Adzuna::API::Response::Job,37005.18,2026-09-10T12:26:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTcyIn0.89_SlFyEREhlTJC9a2sZQd1FRZRag3JAOURSrlqgwVY,1,39.034053,5878758572,"Indiana Mentor , a part of the Sevita family , provides Residential and Treatment Foster Care services to youth who may be facing out-of-home placements, transitioning back into the family home or independent living alternatives, or involved in the juvenile justice system. Through our personalized programming, we help youth gain stability, comfort and confidence to overcome all challenges and live well. If you are passionate about making a difference in the lives of individuals and families, jo…",37005.18,Adzuna::API::Response::Location,"['US', 'Indiana', 'Jennings County', 'Butlerville']","Butlerville, Jennings County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Social work Jobs,social-work-jobs,part_time,
Behavioral Technician,https://www.adzuna.com/details/5878758573?utm_medium=api&utm_source=abfa41a4,-80.003183,Adzuna::API::Response::Job,46004.57,2026-09-10T12:26:30Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODU3MyIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.qY57l572L9QHEMTSHXzN1slPshMRhxp8HQAF71Hgvjg,1,32.930579,5878758573,"Bright Light , a part of the Sevita family , provides center-based Applied Behavioral Analysis (ABA) services to individuals with Autism Spectrum Disorder and related disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. SUMMARY The Behavioral Technician is responsible for ensuring behavi…",46004.57,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Charleston County', 'Charleston']","Charleston, Charleston County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
Caregiver,https://www.adzuna.com/details/5878758563?utm_medium=api&utm_source=abfa41a4,-78.339446,Adzuna::API::Response::Job,34312.79,2026-09-10T12:26:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTYzIn0.5QfDyy3hFmyRhFESKaChepNcMmxbuA89eiD7nkoJhIA,1,35.508494,5878758563,"ResCare Community Living, a part of the Sevita family, provides quality services that empower individuals, enhance independence, and help people live well. Since 1974, we’ve supported individuals with intellectual and developmental disabilities to live more independently at home and in their community. With our dedicated team and experienced staff, we provide person-centered services that help people build skills, overcome challenges, and reach their full potential. SUMMARY Position Type: Non-e…",34312.79,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Johnston County', 'Smithfield']","Smithfield, Johnston County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
Direct Support Lead,https://www.adzuna.com/details/5878758559?utm_medium=api&utm_source=abfa41a4,-85.62358,Adzuna::API::Response::Job,36541.7,2026-09-10T12:26:29Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibkllbDdqaXQ4UkcxRDk3NjBuTzNfZyIsImkiOiI1ODc4NzU4NTU5In0.9MhQC1wFjOTv3Fal7PbZV1ecyFs7mhXQ82y1rxOmeYk,1,39.006165,5878758559,"Indiana Mentor , a part of the Sevita family , provides Residential and Treatment Foster Care services to youth who may be facing out-of-home placements, transitioning back into the family home or independent living alternatives, or involved in the juvenile justice system. Through our personalized programming, we help youth gain stability, comfort and confidence to overcome all challenges and live well. If you are passionate about making a difference in the lives of individuals and families, jo…",36541.7,Adzuna::API::Response::Location,"['US', 'Indiana', 'Jennings County', 'North Vernon']","North Vernon, Jennings County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Social work Jobs,social-work-jobs,part_time,
Caregiver,https://www.adzuna.com/details/5878758533?utm_medium=api&utm_source=abfa41a4,-80.970238,Adzuna::API::Response::Job,45604.48,2026-09-10T12:26:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3ODc1ODUzMyIsInMiOiJuSWVsN2ppdDhSRzFEOTc2MG5PM19nIn0.o_j_BHXp9y_KWQsEwwvZr6yOenDiqjWQFYJ4CTWXCNY,1,37.332554,5878758533,"REM Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. $14.75 hourly with On Demand Pay Options Part Time Shifts Vary, Driver’s License with Vehicle a…",45604.48,Adzuna::API::Response::Location,"['US', 'West Virginia', 'Mercer County', 'Princeton']","Princeton, Mercer County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
