salary_min,salary_is_predicted,latitude,description,adref,redirect_url,__CLASS__,longitude,created,contract_time,salary_max,id,title,company.__CLASS__,company.display_name,location.__CLASS__,location.area,location.display_name,category.label,category.__CLASS__,category.tag,contract_type
14262.52,1,45.167188,"Description & Requirements If you would like more information about our company, you can visit our website here: Who We Are - CDWI This is a heartwarming opportunity for compassionate providers who love making a difference! We work with members throughout Wisconsin to find providers that fit each of their needs. Our goal is to help individuals be in more control of their own supports and to have a say in who is assisting them. This helps them to stay in their own homes as long as possible. Job …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3OTk5OTY0NyIsInMiOiJldm5zVlFLdThSRy1GTHhfWWZJWEtRIn0.JvR5lOGFG5C_h-tNAOhnbh-FgZUMsCJ1Jw05cqzXNvM,https://www.adzuna.com/land/ad/5879999647?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=9B2E5B1A42719C2E9D7E090F409CDA709A4806D3,Adzuna::API::Response::Job,-91.149311,2026-09-11T12:53:55Z,part_time,14262.52,5879999647,Respite Provider,Adzuna::API::Response::Company,Consumer Direct Care Network,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Chippewa County', 'Cornell']","Cornell, Chippewa County",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,
77000.0,0,35.38116,"Gifted Healthcare, a renowned leader in nursing and healthcare staffing, is seeking a dedicated and skilled Travel Stepdown RN for a rewarding assignment in Oklahoma City, Oklahoma. This position offers the unique opportunity to work in a dynamic environment focused on patient care and positive outcomes. As a Travel Stepdown RN with Gifted Healthcare, you will enjoy the flexibility of travel nursing while being supported by a team that values your dedication and expertise. We're looking for a p…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZXZuc1ZRS3U4UkctRkx4X1lmSVhLUSIsImkiOiI1ODc5OTk5MDc1In0.HAFh-3oGPC343UiCGqhesCJO8ojD-lBHCiL8CBy9vMA,https://www.adzuna.com/land/ad/5879999075?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=6D1D774A16474060CC09DD75F712EC0B03A1ECAD,Adzuna::API::Response::Job,-97.47588,2026-09-11T12:51:27Z,,98500.0,5879999075,"Travel Stepdown RN in Oklahoma City, Oklahoma",Adzuna::API::Response::Company,Gifted Healthcare,Adzuna::API::Response::Location,"['US', 'Oklahoma', 'Oklahoma County', 'Valley Brook']","Valley Brook, Oklahoma County",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,
79910.76,1,43.08332,"Job Description \n Payroll & Benefits Specialist (Hybrid) | $60,000-$70,000 Why This Opportunity Stands Out \n \n Join a financially stable and growing manufacturing organization backed by a global parent company. \n Enjoy a hybrid schedule and flexible hours that support work-life balance without sacrificing collaboration or career growth. \n Recent expansion and investment in a new production facility have created exciting opportunities for long-term growth and advancement. \n Own the payroll…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZXZuc1ZRS3U4UkctRkx4X1lmSVhLUSIsImkiOiI1ODc5OTk4NTQxIn0.h6DqQfYDChgPrRdNPZ8n27dLLWG4O9BsIJjraiQMAVE,https://www.adzuna.com/land/ad/5879998541?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=357804290BF926F2949A555D5471EF30941828C2,Adzuna::API::Response::Job,-89.372477,2026-09-11T12:49:32Z,,79910.76,5879998541,Payroll & Benefits Specialist (Hybrid),Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Dane County', 'Madison']","Madison, Dane County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
75945.2,1,36.724005,"Job Description About the Role \n \n \n The Multi-Office Leader , known internally as an Area Experience Leader, leads a portfolio of 4-6 retail offices and is responsible for delivering a consistent, high-quality client experience across every location. In this role, you'll ensure each office is ready to serve clients with excellence by setting clear expectations for consultative service, operational execution, team performance, and business results. \n \n You'll lead and develop Tax Professio…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3OTk5ODUzNCIsInMiOiJldm5zVlFLdThSRy1GTHhfWWZJWEtRIn0.TBBd_E79MDwHH-OLkplMRUBroh-H15mEbfC8hXpELcI,https://www.adzuna.com/land/ad/5879998534?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=C303D460225EEAB79EDF54786C1CF0B18B77BBCA,Adzuna::API::Response::Job,-79.913673,2026-09-11T12:49:32Z,,75945.2,5879998534,Multi-Office Leader,Adzuna::API::Response::Company,H&R Block,Adzuna::API::Response::Location,"['US', 'Virginia', 'Henry County', 'Collinsville']","Collinsville, Henry County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
126374.08,1,,"Job Description Finance Manager \n Salary: $165,000–$185,000  Bonus \n Location: South Shore, MA | Onsite \n Why This Opportunity Stands Out: \n \n High-impact finance leadership role within a fast-growing organization \n Partner directly with the CEO/Owner on financial strategy and business decisions \n Build the accounting and finance function internally from the ground up \n Improve reporting, systems, controls, and financial processes as the company scales \n Strong long-term growth potenti…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZXZuc1ZRS3U4UkctRkx4X1lmSVhLUSIsImkiOiI1ODc5OTk4NTU3In0.SBIPdilSWesHkuz89A1hgvOhRqnJi9jAkyaE4Ytw568,https://www.adzuna.com/land/ad/5879998557?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=4C14AE14BF84C875FA081DCC6596220C1E8A74CD,Adzuna::API::Response::Job,,2026-09-11T12:49:32Z,,126374.08,5879998557,Finance Manager,Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,['US'],US,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
70275.41,1,41.044168,"Job Description Senior Accountant – Nonprofit Organization \n About Us: We are a community‑focused nonprofit with a mission rooted in service, integrity, and impact. Our team is small, tight‑knit, and highly collaborative — we genuinely enjoy working together and supporting one another. We offer excellent benefits, a supportive culture, and meaningful work that directly strengthens our programs and the communities we serve. \n Position Overview: The Senior Accountant plays a critical role in en…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3OTk5ODU0OSIsInMiOiJldm5zVlFLdThSRy1GTHhfWWZJWEtRIn0.Z0E1TdtUnofOyyuAeus_L5vWzNm2p8wSt1wlvSfwkSo,https://www.adzuna.com/land/ad/5879998549?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=C9F3F7D480986FD9330CFB5671A5FE8B491C15AE,Adzuna::API::Response::Job,-81.525446,2026-09-11T12:49:32Z,,70275.41,5879998549,Senior Accountant,Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,"['US', 'Ohio', 'Summit County', 'Akron']","Akron, Summit County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
95700.14,1,39.890612,"Job Description Accounts Payable Manager\n Location: Vandalia, OH (Fully Onsite) Salary: $70,000 - $90,000 \n Our client is seeking an experienced Accounts Payable Manager to lead the accounts payable function for a growing organization. This is an excellent opportunity for a hands-on leader who thrives in a fast-paced environment and enjoys improving processes while developing a high-performing team. Responsibilities:\n \n Manage the day-to-day operations of the Accounts Payable department \n …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3OTk5ODU1MyIsInMiOiJldm5zVlFLdThSRy1GTHhfWWZJWEtRIn0.-rqk_hh1T-4s_yg3i8nZDtngJL1ZOFNzj_xpXbb-U8U,https://www.adzuna.com/land/ad/5879998553?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=6A4205D2F4F6859211DB946692967D31582F6493,Adzuna::API::Response::Job,-84.198831,2026-09-11T12:49:32Z,,95700.14,5879998553,AP Manager,Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,"['US', 'Ohio', 'Montgomery County', 'Vandalia']","Vandalia, Montgomery County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
85357.52,1,36.053394,"Job Description Accountant | Burns, TN\n Location: Burns, TN | Onsite Salary: $60,000 - $80,000 \n Our client is seeking an experienced Accountant to take ownership of day-to-day accounting operations for a growing business in Burns, TN. This is a hands-on opportunity for someone who enjoys working closely with leadership and operations while managing a broad range of accounting responsibilities. Why You'll Like This Accountant Opportunity\n \n Salary is $60,000 - $80,000 \n Stable, onsite oppo…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZXZuc1ZRS3U4UkctRkx4X1lmSVhLUSIsImkiOiI1ODc5OTk4NTU5In0._yaNdaLSwGWY3QvZCcU1ssn5_R_yzoRcqSnLhoV3SVM,https://www.adzuna.com/land/ad/5879998559?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=7FEC43EE5263494F00794F2DF755C8E779661B60,Adzuna::API::Response::Job,-87.31251,2026-09-11T12:49:32Z,,85357.52,5879998559,Accountant,Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Dickson County', 'Burns']","Burns, Dickson County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
83551.59,1,41.497831,"Job Description Nursing Recruiter \n Location: University Heights, OH (Onsite) \n Join a Team That Makes a Difference \n Are you passionate about healthcare and connecting exceptional professionals with meaningful career opportunities? We are seeking a Nursing Recruiter to join our growing team. This opportunity is ideal for an experienced healthcare recruiter or a nurse looking to leverage their clinical expertise in a dynamic recruiting and talent acquisition career. \n In this role, you'll p…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3OTk5ODU0NCIsInMiOiJldm5zVlFLdThSRy1GTHhfWWZJWEtRIn0.FMxrW6Z162lxOSoIH_e8mm_IlH9PH9Ulj55gd9kGGcU,https://www.adzuna.com/land/ad/5879998544?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=B82F7D627B063E1BE38CDDAD5C35036E0491A156,Adzuna::API::Response::Job,-81.537346,2026-09-11T12:49:32Z,,83551.59,5879998544,Nursing Recruiter,Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,"['US', 'Ohio', 'Cuyahoga County', 'University Heights']","University Heights, Cuyahoga County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
82179.55,1,33.858437,"Job Description \n \n \n \n \n \n \n \n Grant Accountant – Brookhaven, GA Salary\n $60,000–$70,000 base Why This Opportunity Stands Out\n This Grant Accountant opportunity is with a mission-driven organization that values collaboration, accuracy, and financial stewardship. The Grant Accountant will play a key role in supporting grant accounting, month-end close, and financial reporting while partnering with internal teams to ensure compliance and accuracy. \n \n Opportunity to support meaningfu…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3OTk5ODU2MiIsInMiOiJldm5zVlFLdThSRy1GTHhfWWZJWEtRIn0._HjsHxIIJZb0y7FG88A7Rr8PGVfTrwKr8xzACXI5fFI,https://www.adzuna.com/land/ad/5879998562?se=evnsVQKu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=C8FA6D34E75378020A5D4EC852B210C64546FC24,Adzuna::API::Response::Job,-84.340203,2026-09-11T12:49:32Z,,82179.55,5879998562,Grant Accountant- Atlanta,Adzuna::API::Response::Company,CFS,Adzuna::API::Response::Location,"['US', 'Georgia', 'Fulton County', 'Brookhaven']","Brookhaven, Fulton County",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
