salary_min,__CLASS__,salary_is_predicted,latitude,created,longitude,description,salary_max,adref,id,title,redirect_url,category.tag,category.label,category.__CLASS__,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,contract_time,contract_type
34009.26,Adzuna::API::Response::Job,1,26.013,2026-09-13T12:53:37Z,-80.18742,"Your Schedule. Your Goals. Start Delivering with Uber Eats. What is Uber? Uber Eats is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). For a limited time, earn an extra $450 when you complete 45 deliveries in 14 days with Uber Eats.* T&Cs apply. Why Drive With Uber?: Receive your earnings fas…",34009.26,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODEzNDQ1In0.Mx9crFH6yABeTk6QtsZGUQrq-8-l5tT1Rp83DniNVJQ,5882813445,Deliver with Uber - Sign Up and Start Earning,https://www.adzuna.com/land/ad/5882813445?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=78FFE1D9AECDE0C98C1288ADB9993FBCBC9AD95F,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Uber eats,"['US', 'Florida', 'Broward County', 'Hillcrest']",Adzuna::API::Response::Location,"Hillcrest, Broward County",,
27404.64,Adzuna::API::Response::Job,1,47.74092,2026-09-13T12:53:36Z,-116.9448,"Your Schedule. Your Goals. Start Delivering with Uber Eats. What is Uber? Uber Eats is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). For a limited time, earn an extra $450 when you complete 45 deliveries in 14 days with Uber Eats.* T&Cs apply. Why Drive With Uber?: Receive your earnings fas…",27404.64,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4MjgxMzQ0MCIsInMiOiJoaW5iTHBTdjhSRy1GTHhfWWZJWEtRIn0.F9TPyLY82TNLBZMiECrfRzgbnGhbJRMFzAdtURRcYtc,5882813440,Need a gig? Deliver with Uber Eats!,https://www.adzuna.com/land/ad/5882813440?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=C942934E1D721F59FEB6535D9BF5816B79E2D25A,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Uber eats,"['US', 'Idaho', 'Kootenai County', 'Post Falls']",Adzuna::API::Response::Location,"Post Falls, Kootenai County",,
31404.9,Adzuna::API::Response::Job,1,38.5269,2026-09-13T12:52:28Z,-81.63912,"Your Schedule. Your Goals. Start Delivering with Uber Eats. What is Uber? Uber Eats is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). For a limited time, earn an extra $450 when you complete 45 deliveries in 14 days with Uber Eats.* T&Cs apply. Why Drive With Uber?: Receive your earnings fas…",31404.9,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODEzMDUzIn0.LqvfeEsXEZHMSxYq0-bISknmWXIy1DPKAz2HAzZFHwI,5882813053,Need a gig? Deliver with Uber Eats!,https://www.adzuna.com/land/ad/5882813053?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=51EA1DCB1344C8F817AA160E87860B364BAD81F4,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Uber eats,"['US', 'West Virginia', 'Kanawha County', 'Sissonville']",Adzuna::API::Response::Location,"Sissonville, Kanawha County",,
0.0,Adzuna::API::Response::Job,0,37.3063,2026-09-13T12:50:01Z,-121.9221,"Catalytic Solutions is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in San Jose, California. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Start Date: 09/28/2026 Duration: 12 weeks 24 hours per week Shift: 12 hours, nights Employment Type: Travel About Catalytic Solutions At Catalytic Solutions, we’re redefining what healthcare staffing should feel like. We believe outstanding patient care begins with clinicians who feel suppo…",87048.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODEyMDg5In0.4LLzs6TFkXzN1BEmK4kmOmM5fE4MQYhgoQ71D0rc0js,5882812089,"Travel ER Registered Nurse - $1,674 per week",https://www.adzuna.com/land/ad/5882812089?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=0DF1AA6FB9B6B9DE531799C4EB2C8A89D31CD398,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Catalytic Solutions,"['US', 'California', 'Santa Clara County', 'Campbell']",Adzuna::API::Response::Location,"Campbell, Santa Clara County",,
0.0,Adzuna::API::Response::Job,0,35.25788,2026-09-13T12:50:01Z,-87.355776,"Catalytic Solutions is seeking a travel nurse RN Labor and Delivery for a travel nursing job in Lawrenceburg, Tennessee. Job Description & Requirements Specialty: Labor and Delivery Discipline: RN Start Date: 10/05/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel About Catalytic Solutions At Catalytic Solutions, we’re redefining what healthcare staffing should feel like. We believe outstanding patient care begins with clinicians who feel supported, respe…",115336.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODEyMDk2In0.XRDe7WXw8HRxocCTbc2NOw3cWblG_f6CWKnLTUq9aCk,5882812096,"Travel OB/GYN RN - $2,218 per week",https://www.adzuna.com/land/ad/5882812096?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=EDC323DB40E193487C2B1578EAD222C8C7B2E424,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Catalytic Solutions,"['US', 'Tennessee', 'Lawrence County', 'Lawrenceburg']",Adzuna::API::Response::Location,"Lawrenceburg, Lawrence County",,
36370.33,Adzuna::API::Response::Job,1,34.008953,2026-09-13T12:49:20Z,-85.255524,"Your Schedule. Your Goals. Start Delivering with Uber Eats. What is Uber? Uber Eats is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). For a limited time, earn an extra $450 when you complete 45 deliveries in 14 days with Uber Eats.* T&Cs apply. Why Drive With Uber?: Receive your earnings fas…",36370.33,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODExODg3In0.5Qn6a62kBz6T_kj9jxD_zouvuWsyvAKCIm7aiegvv4k,5882811887,Looking For Part-Time Jobs? - Deliver with Uber,https://www.adzuna.com/land/ad/5882811887?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=FDF1EC8FB53E2935BF219531648AFBE2F9C16344,part-time-jobs,Part time Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Uber eats,"['US', 'Georgia', 'Polk County', 'Cedartown']",Adzuna::API::Response::Location,"Cedartown, Polk County",,
83801.0,Adzuna::API::Response::Job,0,41.466737,2026-09-13T12:47:38Z,-74.057355,"Special Education Teacher Location: New Windsor, NY Agency: Centra Healthcare Solutions Pay: $1,746 to $2,054 per week Contract Duration: 37 Weeks Start Date: ASAP About the Role: Centra Healthcare Solutions is seeking a Special Education Teacher for a travel assignment in New Windsor, NY to start ASAP. This assignment is for a 37 weeks contract. This position offers a pay range of $1,745.86 to $2,053.95 per week, depending on experience and qualifications. As a Special Education Teacher, you'l…",98589.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODExMjc3In0.XadN5FD9rXkF9s8fiZ7HN4GfezF9EphXfNYSu9GBFKU,5882811277,"Travel Special Education Teacher (Sped Teacher) - $1,746 to $2,054 per week in New Windsor, NY",https://www.adzuna.com/land/ad/5882811277?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=6696F278E4517BF3E902F872A3038B5E020F5DA1,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Centra Healthcare Solutions,"['US', 'New York', 'Orange County', 'Vails Gate']",Adzuna::API::Response::Location,"Vails Gate, Orange County",full_time,contract
63118.0,Adzuna::API::Response::Job,0,37.63571,2026-09-13T12:47:36Z,-122.0679,"Physical Therapy Assistant Location: Hayward, CA Agency: Centra Healthcare Solutions Pay: $1,315 to $1,547 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 10/19/2026 About the Role: Centra Healthcare Solutions is seeking a Physical Therapy Assistant for a travel assignment in Hayward, CA to start on 10/19/2026. This assignment is for a 13 weeks contract. You will be working 5 days per week, 8 hours per shift and on Days. This position offers a pay ran…",74256.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4MjgxMTI2MSIsInMiOiJoaW5iTHBTdjhSRy1GTHhfWWZJWEtRIn0.tqb81ojwXHchCgbX5veqD-UmHsOfEhbPa5TIIVHA7pg,5882811261,"Travel Physical Therapy Assistant (PTA) - $1,315 to $1,547 per week in Hayward, CA",https://www.adzuna.com/land/ad/5882811261?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=B448EE2B171CA5E65A902E506A0161EB749E4B57,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Centra Healthcare Solutions,"['US', 'California', 'Alameda County', 'Mount Eden']",Adzuna::API::Response::Location,"Mount Eden, Alameda County",full_time,contract
52445.0,Adzuna::API::Response::Job,0,40.245373,2026-09-13T12:47:36Z,-74.277264,"Physical Therapy Assistant Location: Freehold, NJ Agency: Centra Healthcare Solutions Pay: $1,093 to $1,285 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: ASAP About the Role: Centra Healthcare Solutions is seeking a Physical Therapy Assistant for a travel assignment in Freehold, NJ to start ASAP. This assignment is for a 13 weeks contract. You will be working 5 days per week, 8 hours per shift and on Days. This position offers a pay range of $1,092.…",61701.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGluYkxwU3Y4UkctRkx4X1lmSVhLUSIsImkiOiI1ODgyODExMjYwIn0.pAZ9k8McgatMMZyk3XBbuIMWk5yFwUB15Kiw7-9Vmmg,5882811260,"Travel Physical Therapy Assistant (PTA) - $1,093 to $1,285 per week in Freehold, NJ",https://www.adzuna.com/land/ad/5882811260?se=hinbLpSv8RG-FLx_YfIXKQ&utm_medium=api&utm_source=abfa41a4&v=767014AAC1233772F213572EB8895D79D85703D0,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Centra Healthcare Solutions,"['US', 'New Jersey', 'Monmouth County', 'Freehold']",Adzuna::API::Response::Location,"Freehold, Monmouth County",full_time,contract
102010.71,Adzuna::API::Response::Job,1,34.07362,2026-09-13T12:47:34Z,-118.400356,"Job Description Make a Difference Every Single Day at Cedars-Sinai! When the work you do every single day has a crucial impact on the lives of others, every effort, every detail, and every second matters. This shared culture of passion and dedication pulses through Cedars-Sinai, and it’s just one of the many reasons we’ve achieved consecutive Magnet designation for nursing excellence! From working with a team of world-class healthcare professionals to using state-of-the-art facilities, you’ll h…",102010.71,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4MjgxMTIxMiIsInMiOiJoaW5iTHBTdjhSRy1GTHhfWWZJWEtRIn0.u5LxvP2B0VKMHk0GtzQEvNbZAxhpjL97XUhU87jz6ZA,5882811212,Clinical Partner/CNA - 6S Advanced Heart Failure - Full Time - 12hr Days,https://www.adzuna.com/details/5882811212?utm_medium=api&utm_source=abfa41a4,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,CEDARS-SINAI,"['US', 'California', 'Los Angeles County', 'Beverly Hills']",Adzuna::API::Response::Location,"Beverly Hills, Los Angeles County",full_time,
