contract_time,latitude,title,salary_is_predicted,__CLASS__,redirect_url,adref,description,id,salary_min,created,longitude,salary_max,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.area,location.display_name,contract_type
full_time,40.79857,Mental Health Forensic Case Manager – CJS,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961254?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NDk2MTI1NCIsInMiOiJJblF6WlN5eDhSR0dIZUVaUHhVbWF3In0.LQM4pw8OtWYtldCAXzqH6yQncOkS757Tx443I_MsTBI,"MHA promotes mental health and total wellness for individuals facing challenges associated with mental illness and addiction recovery. We increase community awareness while enhancing mental well-being through advocacy, education, prevention, treatment, and services. MHA is seeking a full-time Forensic Case Manager to join our Collaborative Justice Services ! Be a part of the team that makes a difference in the lives of our consumers. Benefits of working at the Mental Health Association: Joining…",5884961254,40483.79,2026-09-15T13:34:46Z,-74.239083,40483.79,Adzuna::API::Response::Company,Mental Health Association,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'West Orange']","West Orange, Essex County",
,34.421205,Electrician with Cerberus Electric,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961237?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NDk2MTIzNyIsInMiOiJJblF6WlN5eDhSR0dIZUVaUHhVbWF3In0.IR6COOOTdltplseO2T52D_hcXxGUFi02JtJGUR5xdN4,Description Supervising new construction of a 911 center. Candidate Requirements High School Diploma Looking for Work Eligible to Work in the US Has Reliable Transportation Driver's License Owns Personal Protective Equipment (PPE)Owns Hand Tools Apply here: https://app.meetladder.com/e/Cerberus-Electric-ieoiRKFwHL/Electrician-Dawsonville-GA-aqc04UxRiL Powered by JazzHR,5884961237,83640.32,2026-09-15T13:34:38Z,-84.11908,83640.32,Adzuna::API::Response::Company,Ladder,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,Adzuna::API::Response::Location,"['US', 'Georgia', 'Dawson County', 'Dawsonville']","Dawsonville, Dawson County",
,42.896896,Looking For Part-Time Jobs? - Deliver with Uber,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5884961236?se=InQzZSyx8RGGHeEZPxUmaw&utm_medium=api&utm_source=abfa41a4&v=69E4A80E2A92A2CD7D1A94150240E0BB5CCEB98F,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSW5RelpTeXg4UkdHSGVFWlB4VW1hdyIsImkiOiI1ODg0OTYxMjM2In0.lTCaoJHYRxcrE7jGHZ8zTlMos-UhigGvhYxrc-6d6CY,"Your Schedule. Your Goals. Start Delivering with Uber Eats. What is Uber? Uber Eats is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). For a limited time, earn an extra $450 when you complete 45 deliveries in 14 days with Uber Eats.* T&Cs apply. Why Drive With Uber?: Receive your earnings fas…",5884961236,35838.95,2026-09-15T13:34:38Z,-85.718958,35838.95,Adzuna::API::Response::Company,Uber eats,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,Adzuna::API::Response::Location,"['US', 'Michigan', 'Kent County', 'Grandville']","Grandville, Kent County",
part_time,41.064475,LPN Part Time Night Shift,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961230?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSW5RelpTeXg4UkdHSGVFWlB4VW1hdyIsImkiOiI1ODg0OTYxMjMwIn0.LJmGoP1k7dnP2iKNL97F72ejAR5aEpC-sJL5kLcWvDA,"Quality Correctional Care (QCC) is a mission-driven organization that provides medical and mental healthcare and addiction recovery services to justice-involved patients. Our approach to patient care is uniquely compassionate and holistic emphasizing dignity, respect, and rehabilitation through effective healthcare. QCC changes the lives of our patients by raising the standard for correctional healthcare to promote sustainable wellness and successful reintegration following release from incarce…",5884961230,77038.67,2026-09-15T13:34:33Z,-85.173858,77038.67,Adzuna::API::Response::Company,Quality Correctional Care,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,Adzuna::API::Response::Location,"['US', 'Indiana', 'Allen County', 'Fort Wayne']","Fort Wayne, Allen County",
,39.104173,Building Trades Journeyman Service Plumber,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961229?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NDk2MTIyOSIsInMiOiJJblF6WlN5eDhSR0dIZUVaUHhVbWF3In0.dp5lpB0yUZAFvklvelxZAaz47BobCYaZ5hf4WvliwDw,"U.S. Engineering has been an industry leader through constant innovation and a commitment to evolving with the needs of our customers. The service industry changes quickly, and we foster a dynamic workplace where every team member — including those just starting their careers — can help improve processes, support our customers, and make a meaningful impact. We know our most valuable asset is our people. Join us! BUILDING TRADES JOURNEYMAN SERVICE PLUMBER In any given year, our people have a han…",5884961229,60162.05,2026-09-15T13:34:31Z,-94.599852,60162.05,Adzuna::API::Response::Company,U.S. Engineering,Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,Adzuna::API::Response::Location,"['US', 'Missouri', 'Jackson County', 'Kansas City']","Kansas City, Jackson County",contract
part_time,42.325358,Library Assistant III - Outreach (Part-time),1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961227?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NDk2MTIyNyIsInMiOiJJblF6WlN5eDhSR0dIZUVaUHhVbWF3In0.oAfjkOtS2QKzWPE1Sxkyn9K5NC7PmrGhQl2KcjjAC2g,"Position: Library Assistant III - Outreach Status: Part-time Salary Range: $16.42 - $17.92 per hour (depending on experience) Summary Performs full scope of para-professional responsibilities in the operation of the Outreach Department of the Library. Essential Duties and Responsibilities The following duties are not exhaustive, and additional tasks may be assigned: Serve as the lead worker for the Reference Department, Youth Services Department, and Branches. Implement new and ongoing programs…",5884961227,38820.8,2026-09-15T13:34:31Z,-121.93658,38820.8,Adzuna::API::Response::Company,Klamath County,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,Adzuna::API::Response::Location,"['US', 'Oregon', 'Klamath County', 'Klamath Falls']","Klamath Falls, Klamath County",
full_time,30.43937,Windchill Backend Developer,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961218?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSW5RelpTeXg4UkdHSGVFWlB4VW1hdyIsImkiOiI1ODg0OTYxMjE4In0.Qx4s9PeXLRJeEts49wW_dk_O4AwgjrDLNZdbxw07h2w,"Bright Vision Technologies is a technology consulting and software development company delivering cloud, AI, data, and enterprise solutions across the United States. This is a fantastic opportunity to join an established and well-respected organization offering tremendous career growth potential. Job Title: Windchill Backend Developer Location: 100% Remote (U.S.) Position Type: Full-time, Direct W2 Salary Range: $120,000–$135,000 Annually Experience Required: 6 years Sponsorship: U.S. Citizens,…",5884961218,109499.25,2026-09-15T13:34:23Z,-97.620004,109499.25,Adzuna::API::Response::Company,Bright Vision Technologies,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Pflugerville']","Pflugerville, Travis County",
full_time,30.43937,Windchill/Teamcenter Specialist,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961220?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSW5RelpTeXg4UkdHSGVFWlB4VW1hdyIsImkiOiI1ODg0OTYxMjIwIn0.u6-b1D2f3pfEahHoULm-iAQodHfDqX_epChdouYUnd8,"Bright Vision Technologies is a technology consulting and software development company delivering cloud, AI, data, and enterprise solutions across the United States. This is a fantastic opportunity to join an established and well-respected organization offering tremendous career growth potential. Job Title: Windchill/Teamcenter Specialist Location: 100% Remote (U.S.) Position Type: Full-time, Direct W2 Salary Range: $120,000–$140,000 Annually Experience Required: 6 years Sponsorship: U.S. Citiz…",5884961220,81196.81,2026-09-15T13:34:23Z,-97.620004,81196.81,Adzuna::API::Response::Company,Bright Vision Technologies,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Pflugerville']","Pflugerville, Travis County",
full_time,30.578806,Software Security Engineer,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961210?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSW5RelpTeXg4UkdHSGVFWlB4VW1hdyIsImkiOiI1ODg0OTYxMjEwIn0.ZU3ASs0PG6lJIJWcmwrOYx1ZMRALcY2MNy-ouQ0DoPk,"Bright Vision Technologies is a technology consulting and software development company delivering cloud, AI, data, and enterprise solutions across the United States. This is a fantastic opportunity to join an established and well-respected organization offering tremendous career growth potential. Job Title: Software Security Engineer Location: 100% Remote (U.S.) Position Type: Full-time, Direct W2 Salary Range: $145,000–$165,000 Annually Experience Required: 6 years Sponsorship: U.S. Citizens, …",5884961210,124770.7,2026-09-15T13:34:22Z,-97.853069,124770.7,Adzuna::API::Response::Company,Bright Vision Technologies,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"['US', 'Texas', 'Williamson County', 'Leander']","Leander, Williamson County",
full_time,,Staff Applications Engineer,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5884961212?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSW5RelpTeXg4UkdHSGVFWlB4VW1hdyIsImkiOiI1ODg0OTYxMjEyIn0.NK0hzofKjxXVPompQZkM3-7NH4_PpRa0rerAo7V0N9w,"Bright Vision Technologies is a technology consulting and software development company delivering cloud, AI, data, and enterprise solutions across the United States. This is a fantastic opportunity to join an established and well-respected organization offering tremendous career growth potential. Job Title: Staff Applications Engineer Location: 100% Remote (U.S.) Position Type: Full-time, Direct W2 Salary Range: $150,000–$190,000 Annually Experience Required: 10 Years Sponsorship: U.S. Citizens…",5884961212,190674.55,2026-09-15T13:34:22Z,,190674.55,Adzuna::API::Response::Company,Bright Vision Technologies,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,['US'],US,
