adref,title,redirect_url,id,salary_is_predicted,salary_max,salary_min,description,created,__CLASS__,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,latitude,longitude,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyODEyNCIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.G32I9KxDtjalPAMoaRFTajGqgbkS2FTaBxzyOG2ro6s,IT Trainer,https://www.adzuna.com/land/ad/5886528124?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=4FCEBDE566518513041BEAED8AC65E58774630C4,5886528124,1,74001.85,74001.85,"Job Description Job Description Job Title: Technical Trainer Department: IT IT Reports to: IT Manager Summary: The Technical Trainer will lead the development and maintenance of all training materials in a firm knowledge management system related to the firm’s usage of hardware and technology. Work closely with all departments in determining training needs and holding training, scheduled or ad hoc, as needed. The ideal candidate will have experience in Microsoft environments, be an excellent co…",2026-09-16T13:29:14Z,Adzuna::API::Response::Job,it-jobs,Adzuna::API::Response::Category,IT Jobs,Ursitti Enterprises LLC,Adzuna::API::Response::Company,"Chicago, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Chicago']",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MTE2In0.lu9Ph7L2j2muKb2hmAkzhYO4qDqXN6AFCJlWOx7D82g,maintenance mastermind,https://www.adzuna.com/land/ad/5886528116?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=AEA4AC53439BA1BAF19BDDFFA3C182CD3425B629,5886528116,1,45811.41,45811.41,"Job Description Job Description re you a jack-of-all-trades who actually masters them? Do you look at a leaky faucet and say, ""Not on my watch""? If you've got the tools, the talent, and the drive to keep things running like a well-oiled machine, Spherion Spokane wants to talk to you! We are looking for a Maintenance Technician to join the team. You won't just be managing contractors from a desk; you'll be the hands-on hero ensuring our properties are safe, functional, and looking sharp. Respons…",2026-09-16T13:29:13Z,Adzuna::API::Response::Job,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,SPHERION SPOKANE,Adzuna::API::Response::Company,"Spokane, Spokane County",Adzuna::API::Response::Location,"['US', 'Washington', 'Spokane County', 'Spokane']",47.660072,-117.431627,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDUzIn0.in4P9T3AiNd7S16ZLQz-1vzrR4K91VSA-dAXjtwiUck,Chief Financial Officer,https://www.adzuna.com/land/ad/5886528053?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=2EA08FDC87741C09A076A695C90F8F2D0808F0DE,5886528053,1,102061.7,102061.7,"Job Description Job Description Apply Here: https://secure.onehcm.com/ta/Simpson.jobs?ShowJob=755123465 & TrackId=ZipRecruiter As a member of the executive leadership team, the chief financial officer position is accountable for the financial and risk management operations of the University, including the development of a financial strategy, metrics tied to that strategy, and the ongoing development and monitoring of control systems designed to preserve University assets and report accurate fin…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Simpson University,Adzuna::API::Response::Company,"Redding, Shasta County",Adzuna::API::Response::Location,"['US', 'California', 'Shasta County', 'Redding']",40.624664,-122.465895,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyODA3NSIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.NDwWKnLZ7RKoQG9UU3bHFIKOkwPFDiPzfdTRvytkI5Y,Experienced Sales Executive - Risk Management,https://www.adzuna.com/land/ad/5886528075?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=58BA3BA456972CBF760CB5BD6D4A2AEC1C6B32C0,5886528075,1,99870.92,99870.92,"Job Description Job Description We are seeking an experienced Risk Management Insurance Broker with at least 3 years' experience of B2B sales in the P&C space. This role will be responsible for providing expert advice and guidance to clients in navigating the complex landscape of insurance and connected programs. Individuals who apply should possess: Proven experience and success as an insurance broker, with a focus on property & casualty sales. A strong understanding of insurance and risk mana…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Cottingham & Butler,Adzuna::API::Response::Company,"Dubuque, Dubuque County",Adzuna::API::Response::Location,"['US', 'Iowa', 'Dubuque County', 'Dubuque']",42.558964,-90.696098,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MTAwIn0.aHyy_xYpiBL0h73BiMyIWXVFhR0vEew84p6EvWlVnLU,Track Supervisor,https://www.adzuna.com/land/ad/5886528100?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=34BB2074BF709DFE685FA9A585932F411B0F816E,5886528100,1,27990.49,27990.49,"Job Description Job Description Do you have the need for speed? Do you thrive in a fast paced, energetic work environment that focuses on serving our customers? If so, K1 Speed is the place for you. As the nation’s indoor electric karting leader and innovator for over the past decade, K1 Speed does not compromise on the quality and value of the product we offer. Through our industrial go-karts and excellent staff, our passion is to show the world how fun karting can actually be. As a Shift Supe…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,K-1 Speed Inc,Adzuna::API::Response::Company,"Las Vegas, Clark County",Adzuna::API::Response::Location,"['US', 'Nevada', 'Clark County', 'Las Vegas']",35.920884,-115.165201,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyODExMSIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.hbjnz7QBfWE49gjRsoYJRCsS3-MW0YX8bAPiDJnho-I,HVAC Service Technician,https://www.adzuna.com/land/ad/5886528111?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=DBA2A139E52A68C421F981241204E8124F669ADD,5886528111,1,68547.0,68547.0,Job Description Job Description Benefits: 401(k) 401(k) matching Company car Company parties Competitive salary Dental insurance Free uniforms Health insurance Paid time off Signing bonus Vision insurance Bonus based on performance Free food & snacks Opportunity for advancement Training & development HVAC Techs: Make Great $$$ Working for a Company You’ll LOVE! You’re looking for a job for a reason. You’re tired of where you’re working. Maybe you don’t feel like you’re getting paid what you des…,2026-09-16T13:29:12Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Polar Express Heating and Air Conditioning Inc.,Adzuna::API::Response::Company,"Lake Elsinore, Riverside County",Adzuna::API::Response::Location,"['US', 'California', 'Riverside County', 'Lake Elsinore']",33.623306,-117.396752,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDkwIn0.TtPyYApK574Qn4TEOwtZw6VDIXmtAidpl4PhfD3pDwk,"R253017 Sales Consultant - Antlers, Hugo, Idabel, Broken Bow, Hotchatown",https://www.adzuna.com/land/ad/5886528090?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=92A8C5E79807BFF34196D05D7680933A82E89791,5886528090,1,50471.04,50471.04,"Job Description Job Description Territory: Broken Bow, Hugo, Antlers, and Idabel, Oklahoma Residency Requirement: The candidate must reside within 30 miles of the defined territory. Are you an experienced Sales Professional, Restaurant Manager, Culinary Manager or Chef looking for career development opportunities? Join Sysco’s World Class Sales Team and explore all the benefits and perks. Why you should join our Sales Team: Competitive base salary, bonus, plus promotional incentive opportunitie…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Sysco,Adzuna::API::Response::Company,"Longview, Gregg County",Adzuna::API::Response::Location,"['US', 'Texas', 'Gregg County', 'Longview']",32.511106,-94.722579,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyODA2MSIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.p88qhJFbtR36-SeULTkcP3Dj2zw4EzufL4RD-yRsmNU,Delivery Driver - Building Supplies / Construction Materials,https://www.adzuna.com/land/ad/5886528061?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=2BF8C47E3AE169C821954A90AAC3E5FE6FE4DB20,5886528061,1,59770.65,59770.65,"Job Description Job Description Belden Architectural Elements is a 100% employee-owned distributor of masonry and building products, servicing the commercial and residential construction market throughout the state of Michigan. We value our long-standing relationship with our industry partners, evolving quality product lines, premier indoor and outdoor showrooms, experienced team, and longtime industry heritage. We are seeking an experienced Delivery Driver, based out of their Distribution Cent…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Belden Architectural Elements,Adzuna::API::Response::Company,"Comstock Park, Kent County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Kent County', 'Comstock Park']",43.038637,-85.670033,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4NjUyODA4NyIsInMiOiJLRHhiTl9XeDhSR1JyX0pvblNZR3JnIn0.iFLINORiBZ0mWUd3VmulLHKq2MhuRXutbN5q-nkYv4o,Micro Lab Assistant,https://www.adzuna.com/land/ad/5886528087?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=8918FFA2AF3B0AA31862CCDD151FCEAD4E831309,5886528087,1,55515.02,55515.02,"Job Description Job Description Certified Group is committed to partnering with customers to deliver innovative scientific solutions and expertise – So The World Can Trust In What It Consumes™. Our network of 30 North American and European laboratories serves the food & beverage, dietary supplements, cosmetics, OTC, tobacco/nicotine, cannabis, and hemp industries. Our Brands Certified Group is comprised of a set of specialized brands that collectively deliver laboratory testing, regulatory cons…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Certified Group,Adzuna::API::Response::Company,"Aurora, Kane County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Kane County', 'Aurora']",41.75799,-88.294768,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS0R4Yk5fV3g4UkdScl9Kb25TWUdyZyIsImkiOiI1ODg2NTI4MDcyIn0.sWf8d61rDRl-fv9pIBEt3W9zXMN4O9h0HZWHAO8jk7Y,Paralegal,https://www.adzuna.com/land/ad/5886528072?se=KDxbN_Wx8RGRr_JonSYGrg&utm_medium=api&utm_source=abfa41a4&v=08F1EACC8482309D2F1D1AFF77237EA70FC1A68F,5886528072,1,60246.91,60246.91,"Job Description Job Description Science is the key to BRC’s approach and our purpose is to champion integrity and objectivity in the expert industry while also making BRC the best place we have ever worked. BRC's work environment is collegial and challenging with a team that includes not only paralegals but also physicians, engineers, nurses and other professionals. This position is computer-based work and the training and work is done remotely and includes the management of multiple cases. BRC…",2026-09-16T13:29:12Z,Adzuna::API::Response::Job,legal-jobs,Adzuna::API::Response::Category,Legal Jobs,BRC,Adzuna::API::Response::Company,"San Antonio, Bexar County",Adzuna::API::Response::Location,"['US', 'Texas', 'Bexar County', 'San Antonio']",29.46357,-98.522671,,
