salary_is_predicted,latitude,salary_max,id,created,contract_type,title,__CLASS__,salary_min,adref,redirect_url,description,contract_time,longitude,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.display_name,location.area,company.display_name,company.__CLASS__
0,38.658198,29120.0,5891930094,2026-09-20T12:35:23Z,permanent,Maternity Leave Sub,Adzuna::API::Response::Job,20800.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MTkzMDA5NCIsInMiOiI1dDZqeHhLMThSR1NJNTdnWXVEMTJnIn0.Q7W7fVCvSBxXzgKFKbnJpU3HFrw8Gimc_Rq_9qJ4tXE,https://www.adzuna.com/details/5891930094?utm_medium=api&utm_source=abfa41a4,"About This Role We are seeking a compassionate and energetic Ones Teacher Helper to join our early childhood education team in Washington, IN. In this role, you will support the lead teacher in creating a safe, nurturing, and stimulating environment tailored to the unique developmental needs of one-year-old toddlers. You will play a vital role in fostering early milestones through interactive play, structured routines, and attentive daily care. This maternity leave coverage could lead to full-t…",part_time,-87.172488,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,Adzuna::API::Response::Location,"Washington, Daviess County","['US', 'Indiana', 'Daviess County', 'Washington']",Foundations Childcare Ministry,Adzuna::API::Response::Company
0,33.3604,37440.0,5891930088,2026-09-20T12:35:22Z,permanent,Teacher (2-year old),Adzuna::API::Response::Job,31512.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXQ2anh4SzE4UkdTSTU3Z1l1RDEyZyIsImkiOiI1ODkxOTMwMDg4In0._vsGAWUid_0cN-2xjN0ecQmvmgba4792Rbz5caQbSVY,https://www.adzuna.com/details/5891930088?utm_medium=api&utm_source=abfa41a4,"About This Role We are looking for a lead teacher to add to our team for our 2 year-old classroom. The Teacher is responsible for developing a cohesive teaching team, coordinating the curriculum, and managing the day-to-day operational activities of the classroom. Teachers must understand children's cognitive, social, emotional and physical development in order to ensure a safe and stimulating classroom environment where children are actively engaged and encouraged to succeed. The Teacher must …",full_time,-111.7497,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,Adzuna::API::Response::Location,"Higley, Maricopa County","['US', 'Arizona', 'Maricopa County', 'Higley']",Giggle and Grow Preschool,Adzuna::API::Response::Company
0,36.197863,37440.0,5891930090,2026-09-20T12:35:22Z,permanent,Preschool Assistant Teacher/ Floater (Infant to Advanced pre-K),Adzuna::API::Response::Job,34320.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXQ2anh4SzE4UkdTSTU3Z1l1RDEyZyIsImkiOiI1ODkxOTMwMDkwIn0.eFkP3iXtPmpHHwi09NGnkeQHOAc2tC_W8KM20pa5ixA,https://www.adzuna.com/details/5891930090?utm_medium=api&utm_source=abfa41a4,"About This Role The Assistant Teacher supports the Teachers and the Director by helping to create a caring and safe environment for the children and assists in activities to improve the overall care and quality of education. S/he must be able to communicate, listen and work well with others in a team environment. Assisting the staff in implementing a quality educational program and in developing positive relationships with the children and their parents, the assistant teacher observes and docum…",full_time,-86.510734,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,Adzuna::API::Response::Location,"Mount Juliet, Wilson County","['US', 'Tennessee', 'Wilson County', 'Mount Juliet']",Children's Lighthouse of Mt. Juliet,Adzuna::API::Response::Company
0,42.69468,37440.0,5891930089,2026-09-20T12:35:22Z,permanent,Childcare Cook,Adzuna::API::Response::Job,31200.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXQ2anh4SzE4UkdTSTU3Z1l1RDEyZyIsImkiOiI1ODkxOTMwMDg5In0._mpJgsAyXpxRobSjDLFL2s-LDqSdlUO95IkTzI0OIco,https://www.adzuna.com/details/5891930089?utm_medium=api&utm_source=abfa41a4,"About This Role About This Role We are seeking a dedicated Childcare Cook in Racine, WI to prepare nutritious, well-balanced meals and snacks for children in a safe, caring, and healthy environment according to licensing, Youngstar and CACFP standards. Hours part time Monday through Friday 7am to 1pm. What You'll Do Plan and prepare daily meals and snacks adhering to nutritional guidelines and dietary restrictions. Maintain a clean, sanitized, and organized kitchen according to state licensing …",part_time,-87.8307,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs,Adzuna::API::Response::Location,"Mount Pleasant, Racine County","['US', 'Wisconsin', 'Racine County', 'Mount Pleasant']",Racine County Opportunity Center,Adzuna::API::Response::Company
0,34.767374,23920.0,5891930087,2026-09-20T12:35:22Z,permanent,Toddler Teacher,Adzuna::API::Response::Job,22880.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXQ2anh4SzE4UkdTSTU3Z1l1RDEyZyIsImkiOiI1ODkxOTMwMDg3In0.Njx-wK1UAv3iQ1RYAoF0S5GfQ403o19PKJ2t4i5buSo,https://www.adzuna.com/details/5891930087?utm_medium=api&utm_source=abfa41a4,"About This Role About Us: Upstate Children's Center of Walhalla, Inc. is a family owned business in Walhalla, SC. We offer a family friendly environment and strive to provide the best opportunities to our staff and families. Age Group: 1 year olds Shift: Monday-Friday 6:45 AM-3:45 PM We are seeking a dedicated teacher to join our team. The ideal candidate will have a passion for working with children and creating a nurturing learning environment. What You'll Do Provide care and supervision to c…",full_time,-83.064165,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,Adzuna::API::Response::Location,"Walhalla, Oconee County","['US', 'South Carolina', 'Oconee County', 'Walhalla']","Upstate Children's Center of Walhalla, Inc.",Adzuna::API::Response::Company
0,33.01621,33280.0,5891930058,2026-09-20T12:35:20Z,permanent,Toddler Teacher,Adzuna::API::Response::Job,29120.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXQ2anh4SzE4UkdTSTU3Z1l1RDEyZyIsImkiOiI1ODkxOTMwMDU4In0.pCUCvdHGjlc9rVlL0hSbALm1aCq5Xq3ChRXEU1yHbFM,https://www.adzuna.com/details/5891930058?utm_medium=api&utm_source=abfa41a4,"About This Role Responsible for maintaining a joy-filled, faith-integrated environment where children feel safe to explore the world around them through STEAM (Science, Technology, Engineering, Art, and Math) learning and play, the Toddler Teacher ensures a safe and nurturing classroom environment for infants and toddlers. While the Toddler Teacher maintains a structured, developmentally appropriate classroom, the Toddler Teacher must also prioritize building healthy, loving relationships with …",full_time,-80.211407,Teaching Jobs,Adzuna::API::Response::Category,teaching-jobs,Adzuna::API::Response::Location,"Lincolnville, Dorchester County","['US', 'South Carolina', 'Dorchester County', 'Lincolnville']",The Net Learning Lab,Adzuna::API::Response::Company
1,37.350211,138374.62,5891928949,2026-09-20T12:34:04Z,,Java Backend Engineer,Adzuna::API::Response::Job,138374.62,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MTkyODk0OSIsInMiOiI1dDZqeHhLMThSR1NJNTdnWXVEMTJnIn0.mUh3f5ehpkekO7a0hNn4_a_NztQNtZ22xJmmn6mEtQE,https://www.adzuna.com/land/ad/5891928949?se=5t6jxxK18RGSI57gYuD12g&utm_medium=api&utm_source=abfa41a4&v=EA353DA7DC51B4CDB63E6F81C695ABBF9B1341C5,"Job Details Job ID: 26-01649 Location: Sunnyvale, CA Work Setting: Hybrid Employment Information Hire Type: Contract Position Type: Full time Pay Annual: $120K- $130K Pay Type: FTE Additional Information Travel Percentage: Not specified Allow Staffing Firms & Recruiters: No Provide Sponsorship: No Location: Sunnyvale, CA Shift: Monday - Friday - 8am-5pm Experience Experience in Java-based distributed, highly scalable e-commerce backend system design and development using Kafka, REST APIs, No-SQ…",,-122.032489,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"Cupertino, Santa Clara County","['US', 'California', 'Santa Clara County', 'Cupertino']",BayOne Solutions,Adzuna::API::Response::Company
1,37.3063,94033.33,5891928946,2026-09-20T12:34:04Z,,Business Operations Coordinator,Adzuna::API::Response::Job,94033.33,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MTkyODk0NiIsInMiOiI1dDZqeHhLMThSR1NJNTdnWXVEMTJnIn0.MRVVS2E7r8tAUaCOiH1T1yrssVCl7q3YoHSDkR4yqD4,https://www.adzuna.com/land/ad/5891928946?se=5t6jxxK18RGSI57gYuD12g&utm_medium=api&utm_source=abfa41a4&v=76C18A518D9EFAD86FD61C03C97D24E0BEFA681E,"Job Title: Business Operations Coordinator Introduction: The Business Operations Coordinator - Engineering Org Ops role based in San Jose, CA is a key position within the team responsible for supporting cross-functional planning, reporting, events/cadence, and AI-enabled workflow improvements. The ideal candidate will have a strong operational background and be enthusiastic about driving change and facilitating collaboration across the organization. Responsibilities: Lead employee hiring proces…",,-121.9221,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"Campbell, Santa Clara County","['US', 'California', 'Santa Clara County', 'Campbell']",BayOne Solutions,Adzuna::API::Response::Company
1,38.597464,70966.48,5891916508,2026-09-20T12:28:27Z,,Financial Cash Control Team Lead - Remote CA,Adzuna::API::Response::Job,70966.48,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MTkxNjUwOCIsInMiOiI1dDZqeHhLMThSR1NJNTdnWXVEMTJnIn0.rkDKbgPNepw8AeS7tNo2WaVEFFTRu4IB-o4vrUlaFNk,https://www.adzuna.com/details/5891916508?utm_medium=api&utm_source=abfa41a4,"Great companies need great teams to propel their operations. Join the group that solves business challenges and enhances the way we work and grow. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values your contributions and puts a premium on work flexibility, learning, and career development. Summary Gainwell Technologies is seeking an experienced Financial Cash Control Team Lead to support financial operations for California…",,-121.531291,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,Adzuna::API::Response::Location,"West Sacramento, Yolo County","['US', 'California', 'Yolo County', 'West Sacramento']",Gainwell Technologies LLC,Adzuna::API::Response::Company
1,38.597464,54784.54,5891916457,2026-09-20T12:28:27Z,,"Fulfillment Supervisor - Onsite - West Sacramento, CA",Adzuna::API::Response::Job,54784.54,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXQ2anh4SzE4UkdTSTU3Z1l1RDEyZyIsImkiOiI1ODkxOTE2NDU3In0.6ssniupgHZvafJnHWJ9NTy3OoroNAzbD7224HxcDqPU,https://www.adzuna.com/details/5891916457?utm_medium=api&utm_source=abfa41a4,"Great companies need great teams to propel their operations. Join the group that solves business challenges and enhances the way we work and grow. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values your contributions and puts a premium on work flexibility, learning, and career development. Summary Gainwell Technologies is seeking an experienced Fulfillment Supervisor to support operations for California’s Medi-Cal program …",,-121.531291,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,Adzuna::API::Response::Location,"West Sacramento, Yolo County","['US', 'California', 'Yolo County', 'West Sacramento']",Gainwell Technologies LLC,Adzuna::API::Response::Company
