__CLASS__,salary_is_predicted,adref,title,description,longitude,redirect_url,id,salary_max,latitude,salary_min,created,category.tag,category.__CLASS__,category.label,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,contract_time,contract_type
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MzA2MzY0OCIsInMiOiJZUDFxbU91MThSR3l4cUVEcWtsQ1ZRIn0.kIlxxLP4t5qmXCxY5xbddj1MMjxz2jO-C92xtuaLkoI,Instacart Shopper - Delivery Driver,"Job Description FULL-SERVICE SHOPPER \n Start earning quickly with a flexible schedule \n Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. \n Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. \n As a full-service shopper, you’ll receive orders through the Shopper ap…",-78.70794,https://www.adzuna.com/land/ad/5893063648?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=1E636A3883EB42CAB3FE1DD8EB1A865B4EC00232,5893063648,77833.8,42.90162,77833.8,2026-09-21T14:27:14Z,domestic-help-cleaning-jobs,Adzuna::API::Response::Category,Domestic help & Cleaning Jobs,Adzuna::API::Response::Location,"Depew, Erie County","['US', 'New York', 'Erie County', 'Depew']",Adzuna::API::Response::Company,Instacart Shoppers,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVAxcW1PdTE4Ukd5eHFFRHFrbENWUSIsImkiOiI1ODkzMDYzNjI5In0.KkGg1uCMspHTCW-PEJtF3wketAV80PWDMLUR5rUAQKs,Company Driver CDL-A OTR,"Job Description Job Description Job Requirements: Valid CDL-A 2 Years recent experience - NO EXCEPTIONS - Insurance Requirement Job Description: Pay: Starts at $0.60per mile (increase after 60 days) Position: Full-Time DriverNo Touch Freight Talking directly to a driver not a recruiter Why Drive with JK Incorporated? Start at $0.60 per mile, with pay increase after your first 2 months in Consistent miles and dependable routes Weekly pay (direct deposit available) Supportive team that treats dri…",-73.788969,https://www.adzuna.com/land/ad/5893063629?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=8A8FEB602651D05DB97F8A9061D4A4DE0468F71E,5893063629,70521.6,40.91969,70521.6,2026-09-21T14:27:08Z,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Location,"New Rochelle, Westchester County","['US', 'New York', 'Westchester County', 'New Rochelle']",Adzuna::API::Response::Company,JK INC,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MzA2MzYyOCIsInMiOiJZUDFxbU91MThSR3l4cUVEcWtsQ1ZRIn0.Jf39LM6WavxZPoagzdvIRVB7qFt6Y-VSFp9bj9obqV0,"CDL-A Auto Haulers Needed: Earn $70,000-$120,000 per year, Regional and OTR Routes Available, Home","Job Description Job Description Join Our Team: Drive the Future of Auto Logistics! What We Offer: $70k–$120k annual earnings potential (percentage pay) Consistent home time depending on lane (local, regional long-haul available) Late-model trucks with easy-to-use straps and hydraulics, new trucks added annually Paid orientation Generous performance and damage-free bonus opportunities; we want the best driversand we want them to maximize their earning potential! Scheduled pay increases for lengt…",-81.508732,https://www.adzuna.com/land/ad/5893063628?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=A44B405BDD0D89C60215F5EBC26CCDA446C3164E,5893063628,85573.75,41.464498,85573.75,2026-09-21T14:27:08Z,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Location,"Beachwood, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Beachwood']",Adzuna::API::Response::Company,Proficient Auto Transport,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MzA2MzYyMyIsInMiOiJZUDFxbU91MThSR3l4cUVEcWtsQ1ZRIn0.U6zSR7kInS1SyhCQtbkdmtKG4rgNK87_aFiJxg4DJTw,RN PER DIEM I,"Job Description \n \n RN PER DIEM – All Progressive Care Units (PCU) – Day & Night Shifts - University of New Mexico Hospital – Albuquerque \n \n We have immediate RN Per Diem hiring across our PCU departments. \n Apply and we will have a hiring manager contact you within 48 hours to discuss your interests and placement. \n \n \n \n Receive 17% Weekday Nights, 26% Weekend Nights and 15% Weekend Day shift differentials \n \n Compensation Disclaimer \n \n Compensation for this role is based on a …",-105.900011,https://www.adzuna.com/land/ad/5893063623?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=1F806F2CF7027548D40C624FC9ABB797DC4BCE51,5893063623,72702.55,35.818894,72702.55,2026-09-21T14:27:01Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"Chupadero, Santa Fe County","['US', 'New Mexico', 'Santa Fe County', 'Chupadero']",Adzuna::API::Response::Company,University of New Mexico - Hospitals,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MzA2MzYyMSIsInMiOiJZUDFxbU91MThSR3l4cUVEcWtsQ1ZRIn0.8x3AmZSdpNHRDZxP3ta407ZLdhNzm_ugAhN_Dl9H5vo,"Senior Auto Appraiser - Field for Bryan-College Station, TX Area","Job Description Why USAA? \n At USAA, our mission is to empower our members to achieve financial security through highly competitive products, exceptional service and trusted advice. We seek to be the 1 choice for the military community and their families. \n \n Embrace a fulfilling career at USAA, where our core values – honesty, integrity, loyalty and service – define how we treat each other and our members. Be part of what truly makes us special and impactful. \n \n We are proud to support a…",-96.349128,https://www.adzuna.com/land/ad/5893063621?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=25DC3C1EBEBDB87BB0086E1E03B0144D78CE738D,5893063621,67204.77,30.611056,67204.77,2026-09-21T14:27:01Z,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Adzuna::API::Response::Location,"College Station, Brazos County","['US', 'Texas', 'Brazos County', 'College Station']",Adzuna::API::Response::Company,USAA,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVAxcW1PdTE4Ukd5eHFFRHFrbENWUSIsImkiOiI1ODkzMDYzNjIyIn0.XuXNoh-PySFLUdXSLdXRUfYeUPNoa5m-Bs4zRNqq3Sc,Senior Endur Coordinator and Business Analyst,"Job Description Requisition ID  174429 \n \n Job Category: Information Technology \n Job Level: Individual Contributor \n Business Unit: Technology & Security \n Work Type: Hybrid \n Job Location: Oakland \n \n \n \n \n Department Overview \n \n The Energy Trading and Risk Management (ETRM) and Power Generation (PGEN) Team, under the Applications and Operations organization, supports the applications that enable the people and processes that work in Energy Procurement, Market and Credit Risk Ma…",-122.269073,https://www.adzuna.com/land/ad/5893063622?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=7DC36272C6A679C18A9462F6A18C84A449AF43B8,5893063622,135574.42,37.81018,135574.42,2026-09-21T14:27:01Z,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Adzuna::API::Response::Location,"Philatelic, Alameda County","['US', 'California', 'Alameda County', 'Philatelic']",Adzuna::API::Response::Company,PG&E Corporation,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVAxcW1PdTE4Ukd5eHFFRHFrbENWUSIsImkiOiI1ODkzMDYzNjI0In0.bUCSJ7pdUGtM9RvUWSVjxvn1MGUTsHZlN7Ras_Hio4w,Certified Pharmacy Technician,"Job Description \n In accordance with state and federal regulations, assists the pharmacist, under direct supervision, in the practice of pharmacy. Assists the pharmacist in the performance of other Pharmacy Department duties in accordance with Company policies and procedures. \n Responsible for using pharmacy systems to obtain patient and drug information and process prescriptions. If PTCB certified, assists with and coaches pharmacy technicians in the operation of pharmacy systems and cashier…",-87.040925,https://www.adzuna.com/land/ad/5893063624?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=102EC59368B8A85980A90E6D3C8D36636465A834,5893063624,28517.22,35.622793,28517.22,2026-09-21T14:27:01Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"Columbia, Maury County","['US', 'Tennessee', 'Maury County', 'Columbia']",Adzuna::API::Response::Company,Walgreens,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MzA2MzYxOSIsInMiOiJZUDFxbU91MThSR3l4cUVEcWtsQ1ZRIn0.BHfr5vgowp35eQ8bH8VPVcaAJCmBaGeQjF1bk3zB47c,Part-Time Fulfillment & Warehouse Specialist,"Job Description As a global marketing experience company, Quad’s goal is to help our clients win every day. We use our data-driven integrated marketing and manufacturing platform to streamline solutions for our clients, reduce friction and enhance their marketing spend effectiveness. We’ve built a rich legacy by believing in our people, allowing them to act like owners and to take charge of their own success. Whether an operator, sales rep, a graphic artist or a clinician, we’re all driven to p…",-88.630518,https://www.adzuna.com/land/ad/5893063619?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=E43F63EF6B6F1C4EF3D69801B46DAEC943CF00B4,5893063619,46902.89,43.449775,46902.89,2026-09-21T14:27:00Z,part-time-jobs,Adzuna::API::Response::Category,Part time Jobs,Adzuna::API::Response::Location,"Horicon, Dodge County","['US', 'Wisconsin', 'Dodge County', 'Horicon']",Adzuna::API::Response::Company,Quad,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MzA2MzYxNiIsInMiOiJZUDFxbU91MThSR3l4cUVEcWtsQ1ZRIn0._ZOQ550OsJY4jmSb-n8sczFg0lX3AaLmsWq-XcdxYzY,LPN Homecare,"Job Description \n \n Salary: $25 - $28 / per hour\n \n \n \n \n \n \n Maxim Healthcare is hiring for a Licensed Practical Nurse (LPN) in Centerburg, OH area to work with a young adult patient in their homes! Full-time, part-time and PRN positions are available for DAY SHIFTS! \n \n \n \n \n \n \n \n \n Why Join Maxim: \n \n \n \n Competitive pay & weekly paychecks \n Health, dental, vision, and life insurance \n 401(k) savings plan \n Awards and recognition programs \n \n \n \n Responsibilitie…",-82.687217,https://www.adzuna.com/land/ad/5893063616?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=A0F98C5A3AC249B3DDBD6FD9DDD859431019AA24,5893063616,111796.27,40.311226,111796.27,2026-09-21T14:26:59Z,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Adzuna::API::Response::Location,"Centerburg, Knox County","['US', 'Ohio', 'Knox County', 'Centerburg']",Adzuna::API::Response::Company,Maxim Healthcare Services,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVAxcW1PdTE4Ukd5eHFFRHFrbENWUSIsImkiOiI1ODkzMDYzNjE0In0.CM-KEsihaHvSQchIhD_DnwkUBsI0mqC6emPTeNK2Nrk,Team Member,"Job Description We’re glad you’re here. Think about it – you and us? Sounds like it could be a match made in the meat heavens. If you’re here for benefits and perks such as: \n \n Weekly Pay \n Flexible Schedule \n Shift Meal Discount and Family Dining Discount* \n Best-in-Class Training & Continuous Learning \n Advancement Opportunities \n Referral Bonus Program \n Medical, Dental, Vision* \n 401(k) Retirement Program* \n Paid Time Off* \n Well-Being Program* \n Employee Assistance Program* \n…",-85.701674,https://www.adzuna.com/land/ad/5893063614?se=YP1qmOu18RGyxqEDqklCVQ&utm_medium=api&utm_source=abfa41a4&v=5DDB6C3FE7BC215929B4F174D2C39859E6FD9A3B,5893063614,26796.05,34.435834,26796.05,2026-09-21T14:26:59Z,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Adzuna::API::Response::Location,"Fort Payne, DeKalb County","['US', 'Alabama', 'DeKalb County', 'Fort Payne']",Adzuna::API::Response::Company,Arby's,,
