title,__CLASS__,salary_is_predicted,adref,salary_max,latitude,redirect_url,salary_min,id,description,longitude,created,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.label,category.tag,category.__CLASS__,contract_time,contract_type
Assistant Store Manager,Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgzMzI4In0.cXGhQcmPf4lf_dgYLIJoeHNEZ9dgKC2h_7m3b5HGph0,74259.05,39.90163,https://www.adzuna.com/details/5894183328?utm_medium=api&utm_source=abfa41a4,74259.05,5894183328,"Job Description TJ Maxx\n At TJX Companies, every day brings new opportunities for growth, exploration, and achievement. You’ll be part of our vibrant team that embraces diversity, fosters collaboration, and prioritizes your development. Whether you’re working in our four global Home Offices, Distribution Centers or Retail Stores—TJ Maxx, Marshalls, Homegoods, Homesense, Sierra, Winners, and TK Maxx, you’ll find abundant opportunities to learn, thrive, and make an impact. Come join our TJX fami…",-86.07032,2026-09-22T13:25:53Z,"['US', 'Indiana', 'Marion County', 'Castleton']",Adzuna::API::Response::Location,"Castleton, Marion County",TJX Companies,Adzuna::API::Response::Company,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,,
Package Handler - Part Time (Warehouse like),Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4MzMyNyIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.CWZGv531jDhyzoXCRC6CURDczMvR_kwlm-WNYr38WFU,67852.05,43.53816,https://www.adzuna.com/land/ad/5894183327?se=6E13W6y28RGegKHuinfWmg&utm_medium=api&utm_source=abfa41a4&v=742D8560A2B03565D69EFED0A9262B6BADDBF115,67852.05,5894183327,"Job Description IMMEDIATE OPENINGS! \n Come for a job and stay for a career! Federal Express Corporation (FEC) is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. \n \n Perks and Benefits at Federal Express Corporation (FEC): \n \n Competitive wages beginning at ﻿$19.40 ﻿ paid weekly for both full and …",-70.46934,2026-09-22T13:25:52Z,"['US', 'Maine', 'York County', 'Saco']",Adzuna::API::Response::Location,"Saco, York County",FedEx,Adzuna::API::Response::Company,Part time Jobs,part-time-jobs,Adzuna::API::Response::Category,,
Loss Prevention Associate II,Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgzMzI2In0.h1bjX2FqZ6ggLrD63S4ZboOpLBY8EhEocWco3nq8CrU,35506.41,32.87803,https://www.adzuna.com/land/ad/5894183326?se=6E13W6y28RGegKHuinfWmg&utm_medium=api&utm_source=abfa41a4&v=0369E60FD1EA511EE001AE4460EFC74C041FF357,35506.41,5894183326,"Job Description HomeGoods\n \n At TJX Companies, every day brings new opportunities for growth, exploration, and achievement. You’ll be part of our vibrant team that embraces diversity, fosters collaboration, and prioritizes your development. Whether you’re working in our four global Home Offices, Distribution Centers or Retail Stores—TJ Maxx, Marshalls, Homegoods, Homesense, Sierra, Winners, and TK Maxx, you’ll find abundant opportunities to learn, thrive, and make an impact. Come join our TJX…",-96.75115,2026-09-22T13:25:51Z,"['US', 'Texas', 'Dallas', 'University Park']",Adzuna::API::Response::Location,"University Park, Dallas",TJX Companies,Adzuna::API::Response::Company,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,,
Assistant Store Manager,Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4MzMyNSIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.rdiICafYJTCKxenTRsP2cjwdF1Uezn96---UcIKi2m8,92583.6,43.143803,https://www.adzuna.com/details/5894183325?utm_medium=api&utm_source=abfa41a4,92583.6,5894183325,"Job Description TJ Maxx\n At TJX Companies, every day brings new opportunities for growth, exploration, and achievement. You’ll be part of our vibrant team that embraces diversity, fosters collaboration, and prioritizes your development. Whether you’re working in our four global Home Offices, Distribution Centers or Retail Stores—TJ Maxx, Marshalls, Homegoods, Homesense, Sierra, Winners, and TK Maxx, you’ll find abundant opportunities to learn, thrive, and make an impact. Come join our TJX fami…",-95.147521,2026-09-22T13:25:51Z,"['US', 'Iowa', 'Clay County', 'Spencer']",Adzuna::API::Response::Location,"Spencer, Clay County",TJX Companies,Adzuna::API::Response::Company,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,,
Sous Chef - Palm Beach,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTMyIn0.zY0piL4kfFFb-GBjoCpfF7jA2sBXRgNlcmEBqDby3o4,120000.0,18.362063,https://www.adzuna.com/details/5894182932?utm_medium=api&utm_source=abfa41a4,120000.0,5894182932,"Sous Chef Location: Palm Beach, FL Schedule: Full-Time | 5 days on / 2 days off | Generally Wednesday-Sunday Compensation: $90,000 - $120,000 base salary  generous discretionary bonus Opportunity for Growth: Yes A private family in Palm Beach is seeking a talented, flexible, and service-oriented Sous Chef to join their fully staffed household and work closely alongside the family's Head Chef. This is an excellent opportunity for a culinary professional who enjoys both cooking independently and …",-66.567142,2026-09-22T13:22:10Z,"['US', 'Florida', 'Florida']",Adzuna::API::Response::Location,Florida,The Estate Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
"Live In House Manager-Quogue, NY",Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4MjkzMyIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.NSz9ZbvANy7X6WcPrsOmZFnBO1TcoCfQTKr2SmMaQtI,170000.0,,https://www.adzuna.com/details/5894182933?utm_medium=api&utm_source=abfa41a4,170000.0,5894182933,"Title: Live In House Manager Location: Quogue, NY (The Hamptons) Compensation: $140-$160K DOE  benefits UHNW family seeks an experienced Live In House Manager for a luxury oceanfront estate in the Hamptons, including its adjacent guest house. The ideal candidate will have a proven track record in managing high-end properties and ensuring seamless operations year-round. Responsibilities: Fall/Winter Winterize the house by storing the awnings and outdoor furniture. Safeguard the machinery of the …",,2026-09-22T13:22:10Z,"['US', 'New York', 'New York City']",Adzuna::API::Response::Location,"New York City, New York",The Estate Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Beverage Manager - Casino,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4MjkyOSIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.2uAxVKFrvFy20Tv1Ra-DB7JgTiFaQIGrbv9KnhWvsa8,105000.0,,https://www.adzuna.com/details/5894182929?utm_medium=api&utm_source=abfa41a4,105000.0,5894182929,"Position: Beverage Manager Location: Schenectady, NY Pay: $90-105K DOE Our client seeks a Beverage Manager! Responsibilities: -Oversee daily operations of multiple food and beverage outlets. -Implement policies, procedures, and service standards to ensure guest satisfaction. -Hire, train, schedule, and supervise Team Members. -Resolve guest and employee concerns, complaints, and operational issues. -Manage labor costs, operating expenses, inventory, and beverage purchasing. -Ensure compliance w…",,2026-09-22T13:22:09Z,"['US', 'New York', 'New York City']",Adzuna::API::Response::Location,"New York City, New York",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
General Manager,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTI3In0.CCu8J5wOsxH-K-iYFXJM4U2Hdwvzb_N6Ibnm7QcHgyU,150000.0,42.354856,https://www.adzuna.com/details/5894182927?utm_medium=api&utm_source=abfa41a4,150000.0,5894182927,"Location – Boston, MA Salary - $175k Benefits – Bonus, Health benefits, PTO etc. Hiring a General Manager to oversee fine dining restaurant and members only club. Qualifications: Tenure that shows stability in prior roles (no job-hoppers) 5 years of dining room management experience in an upscale to fine-dining, high-volume restaurant Proven track record managing large teams and delivering high-level guest experiences in busy environments Strong experience training and developing FOH teams incl…",-71.066119,2026-09-22T13:22:09Z,"['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Location,"Boston, Suffolk County",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
General Manager (Director of Operations) - Resort,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NDE4MjkxOCIsInMiOiI2RTEzVzZ5MjhSR2VnS0h1aW5mV21nIn0.sunyszuOp6mxw06uCpLoYV_z9_-wvBRZjDzhBCrcrnE,135000.0,42.832,https://www.adzuna.com/details/5894182918?utm_medium=api&utm_source=abfa41a4,135000.0,5894182918,"Location: Wyoming Salary: $125K-$135K  up to 30% performance bonus Benefits: Standard benefits; relocation assistance available The General Manager (Director of Operations) leads all aspects of operations for a premier western resort in Wyoming, bringing visionary leadership and operational expertise to a dynamic, guest-focused hospitality environment. This role is responsible for driving revenue, overseeing all resort departments, and maintaining the highest standards of guest experience, serv…",-78.083,2026-09-22T13:22:09Z,"['US', 'New York', 'Wyoming County', 'Wyoming']",Adzuna::API::Response::Location,"Wyoming, Wyoming County",The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
Chef de Cuisine - Tapas/Sushi,Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkUxM1c2eTI4UkdlZ0tIdWluZldtZyIsImkiOiI1ODk0MTgyOTE3In0.a4i2ebtZKhf6yevMlSl7olv-VMNC0XtMuFEE5uM2BJ0,90000.0,19.743482,https://www.adzuna.com/details/5894182917?utm_medium=api&utm_source=abfa41a4,90000.0,5894182917,"Location - Waimea, Big Island, HI Salary - $75-90k Benefits - MDV, 401k w/ company match, paid vacation, life insurance Seeking a talented Chef de Cuisine to oversee kitchen teams, craft menus, and drive high-quality culinary execution. Responsibilities Lead daily kitchen operations and staff management — oversee food preparation, supervise and schedule cooks, maintain kitchen workflow, and support all outlets with consistent, high-quality execution. Drive culinary quality, menu development, an…",-155.466032,2026-09-22T13:22:09Z,"['US', 'Hawaii', 'Hawaii']",Adzuna::API::Response::Location,Hawaii,The Chef Agency,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,full_time,permanent
