__CLASS__,latitude,id,adref,title,description,contract_time,salary_is_predicted,salary_min,longitude,redirect_url,salary_max,created,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__,location.__CLASS__,location.area,location.display_name,contract_type
Adzuna::API::Response::Job,33.339284,5897187360,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzM2MCIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.1e9Ow_dQz2YppojbO18ivwnuXpO4xvS626fgRHA0gpI,Transport Driver Class B (Full-Time and Part-Time),"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",part_time,1,36199.11,-84.648542,https://www.adzuna.com/land/ad/5897187360?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=5A931047372F7D2751B61779953986B36B48402D,36199.11,2026-09-24T13:47:39Z,Adzuna::API::Response::Company,Uber,Part time Jobs,part-time-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Georgia', 'Coweta County', 'Sharpsburg']","Sharpsburg, Coweta County",
Adzuna::API::Response::Job,41.178835,5897187380,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnFKYmpVQzQ4UkdDUEpobU44MlZtZyIsImkiOiI1ODk3MTg3MzgwIn0.229yvIL1F4F9jhktLBRCjeVFR-mwGPA5lKFOfQc0A24,Principal Electrical Engineer - 16913 & 16708,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE REQUIRED FOR START: YesCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across …",full_time,1,163774.31,-112.041025,https://www.adzuna.com/land/ad/5897187380?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=502BAE8068D2417972E92B7D9CF64F668201EEC5,163774.31,2026-09-24T13:47:39Z,Adzuna::API::Response::Company,Northrop Grumman,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Utah', 'Weber County', 'Roy']","Roy, Weber County",
Adzuna::API::Response::Job,38.92594,5897187370,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzM3MCIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.F_Iwxu7mqQpDfGOyyLIMv5Hn_5NAhyYLrPM7g3abQCY,Sales Account Executive,"Are you in search of a workplace that thrives on community connections through advertising? If so, we’d love to have you join our sales team! Our Lamar office in Bridgeport, WV is now hiring a new Sales Account Executive (salary  commission) to help us bring innovative outdoor advertising campaigns to life for brands in Elkins, Buckhannon, Philippi, Weston, and the surrounding areas. We need someone who understands the connection between marketing and sales and genuinely gets excited with each …",,1,48836.36,-79.846735,https://www.adzuna.com/land/ad/5897187370?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=520C050D88DBE842766572C2244CCD6500D8DA95,48836.36,2026-09-24T13:47:39Z,Adzuna::API::Response::Company,Lamar Advertising Company,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'West Virginia', 'Randolph County', 'Elkins']","Elkins, Randolph County",
Adzuna::API::Response::Job,,5897187374,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzM3NCIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.JXKWjG1kin5uiia9p2xwWTahclX6Nwhu4ueihaddj-M,EY Parthenon - Turnaround and Restructuring - Restructuring - Manager - Mult Pos - 1746529,"At EY, we’re all in to shape your future with confidence. We’ll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. EY Parthenon – Turnaround & Restructuring - Restructuring (Manager) (Multiple Positions) (1746529), Ernst & Young U.S. LLP, Chicago, IL. Manage and supervise staff on engagement projects to enable clients to develop financial and operational strategies to improve liq…",full_time,1,159619.47,,https://www.adzuna.com/land/ad/5897187374?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=C7B18132A7BF98CEA39B6F170EB762F5CC90BDB2,159619.47,2026-09-24T13:47:39Z,Adzuna::API::Response::Company,EY,Consultancy Jobs,consultancy-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Chicago']","Chicago, Cook County",
Adzuna::API::Response::Job,35.254169,5897187320,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzMyMCIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.or3LbrH5NdyWyh3CfpJ0UlyeW_FaCIj1ed8nXh6luq8,Manager - Service Experience - SLO Promenade Rack,"Job Description As a Service Experience Manager, you’ll wear many hats – you’ll be a mentor, your team’s biggest fan, as well as a driver of business. A day in the life… Drive store volume through the support and education of Service Experience initiatives such as the Nordstrom Rewards program and the sale of gift cards Recruit, hire, train, develop and motivate your team – their success is your success Support your team as they educate and assist employees on tools, processes and systems that …",,1,61493.09,-120.620655,https://www.adzuna.com/land/ad/5897187320?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=7D7C66F38F0E22E0D84A9FAFDDB0C9BE909BB85F,61493.09,2026-09-24T13:47:38Z,Adzuna::API::Response::Company,Nordstrom,Retail Jobs,retail-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'California', 'San Luis Obispo County', 'San Luis Obispo']","San Luis Obispo, San Luis Obispo County",
Adzuna::API::Response::Job,26.124272,5897187323,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnFKYmpVQzQ4UkdDUEpobU44MlZtZyIsImkiOiI1ODk3MTg3MzIzIn0.9Kujiq2YCkfsdTxAiPs4JihfGM3N9Yg-U1VWvtjDvcs,People Practices Business Partner - Floating,"Job Description At DPR, roles and responsibilities are more than describing a job title—they are a commitment to building great things together. The job description(s) below defines core responsibilities and the scope of the role and is a starting point. Every employee is expected to lead from where they are, take ownership of outcomes, and always act in the best interest of the team, customer, project and organization. As a purpose-driven organization on a journey to be most admired, we rely o…",full_time,1,159260.61,-80.128901,https://www.adzuna.com/land/ad/5897187323?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=CFD3AF71002F50529824B5A329F36B3955B6736C,159260.61,2026-09-24T13:47:38Z,Adzuna::API::Response::Company,DPR Construction,HR & Recruitment Jobs,hr-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Florida', 'Broward County', 'Fort Lauderdale']","Fort Lauderdale, Broward County",permanent
Adzuna::API::Response::Job,41.601859,5897187328,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzMyOCIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.mwQUmEz_RlfFKqd2quVKOhFl55NkKKiimlQ2lvEMcgQ,GenAI Presales Solution Architect Assoc Director,"We Are Accenture is a leading solutions and services company that helps the world’s leading enterprises reinvent by building their digital core and unleashing the power of AI to create value at speed across the enterprise, bringing together the talent of our approximately 800,000 people, our proprietary assets and platforms, and deep ecosystem relationships. Our strategy is to be the reinvention partner of choice for our clients and to be the most client-focused, AI-enabled, great place to work…",,1,205836.72,-72.657316,https://www.adzuna.com/land/ad/5897187328?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=CAE2E09F0DB90EDB04BD156C68EBD9606901B0C8,205836.72,2026-09-24T13:47:38Z,Adzuna::API::Response::Company,Accenture,Customer Services Jobs,customer-services-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Connecticut']","Connecticut, US",
Adzuna::API::Response::Job,30.95685,5897187341,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzM0MSIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.k90VSSIfbYqSl5qruXV29MzbypJhM-fgIif36Fz4u1o,Travel ICU RN,"Travel ICU RN Company: Fusion Medical Staffing Location: Facility in Lake Havasu City, AZ Job Details Fusion Medical Staffing is seeking a ICU RN for a 13-week travel assignment in Lake Havasu City, AZ. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent experience as an ICU RN Valid RN license in co…",,1,19796.96,-85.516599,https://www.adzuna.com/land/ad/5897187341?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=BDEB66A7C5DEFFCDCD098B20D81A424983E73834,19796.96,2026-09-24T13:47:38Z,Adzuna::API::Response::Company,Fusion Medical Staffing,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'Florida', 'Jackson County', 'Graceville']","Graceville, Jackson County",
Adzuna::API::Response::Job,37.64362,5897187354,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5NzE4NzM1NCIsInMiOiJmcUpialVDNDhSR0NQSmhtTjgyVm1nIn0.ivn2f6HkFDLa1s81X00yrvsrU4RNuaxNAU205fz4-lg,Senior Payroll and Absence Enterprise Applications Analyst,"Your work days are brighter here. We’re obsessed with making hard work pay off, for our people, our customers, and the world around us. As a Fortune 500 company and a leading AI platform for managing people, money, and agents, we’re shaping the future of work so teams can reach their potential and focus on what matters most. The minute you join, you’ll feel it. Not just in the products we build, but in how we show up for each other. Our culture is rooted in integrity, empathy, and shared enthus…",,1,154248.11,-121.867646,https://www.adzuna.com/land/ad/5897187354?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=6287EF2AF8838A6CB28CA6F792936C02AA8FB173,154248.11,2026-09-24T13:47:38Z,Adzuna::API::Response::Company,Workday,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'Pleasanton']","Pleasanton, Alameda County",
Adzuna::API::Response::Job,42.679357,5897187330,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnFKYmpVQzQ4UkdDUEpobU44MlZtZyIsImkiOiI1ODk3MTg3MzMwIn0.utjRdo31qXFmrEQkAqktsaEcsE4daI5mJUS5HAP1i0o,Senior Creative Technologist (Teacher),"About WPP Production We are WPP Production - the unified global production company that brings together all of WPP's content producers, studios and craft experts into one connected organisation. We combine world-class human craft with next generation technology to originate, design, and deliver multi-channel content systems at scale. Built for borderless collaboration and powered by deep craft expertise, we are the production engine designed for today's always on, AI driven marketing world. Abo…",,1,192322.38,-73.808983,https://www.adzuna.com/land/ad/5897187330?se=fqJbjUC48RGCPJhmN82Vmg&utm_medium=api&utm_source=abfa41a4&v=FD2EAB740EA69E985D6A9354E541458EBDA4FFB8,192322.38,2026-09-24T13:47:38Z,Adzuna::API::Response::Company,WPP Production,Creative & Design Jobs,creative-design-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"['US', 'New York', 'Albany County', 'Ny State Campus']","Ny State Campus, Albany County",
